country,continent,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,total_tests,population,gdp_per_capita,median_age,hospital_beds_per_thousand,life_expectancy,vaccination_rate_pct,stringency_index
Malaysia,Asia,8728437,56255,438890,2343,44544241,2061655,194835919,15949296,46900,26.3,2.68,74.7,45.2,29.79
Bangladesh,Asia,3114052,75134,681365,2720,28871949,2031252,125181570,845209756,3694,34.3,12.2,81.6,45.8,57.99
Thailand,Asia,21654424,4021,482907,2197,31492980,3118330,441094916,266396997,48675,16.5,13.85,71.4,97.0,85.17
Morocco,Africa,19721827,20769,524533,1350,108151,3984093,215125007,1229768399,24833,25.3,2.32,74.7,21.5,61.13
Saudi Arabia,Asia,49094278,1397,395155,2261,40599345,4553109,407541186,469859766,3036,17.9,11.1,55.0,49.7,26.49
Australia,Oceania,35222677,12275,593892,763,3193441,686679,297672920,1275148721,33838,20.4,3.26,71.4,16.0,86.32
Serbia,Europe,21210327,56483,266053,285,2210777,1186198,302794446,123039838,31545,26.6,7.35,64.1,48.9,55.62
Vietnam,Asia,28416535,76248,261527,784,31139347,4167155,84970052,660508220,16316,37.9,2.84,68.3,54.0,98.0
Kazakhstan,Asia,25936928,87878,368854,266,13672349,482830,188429126,578701659,7387,23.8,3.87,62.5,14.3,65.56
Denmark,Europe,33758414,15961,181684,2767,42003985,1495137,248604446,411529896,40268,15.7,5.81,61.2,68.7,44.89
Norway,Europe,29157823,64746,281070,303,39725742,3576518,209948825,506311085,29780,28.2,9.9,78.3,81.3,43.59
Finland,Europe,5792528,74429,73265,1945,24570529,2678456,170753286,535972709,20228,22.3,6.69,69.8,80.2,88.01
Croatia,Europe,26237012,554,224702,3669,23544902,2061,492967429,83312958,36640,40.7,11.36,60.1,71.7,98.06
Slovakia,Europe,37930028,32684,369256,2880,7514737,738882,183259077,320469602,63833,42.1,1.44,76.5,14.7,41.04
Lithuania,Europe,45302741,63801,424908,3007,7644249,3973033,298647990,386658337,56589,37.1,8.05,54.4,61.3,16.3
Bolivia,South America,47814142,13590,568424,1437,542560,1700728,299095937,838366753,17614,35.2,1.58,61.4,68.7,3.98
Lebanon,Asia,33337662,34860,356085,682,7641443,3639467,105254122,409483004,24237,39.1,1.74,62.8,74.7,32.24
Jordan,Asia,45376331,45843,556668,774,19897203,3363239,440942151,189469503,52292,27.4,4.39,57.7,69.8,34.2
Egypt,Africa,943949,12203,391857,2154,34139601,4129039,76953947,963834931,8910,36.5,1.56,79.0,62.0,42.59
Nigeria,Africa,4397190,6724,394819,4455,3297894,2897159,412976689,446127298,62719,28.9,10.88,73.6,71.6,14.5
Kenya,Africa,9625575,81155,217,4714,7108477,453211,297442543,29358702,27077,29.2,7.15,73.4,83.7,49.27
Ethiopia,Africa,4930240,8764,703163,681,16957944,631241,174488192,239658164,32720,41.0,9.06,71.0,56.2,94.34
Ghana,Africa,32708272,57645,623436,345,22395361,1018628,134728077,773817919,63191,41.1,0.88,64.1,15.1,23.25
Tanzania,Africa,25668503,41725,51718,2323,19117490,906178,366923653,288174434,13351,28.2,3.22,73.1,80.1,68.48
Uganda,Africa,27258899,72422,42196,945,8158397,2758301,224396173,1296990128,11202,45.9,7.37,75.6,65.1,3.8
Cameroon,Africa,26203287,89471,663607,687,33946932,2306089,273816386,940366587,57929,32.9,1.24,69.2,67.6,64.38
Senegal,Africa,24351903,16506,186039,1948,9373117,1636558,180435526,418452964,47173,31.1,2.33,67.1,29.5,93.75
Tunisia,Africa,42856387,94453,807021,4810,5284532,2844078,174156393,1389842928,26450,31.6,0.4,59.2,15.5,28.23
Zimbabwe,Africa,10410690,11612,723108,1179,17878033,4229170,134198494,1002483175,7339,40.7,12.77,54.7,76.7,81.62
Mozambique,Africa,18444202,87993,371891,425,44528937,1864227,454029821,945910906,35596,46.9,6.09,53.3,5.8,8.24
Rwanda,Africa,4715505,51450,885736,792,5314131,2291741,442620525,105186849,49794,37.8,0.73,74.9,40.0,35.82
Angola,Africa,25724099,4581,477673,3105,5679649,4418014,80638039,342506651,3663,26.3,6.5,63.2,50.4,0.67
Zambia,Africa,17412311,52786,892330,4866,29669986,2147482,67877059,848194830,14465,32.1,12.44,74.7,2.7,35.51
Nepal,Asia,27438655,87632,46748,4803,27969147,413324,402576763,571313179,22952,25.1,2.74,68.3,58.9,30.98
Sri Lanka,Asia,47329739,58205,533011,3832,7475813,923841,179679412,1192140272,18629,36.6,3.41,66.3,12.6,69.28
Myanmar,Asia,38448336,9695,735724,2645,29255510,1346643,106122963,879494884,36359,48.0,13.75,72.1,24.4,29.45
Cambodia,Asia,6046600,74423,233480,3645,33840716,2810173,107232743,112153328,64106,43.5,11.97,57.9,97.4,82.31
Cuba,North America,17509453,84485,748264,309,28668832,2015130,446227709,1214479731,45197,30.6,7.72,83.3,55.3,29.15
Panama,North America,45203706,66359,751352,4661,23459062,1729805,131880287,1308122277,33699,26.3,2.69,62.6,94.9,22.33
Guatemala,North America,10431606,40962,704650,3930,20698396,4155262,360671864,1000238339,61848,29.9,3.15,76.6,48.8,49.45
Ecuador,South America,44534259,67625,585296,935,15592521,2252709,227689981,1075462061,53258,25.4,12.07,59.9,78.9,65.65
Venezuela,South America,44770293,33553,83330,1479,3081845,2381019,232476755,204378544,38135,47.7,9.49,67.0,4.7,88.87
Paraguay,South America,2524497,17499,887574,4448,27641016,1356546,168587383,1033273498,3869,21.7,4.98,68.0,29.3,81.35
Uruguay,South America,49432876,85570,794394,2709,35616588,2319471,38669171,845889430,18005,41.7,0.46,61.8,28.5,52.45
Haiti,North America,38770984,41810,494196,4913,18343217,3044291,43746737,177090991,60173,28.7,1.99,63.2,7.8,97.83
Algeria,Africa,24887613,76406,358593,1992,33057941,4594295,90091580,276849668,36437,36.5,10.24,65.9,93.4,29.65
Sudan,Africa,16876516,59997,473558,2931,3712741,4190330,143668543,769578903,60202,45.5,9.12,78.8,50.0,99.95
Libya,Africa,23078513,88115,885674,21,4483330,20771,139578867,524683417,5074,34.5,5.09,68.0,58.5,38.52
Iraq,Asia,11235655,51864,39425,4516,13910046,102874,380780280,808735997,12127,35.4,8.33,54.8,51.5,26.24
Syria,Asia,38776877,30545,432169,4168,15596039,4177713,5180957,1350784833,10052,16.2,10.6,58.9,25.1,38.28
Yemen,Asia,20122243,30423,174970,4080,23610433,1154658,311010625,880328967,6785,19.3,9.05,83.6,90.7,58.58
Afghanistan,Asia,22044685,52041,733940,3776,1416764,125328,108816891,1249022091,23193,32.8,3.43,54.9,65.9,47.39
Uzbekistan,Asia,46196670,94426,600232,1589,4691482,3386772,143520520,41876924,64960,27.2,13.33,72.7,13.0,5.02
