order_id,customer_id,order_date,product_category,product_name,quantity,unit_price,discount_pct,shipping_cost,total_amount,payment_method,shipping_city,order_status,customer_rating,return_flag,days_to_deliver,customer_age_group,is_repeat_customer,platform,seller_id,region
ORD000065,CUST01751,2023-02-13,Beauty,Speaker,10,1378.14,0,48.6,4650.36,Wallet,Ahmedabad,Shipped,2.0,1,5.0,55+,1,Mobile App,SELL0040,Central
ORD000066,CUST01741,2023-02-14,Books,Monitor,9,1929.32,0,44.44,3869.45,Wallet,Bangalore,Shipped,3.0,1,1.0,18-25,1,Mobile App,SELL0075,South
ORD000067,CUST01628,2023-02-14,Books,Speaker,7,428.72,5,10.45,586.86,Debit Card,Surat,Delivered,5.0,0,2.0,55+,0,In-Store Kiosk,SELL0111,North
ORD000068,CUST03275,2023-02-15,Home & Garden,Speaker,5,1826.32,5,27.29,4787.31,COD,Kolkata,Delivered,1.0,0,7.0,26-35,1,Mobile App,SELL0165,West
ORD000069,CUST04815,2023-02-16,Home & Garden,Laptop,9,1253.01,20,7.89,2513.11,COD,Kanpur,Delivered,5.0,1,4.0,18-25,0,In-Store Kiosk,SELL0169,Central
ORD000070,CUST01420,2023-02-16,Toys,Projector,1,1905.88,20,3.0,2872.99,Credit Card,Chennai,Delivered,5.0,1,14.0,55+,0,Website,SELL0100,Central
ORD000071,CUST01526,2023-02-17,Home & Garden,Camera,5,793.53,15,18.41,1418.35,Debit Card,Mumbai,Shipped,3.0,0,12.0,26-35,0,Mobile App,SELL0140,South
ORD000072,CUST01520,2023-02-18,Sports,Camera,5,1382.17,0,15.99,4233.97,COD,Jaipur,Delivered,2.0,0,10.0,36-45,1,Mobile App,SELL0105,North
ORD000073,CUST01211,2023-02-18,Home & Garden,Printer,1,1090.0,0,28.52,4385.9,Wallet,Bangalore,Processing,1.0,1,6.0,55+,1,Website,SELL0137,North
ORD000074,CUST00103,2023-02-19,Beauty,Gaming Console,1,1955.1,5,32.06,4080.43,Credit Card,Kolkata,Delivered,4.0,0,12.0,55+,1,In-Store Kiosk,SELL0197,East
ORD000075,CUST00021,2023-02-20,Beauty,Smart TV,5,125.69,0,19.28,1039.53,Wallet,Ahmedabad,Delivered,2.0,0,,36-45,0,Mobile App,SELL0018,South
ORD000076,CUST00470,2023-02-20,Electronics,Camera,2,122.2,30,43.36,640.31,UPI,Mumbai,Delivered,3.0,1,8.0,46-55,0,Mobile App,SELL0179,North
ORD000077,CUST00745,2023-02-21,Electronics,Router,10,1728.96,0,42.09,4882.27,Wallet,Chennai,Delivered,1.0,1,10.0,26-35,1,Mobile App,SELL0037,North
ORD000078,CUST03291,2023-02-22,Toys,Tablet,2,111.73,5,36.06,4362.27,UPI,Nagpur,Delivered,3.0,0,6.0,18-25,1,Mobile App,SELL0187,South
ORD000079,CUST00647,2023-02-22,Electronics,Keyboard,1,1815.2,0,17.54,4283.08,Debit Card,Chennai,Delivered,1.0,1,8.0,46-55,0,Mobile App,SELL0083,North
ORD000080,CUST01605,2023-02-23,Sports,Camera,8,192.57,15,12.11,3900.56,UPI,Kolkata,Delivered,3.0,0,5.0,36-45,0,Mobile App,SELL0034,Central
ORD000081,CUST02324,2023-02-24,Toys,Headphones,5,229.3,10,5.8,537.09,Net Banking,Pune,Cancelled,5.0,0,3.0,55+,1,Mobile App,SELL0010,Central
ORD000082,CUST00407,2023-02-24,Sports,Projector,5,664.87,0,12.52,2575.98,UPI,Kolkata,Processing,5.0,0,12.0,26-35,0,Website,SELL0177,North
ORD000083,CUST02382,2023-02-25,Electronics,Smart TV,3,1454.91,10,47.96,581.5,Debit Card,Kanpur,Delivered,5.0,1,14.0,26-35,0,Mobile App,SELL0146,East
ORD000084,CUST04652,2023-02-26,Books,Tablet,1,1156.06,5,20.88,2115.98,UPI,Pune,Delivered,3.0,1,7.0,46-55,1,Mobile App,SELL0086,North
ORD000085,CUST00035,2023-02-26,Clothing,Keyboard,8,1818.37,10,20.79,812.06,Debit Card,Chennai,Shipped,4.0,0,1.0,36-45,1,Mobile App,SELL0187,North
ORD000086,CUST01479,2023-02-27,Electronics,Laptop,6,1261.13,0,23.53,2399.98,COD,Bhopal,Delivered,1.0,1,5.0,18-25,0,Mobile App,SELL0171,South
ORD000087,CUST00446,2023-02-28,Books,Projector,4,1193.42,5,32.4,3359.84,Debit Card,Mumbai,Delivered,4.0,0,13.0,46-55,1,Mobile App,SELL0036,Central
ORD000088,CUST01046,2023-02-28,Books,Camera,3,1142.89,5,46.0,4205.92,Debit Card,Lucknow,Shipped,5.0,0,10.0,55+,0,Website,SELL0102,West
ORD000089,CUST04209,2023-03-01,Beauty,Charger,2,815.08,0,5.71,407.69,COD,Ahmedabad,Shipped,1.0,0,,46-55,1,Website,SELL0129,West
ORD000090,CUST02612,2023-03-02,Toys,Mouse,8,1280.17,10,41.01,4460.93,Net Banking,Delhi,Delivered,2.0,1,14.0,46-55,1,Mobile App,SELL0134,North
ORD000091,CUST01726,2023-03-02,Sports,Headphones,1,1946.23,25,22.45,952.43,COD,Chennai,Shipped,5.0,1,2.0,18-25,1,Website,SELL0101,South
ORD000092,CUST04154,2023-03-03,Sports,Keyboard,10,1944.43,0,13.74,4717.68,UPI,Pune,Processing,3.0,0,7.0,36-45,1,Website,SELL0051,East
ORD000093,CUST04591,2023-03-04,Toys,Phone,6,226.2,0,27.19,2411.59,COD,Mumbai,Delivered,4.0,0,7.0,46-55,0,Website,SELL0048,South
ORD000094,CUST04364,2023-03-04,Books,Tablet,2,913.87,0,27.02,288.64,Wallet,Bhopal,Shipped,,1,3.0,36-45,0,Website,SELL0039,West
ORD000095,CUST02551,2023-03-05,Home & Garden,Projector,9,1186.71,5,6.67,3955.48,Credit Card,Nagpur,Delivered,5.0,1,3.0,55+,1,Website,SELL0097,East
ORD000096,CUST01526,2023-03-06,Sports,Keyboard,3,1433.27,15,4.85,240.8,COD,Mumbai,Delivered,,1,9.0,55+,1,Mobile App,SELL0112,East
ORD000097,CUST02543,2023-03-06,Toys,Monitor,3,604.54,10,31.34,3138.97,Wallet,Hyderabad,Shipped,2.0,0,1.0,36-45,0,In-Store Kiosk,SELL0190,East
ORD000098,CUST03711,2023-03-07,Books,Cable,8,1965.96,5,36.77,3985.56,Wallet,Mumbai,Delivered,2.0,0,6.0,55+,0,Mobile App,SELL0029,Central
ORD000099,CUST02179,2023-03-08,Sports,Projector,2,833.44,30,30.74,2317.16,UPI,Bangalore,Delivered,5.0,0,10.0,18-25,1,Mobile App,SELL0096,East
ORD000100,CUST02616,2023-03-08,Clothing,Monitor,7,574.3,0,17.65,3407.43,UPI,Surat,Delivered,5.0,1,9.0,55+,0,Mobile App,SELL0125,West
ORD000101,CUST03864,2023-03-09,Books,Projector,3,1561.24,15,27.79,2864.75,Debit Card,Kolkata,Delivered,5.0,1,6.0,18-25,1,Mobile App,SELL0087,East
ORD000102,CUST02977,2023-03-10,Beauty,Mouse,9,1178.16,20,45.32,356.22,Debit Card,Ahmedabad,Shipped,1.0,1,14.0,55+,1,Website,SELL0007,North
ORD000103,CUST03780,2023-03-10,Toys,Laptop,5,1809.56,0,46.19,3468.62,COD,Chennai,Shipped,,1,7.0,36-45,1,Mobile App,SELL0135,East
ORD000104,CUST02201,2023-03-11,Clothing,Gaming Console,7,217.2,0,11.61,4763.54,Credit Card,Bangalore,Shipped,3.0,1,7.0,26-35,1,In-Store Kiosk,SELL0040,Central
ORD000105,CUST04031,2023-03-12,Food,Camera,5,114.07,30,4.75,1717.42,UPI,Nagpur,Returned,4.0,1,10.0,55+,1,Website,SELL0148,West
ORD000106,CUST00887,2023-03-12,Sports,Router,2,1886.58,0,32.66,635.15,COD,Surat,Delivered,1.0,1,5.0,18-25,0,In-Store Kiosk,SELL0056,East
ORD000107,CUST03481,2023-03-13,Food,Projector,4,894.75,10,8.72,1285.4,COD,Nagpur,Delivered,1.0,0,6.0,36-45,1,Website,SELL0136,Central
ORD000108,CUST04103,2023-03-14,Beauty,Printer,9,436.23,0,40.05,3179.56,COD,Delhi,Delivered,,1,14.0,26-35,0,Website,SELL0034,Central
ORD000109,CUST02088,2023-03-14,Clothing,Charger,6,1487.47,15,14.04,4917.24,UPI,Chennai,Delivered,,1,4.0,26-35,0,In-Store Kiosk,SELL0124,Central
ORD000110,CUST02721,2023-03-15,Electronics,Camera,2,1994.9,0,7.52,4059.6,COD,Pune,Delivered,4.0,1,10.0,55+,1,In-Store Kiosk,SELL0024,Central
ORD000111,CUST03073,2023-03-16,Food,Charger,1,1997.49,10,40.8,3906.39,UPI,Kanpur,Delivered,,0,11.0,18-25,0,Website,SELL0060,South
ORD000112,CUST02010,2023-03-16,Beauty,Speaker,1,1926.53,0,10.43,1804.92,COD,Nagpur,Delivered,5.0,0,5.0,55+,0,Mobile App,SELL0153,North
ORD000113,CUST02407,2023-03-17,Toys,Cable,9,317.41,0,0.44,3052.06,Credit Card,Ahmedabad,Returned,,0,,18-25,1,Mobile App,SELL0054,East
ORD000114,CUST03377,2023-03-18,Electronics,Watch,10,1701.4,20,41.09,2023.85,Credit Card,Bangalore,Shipped,3.0,1,5.0,26-35,1,Mobile App,SELL0084,South
ORD000115,CUST03725,2023-03-18,Clothing,Cable,6,252.8,10,4.69,298.36,Debit Card,Kanpur,Processing,3.0,0,7.0,26-35,1,Mobile App,SELL0087,North
ORD000116,CUST02129,2023-03-19,Toys,Speaker,6,716.86,15,20.99,2459.35,UPI,Jaipur,Delivered,2.0,0,9.0,26-35,1,Mobile App,SELL0051,West
ORD000117,CUST04423,2023-03-20,Toys,Gaming Console,6,360.76,0,19.79,2741.69,Debit Card,Bhopal,Delivered,1.0,1,11.0,26-35,0,Mobile App,SELL0116,North
ORD000118,CUST04246,2023-03-20,Books,Phone,4,715.26,0,7.15,4238.71,Debit Card,Hyderabad,Delivered,1.0,1,6.0,46-55,1,Website,SELL0061,North
ORD000119,CUST03636,2023-03-21,Food,Router,8,499.67,20,1.76,3816.9,Credit Card,Bhopal,Delivered,2.0,0,7.0,18-25,1,Website,SELL0106,North
ORD000120,CUST00679,2023-03-22,Clothing,Speaker,3,1794.12,10,4.23,2273.51,UPI,Indore,Delivered,3.0,1,11.0,36-45,1,Mobile App,SELL0159,East
ORD000121,CUST01923,2023-03-22,Books,Mouse,8,1975.54,10,21.38,2490.29,Credit Card,Pune,Delivered,1.0,1,,36-45,0,Website,SELL0151,West
ORD000122,CUST00150,2023-03-23,Clothing,Speaker,1,351.72,0,47.85,3964.07,COD,Lucknow,Delivered,5.0,0,3.0,36-45,0,Website,SELL0046,Central
ORD000123,CUST04647,2023-03-24,Sports,Tablet,6,263.69,10,36.25,1448.92,COD,Bhopal,Shipped,,1,2.0,26-35,0,Website,SELL0138,West
ORD000124,CUST02847,2023-03-24,Home & Garden,Mouse,6,332.93,15,35.74,1802.8,Net Banking,Hyderabad,Cancelled,4.0,1,3.0,55+,1,Website,SELL0153,East
ORD000125,CUST01665,2023-03-25,Sports,Monitor,2,1133.55,0,33.49,4518.57,Debit Card,Lucknow,Delivered,5.0,0,13.0,26-35,0,Website,SELL0113,South
ORD000126,CUST01285,2023-03-26,Books,Headphones,9,1764.75,0,38.46,3802.36,Net Banking,Ahmedabad,Delivered,2.0,1,4.0,36-45,1,Mobile App,SELL0146,South
ORD000127,CUST03414,2023-03-26,Sports,Smart TV,2,1492.27,0,26.47,4716.81,Wallet,Jaipur,Delivered,5.0,0,14.0,36-45,0,Mobile App,SELL0084,West
ORD000128,CUST00592,2023-03-27,Home & Garden,Headphones,7,847.0,30,49.28,4394.88,Debit Card,Ahmedabad,Delivered,1.0,1,13.0,36-45,1,Mobile App,SELL0014,North
ORD000129,CUST01822,2023-03-28,Books,Monitor,5,1918.31,20,30.39,3813.52,Debit Card,Chennai,Delivered,4.0,0,6.0,26-35,1,Mobile App,SELL0116,North
ORD000130,CUST00152,2023-03-28,Toys,Keyboard,8,1079.39,0,31.54,1310.72,UPI,Kanpur,Delivered,3.0,0,2.0,46-55,0,In-Store Kiosk,SELL0182,West
ORD000131,CUST03732,2023-03-29,Toys,Monitor,5,1570.75,20,1.06,2607.35,UPI,Kolkata,Delivered,3.0,1,4.0,26-35,0,Mobile App,SELL0097,Central
ORD000132,CUST03852,2023-03-30,Electronics,Mouse,6,1002.48,5,37.73,2086.36,Debit Card,Bhopal,Delivered,5.0,1,9.0,36-45,1,Mobile App,SELL0113,Central
ORD000133,CUST03718,2023-03-30,Books,Charger,8,1334.15,30,17.79,1954.39,Debit Card,Bhopal,Delivered,2.0,0,7.0,55+,0,Website,SELL0135,West
ORD000134,CUST04800,2023-03-31,Books,Watch,1,755.89,5,38.69,3896.87,Net Banking,Surat,Delivered,3.0,0,13.0,36-45,1,Website,SELL0168,Central
ORD000135,CUST02442,2023-04-01,Books,Watch,3,109.84,0,42.37,1940.74,Wallet,Chennai,Processing,3.0,1,5.0,26-35,1,Mobile App,SELL0099,West
ORD000136,CUST03079,2023-04-01,Electronics,Router,5,1227.17,20,1.11,742.81,Debit Card,Kanpur,Returned,3.0,1,3.0,46-55,1,Website,SELL0064,North
ORD000137,CUST04324,2023-04-02,Home & Garden,Cable,4,581.26,25,19.24,1746.09,Credit Card,Lucknow,Delivered,2.0,1,10.0,26-35,0,Mobile App,SELL0127,South
ORD000138,CUST03864,2023-04-03,Beauty,Mouse,1,1103.52,5,45.25,4036.95,Debit Card,Bangalore,Processing,,0,13.0,55+,1,Mobile App,SELL0138,North
ORD000139,CUST02304,2023-04-03,Books,Speaker,7,1304.57,5,6.4,2541.31,Net Banking,Lucknow,Delivered,3.0,1,8.0,55+,0,Website,SELL0135,South
ORD000140,CUST04193,2023-04-04,Sports,Phone,1,906.17,15,37.22,68.15,Wallet,Ahmedabad,Delivered,1.0,0,10.0,55+,0,Website,SELL0121,Central
ORD000141,CUST03858,2023-04-05,Electronics,Mouse,8,318.35,0,16.16,3117.47,Wallet,Surat,Delivered,3.0,0,9.0,55+,0,Website,SELL0200,Central
ORD000142,CUST04028,2023-04-05,Toys,Headphones,2,1611.33,20,25.47,878.38,Debit Card,Kanpur,Delivered,4.0,1,4.0,46-55,1,Mobile App,SELL0055,Central
ORD000143,CUST02436,2023-04-06,Sports,Phone,7,349.05,20,45.18,543.08,Debit Card,Chennai,Processing,1.0,1,8.0,46-55,0,Mobile App,SELL0064,East
ORD000144,CUST01634,2023-04-07,Beauty,Charger,9,263.0,0,31.65,1525.37,Net Banking,Nagpur,Cancelled,1.0,0,14.0,26-35,1,Website,SELL0171,South
ORD000145,CUST03895,2023-04-07,Home & Garden,Speaker,4,638.13,0,21.68,3852.23,Debit Card,Nagpur,Delivered,3.0,1,14.0,26-35,0,Mobile App,SELL0037,South
ORD000146,CUST00012,2023-04-08,Beauty,Mouse,3,121.12,0,34.85,255.05,Net Banking,Chennai,Shipped,1.0,0,12.0,55+,1,Website,SELL0163,North
ORD000147,CUST04389,2023-04-09,Sports,Router,3,709.68,30,11.14,1040.03,Wallet,Kolkata,Delivered,3.0,1,8.0,46-55,1,Mobile App,SELL0050,Central
ORD000148,CUST03141,2023-04-09,Clothing,Watch,5,1516.39,15,0.61,1017.59,Net Banking,Pune,Shipped,1.0,1,1.0,46-55,0,Website,SELL0135,East
ORD000149,CUST04145,2023-04-10,Clothing,Watch,3,1581.65,0,30.93,4114.74,COD,Kolkata,Delivered,5.0,1,7.0,26-35,1,Mobile App,SELL0171,North
ORD000150,CUST04738,2023-04-11,Toys,Tablet,9,916.16,20,43.06,1254.54,COD,Bangalore,Delivered,4.0,0,12.0,26-35,0,In-Store Kiosk,SELL0174,South
ORD000151,CUST03654,2023-04-11,Books,Phone,9,371.35,20,34.98,2898.85,Debit Card,Bhopal,Shipped,4.0,1,14.0,26-35,0,Website,SELL0121,East
ORD000152,CUST04438,2023-04-12,Electronics,Smart TV,7,1947.62,25,25.97,635.68,Net Banking,Surat,Delivered,5.0,0,9.0,46-55,1,Website,SELL0044,West
