Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,Promo2,Promo2SinceWeek,Promo2SinceYear,Sales_per_Customer
659,3,2013-03-08,33374,3392,0,0,0,0,a,c,46277.0,8.0,1,39.0,2011.0,9.03
952,4,2013-03-09,21126,5510,0,0,0,1,a,c,32808.0,2.0,1,,2012.0,1.7
259,3,2013-03-10,9731,1499,0,1,0,1,b,a,45941.0,,1,32.0,,49.32
301,7,2013-03-11,0,365,1,1,0,1,a,a,22670.0,2.0,0,24.0,,27.15
446,2,2013-03-12,0,6198,0,1,0,0,b,a,68189.0,12.0,1,,2013.0,16.96
848,6,2013-03-13,22234,6200,1,0,0,1,b,c,39404.0,2.0,0,34.0,,
534,3,2013-03-14,1623,343,1,0,0,0,a,a,15531.0,10.0,1,,2012.0,96.51
924,5,2013-03-15,24310,949,1,0,0,0,a,a,37041.0,5.0,0,17.0,2012.0,22.17
304,7,2013-03-16,2085,4388,1,1,b,0,b,c,28306.0,6.0,1,29.0,,
1056,1,2013-03-17,35967,27,0,1,0,1,a,a,13586.0,2.0,1,,2009.0,98.08
1049,4,2013-03-18,4764,6917,1,0,0,1,a,a,37463.0,,1,,2009.0,13.54
344,4,2013-03-19,31131,3080,1,1,0,1,a,c,20410.0,12.0,0,51.0,2009.0,24.18
311,5,2013-03-20,23433,2004,1,1,0,0,a,c,39756.0,,1,6.0,2014.0,
854,5,2013-03-21,29422,1711,1,0,0,1,a,a,8425.0,12.0,1,40.0,2014.0,72.65
775,7,2013-03-22,26456,1864,1,1,0,0,a,c,21446.0,,0,,2011.0,85.33
784,4,2013-03-23,13531,5579,1,1,0,1,a,c,22188.0,12.0,0,30.0,2015.0,
366,7,2013-03-24,37384,0,1,1,0,1,c,a,38696.0,,1,,2010.0,2.77
727,7,2013-03-25,33090,4230,1,0,0,1,a,c,1801.0,9.0,0,47.0,2012.0,21.61
534,7,2013-03-26,18659,3717,1,0,0,1,c,a,12363.0,7.0,1,41.0,2011.0,54.81
1008,3,2013-03-27,35849,1581,1,1,0,0,c,a,42668.0,,1,49.0,,12.39
788,7,2013-03-28,32574,0,1,0,0,1,a,a,28156.0,3.0,0,,,13.49
719,1,2013-03-29,14584,2620,1,1,0,0,a,a,3561.0,6.0,1,,,81.25
850,5,2013-03-30,25479,0,1,0,0,1,a,c,71639.0,7.0,0,,,75.26
529,1,2013-03-31,7835,0,1,0,a,0,a,a,63509.0,,0,40.0,,20.09
262,7,2013-04-01,17205,2498,1,1,0,0,c,c,14057.0,6.0,1,52.0,2009.0,49.32
612,3,2013-04-02,0,5461,1,0,0,0,c,a,16180.0,10.0,1,,,97.92
612,6,2013-04-03,0,3173,1,1,0,1,a,c,10419.0,,0,,,59.14
492,5,2013-04-04,13699,4494,0,0,0,0,b,a,62919.0,9.0,0,28.0,,72.37
712,7,2013-04-05,8922,6159,0,1,0,1,c,c,2299.0,3.0,0,,2013.0,65.42
523,2,2013-04-06,0,4897,1,0,0,1,a,c,74698.0,9.0,1,11.0,,41.93
40,7,2013-04-07,31724,6973,1,0,0,0,a,a,55542.0,,1,,,81.71
988,2,2013-04-08,1464,2215,1,1,0,0,a,a,420.0,7.0,0,,2012.0,7.83
845,4,2013-04-09,22515,2406,1,0,0,1,a,a,46995.0,,0,47.0,,60.6
1103,1,2013-04-10,23286,1805,0,0,0,1,a,a,56756.0,3.0,1,,2015.0,41.17
698,1,2013-04-11,34226,4706,1,0,0,0,a,c,15316.0,10.0,0,,,
976,4,2013-04-12,8767,5661,1,1,0,0,a,a,7530.0,11.0,1,36.0,,61.92
714,7,2013-04-13,15249,6092,1,0,0,0,d,a,30656.0,,1,,,27.21
1097,3,2013-04-14,1594,2421,0,1,0,0,a,a,15109.0,9.0,0,,2012.0,76.33
227,4,2013-04-15,7935,4684,1,0,0,0,a,a,14578.0,,1,6.0,2015.0,39.52
301,3,2013-04-16,30598,0,1,0,0,1,b,a,51819.0,,0,,2009.0,77.69
550,7,2013-04-17,20122,6565,1,1,0,1,b,c,53004.0,4.0,0,52.0,,11.33
260,2,2013-04-18,30327,585,1,1,0,0,a,c,67354.0,2.0,0,42.0,,36.59
635,3,2013-04-19,20426,0,1,1,0,0,b,a,10470.0,5.0,0,8.0,2010.0,56.82
421,3,2013-04-20,29981,2179,1,0,0,1,a,c,4375.0,10.0,0,4.0,2010.0,12.54
387,5,2013-04-21,13251,0,1,1,0,1,a,c,57310.0,,1,2.0,,50.41
388,4,2013-04-22,24270,186,1,0,0,1,c,a,50605.0,,1,35.0,2012.0,88.15
763,7,2013-04-23,25113,4456,1,0,0,1,d,c,25799.0,5.0,0,48.0,2015.0,6.4
160,1,2013-04-24,27285,1735,1,0,0,1,a,c,34444.0,3.0,0,35.0,,
44,2,2013-04-25,12451,4126,0,1,0,0,a,c,36075.0,8.0,0,,,79.37
998,3,2013-04-26,0,2224,1,0,0,1,a,a,54985.0,,0,,2015.0,11.86
565,3,2013-04-27,24627,2502,1,1,0,1,d,a,61224.0,,0,24.0,2015.0,5.11
905,4,2013-04-28,37494,0,1,0,0,0,c,a,58946.0,,0,,,48.37
67,7,2013-04-29,22124,600,1,0,0,0,c,c,40346.0,6.0,1,33.0,2014.0,94.58
271,7,2013-04-30,0,6445,1,1,0,1,d,c,31417.0,,0,,2009.0,
489,4,2013-05-01,898,6149,1,1,0,1,a,c,29307.0,,1,11.0,2009.0,86.0
576,5,2013-05-02,3671,4984,1,1,0,1,c,c,68473.0,4.0,1,51.0,2010.0,93.88
995,5,2013-05-03,27709,0,1,0,0,0,d,a,29075.0,9.0,0,,,51.27
156,5,2013-05-04,6128,6495,1,1,0,1,b,a,39333.0,,1,40.0,,7.2
502,4,2013-05-05,17030,210,0,0,0,1,a,a,39673.0,,1,44.0,,10.27
179,7,2013-05-06,0,0,1,0,0,0,d,c,61527.0,4.0,1,5.0,,71.56
1095,4,2013-05-07,33335,0,1,1,0,1,a,a,12485.0,7.0,0,,,
740,5,2013-05-08,10008,358,1,1,0,0,a,a,3009.0,,0,,,22.89
842,3,2013-05-09,30147,4844,0,1,0,1,a,a,21068.0,4.0,0,,,75.77
696,3,2013-05-10,19877,4672,1,1,0,1,a,a,875.0,11.0,0,,2015.0,
1056,7,2013-05-11,32852,2688,1,1,0,1,c,c,42254.0,2.0,0,,2013.0,56.07
1087,2,2013-05-12,19606,6416,1,0,0,1,a,a,73737.0,5.0,0,,2015.0,37.11
977,6,2013-05-13,10941,5834,1,1,b,0,b,c,15431.0,7.0,1,,,70.28
233,1,2013-05-14,40026,0,1,1,0,1,a,c,8586.0,9.0,0,,,68.32
956,7,2013-05-15,31027,6123,0,1,0,0,a,c,46530.0,4.0,0,52.0,2014.0,82.44
290,1,2013-05-16,26770,928,1,0,0,1,a,c,73099.0,10.0,1,49.0,2010.0,28.13
368,7,2013-05-17,27361,6362,1,1,0,1,a,a,19532.0,,0,,2009.0,40.13
18,7,2013-05-18,36276,4430,1,1,a,0,c,a,6241.0,,1,,2013.0,22.63
918,1,2013-05-19,38228,570,1,1,0,0,a,a,48312.0,9.0,0,,,52.69
1012,7,2013-05-20,6663,4125,1,0,0,1,a,a,73764.0,,1,13.0,,
376,7,2013-05-21,27083,2790,1,0,0,1,b,a,9390.0,,1,,,89.45
867,2,2013-05-22,0,4375,1,1,a,1,b,c,42667.0,1.0,0,45.0,,33.93
946,1,2013-05-23,4671,0,0,1,0,1,b,c,38109.0,2.0,0,,,32.83
640,1,2013-05-24,35371,31,1,1,0,1,a,a,19730.0,1.0,0,1.0,,
524,7,2013-05-25,22391,0,1,0,b,0,a,a,56910.0,2.0,1,,2010.0,
717,7,2013-05-26,3227,6014,1,1,0,0,b,c,22939.0,10.0,1,7.0,,
10,4,2013-05-27,26597,3115,0,1,0,0,a,a,23939.0,,0,,2015.0,93.66
505,6,2013-05-28,0,2624,1,1,a,1,a,a,29257.0,9.0,1,,,51.02
1020,3,2013-05-29,38239,5536,1,1,0,1,a,c,57931.0,5.0,0,,2014.0,80.95
377,1,2013-05-30,0,2252,1,0,0,1,a,a,3768.0,6.0,0,17.0,,32.69
777,5,2013-05-31,11700,5866,1,0,0,0,d,a,25074.0,,0,41.0,,41.65
42,2,2013-06-01,34460,4222,1,0,a,0,d,a,57269.0,6.0,0,,2012.0,90.11
766,7,2013-06-02,15006,0,1,0,0,1,b,a,58619.0,8.0,1,18.0,2014.0,
366,6,2013-06-03,8530,5099,0,0,0,0,c,a,57523.0,10.0,0,,,
978,7,2013-06-04,0,6972,1,0,0,1,d,c,65781.0,12.0,1,,2015.0,83.1
819,5,2013-06-05,19671,5630,1,0,0,1,a,c,14158.0,5.0,1,,2010.0,60.76
1073,2,2013-06-06,25337,3671,1,0,0,1,a,c,3652.0,8.0,1,28.0,2012.0,10.16
107,3,2013-06-07,11425,4591,1,1,0,1,a,a,10643.0,2.0,0,4.0,2011.0,6.01
855,6,2013-06-08,18515,7145,1,1,0,1,d,a,20072.0,8.0,0,10.0,2015.0,88.16
322,6,2013-06-09,34302,3999,1,0,a,1,b,c,28762.0,,1,,,
636,2,2013-06-10,30007,1006,1,0,0,0,b,c,73358.0,,0,15.0,2010.0,46.33
266,1,2013-06-11,40913,0,1,0,0,1,a,c,70206.0,2.0,1,,2014.0,17.96
199,1,2013-06-12,0,2590,1,1,0,0,b,a,7117.0,,0,17.0,2014.0,46.96
932,4,2013-06-13,33525,0,1,0,0,1,a,a,11501.0,3.0,0,,2014.0,41.58
800,2,2013-06-14,16051,3385,1,1,0,1,a,c,9872.0,7.0,0,15.0,2013.0,78.12
581,7,2013-06-15,30288,5203,1,0,0,1,a,c,65769.0,9.0,1,,,9.33
560,6,2013-06-16,17240,6945,1,1,0,0,a,a,1179.0,3.0,0,,2015.0,63.79
578,6,2013-06-17,0,4927,1,1,0,1,a,c,31753.0,10.0,0,2.0,2014.0,
587,1,2013-06-18,3532,776,1,1,0,1,a,c,20195.0,9.0,0,1.0,,28.97
871,2,2013-06-19,41299,6911,0,0,0,1,a,a,65634.0,,1,,2015.0,72.44
729,6,2013-06-20,40090,4049,1,0,0,0,a,c,44736.0,,1,42.0,2015.0,9.53
986,6,2013-06-21,0,3312,1,1,0,1,a,a,48827.0,12.0,0,17.0,2010.0,48.32
847,7,2013-06-22,0,981,1,0,0,0,a,c,19394.0,,1,14.0,2013.0,36.15
262,4,2013-06-23,32788,3412,1,0,0,1,a,a,58099.0,10.0,1,19.0,2014.0,
291,6,2013-06-24,24873,1651,0,1,0,1,a,c,73485.0,7.0,0,,2013.0,95.62
559,2,2013-06-25,21519,2887,1,1,0,1,b,c,61928.0,7.0,1,40.0,,76.4
354,2,2013-06-26,13883,4489,1,1,0,0,d,a,34964.0,8.0,0,,2012.0,19.0
749,6,2013-06-27,34681,1034,1,1,0,0,a,c,1193.0,12.0,1,,2015.0,81.81
269,7,2013-06-28,26991,0,1,0,0,1,a,c,46451.0,6.0,1,41.0,2012.0,3.08
497,1,2013-06-29,37564,4009,1,0,0,1,b,c,44743.0,9.0,1,22.0,2013.0,68.3
842,6,2013-06-30,38519,2117,1,1,b,0,d,a,17391.0,1.0,1,16.0,,4.7
586,5,2013-07-01,38034,0,1,0,0,0,d,c,2976.0,10.0,0,,2015.0,83.99
518,5,2013-07-02,0,0,1,1,0,0,a,c,47843.0,6.0,1,,,
1082,6,2013-07-03,26597,0,1,0,0,1,a,a,60339.0,12.0,0,32.0,2015.0,65.03
664,7,2013-07-04,13415,5971,1,0,0,0,b,a,20664.0,1.0,0,37.0,2010.0,24.23
847,2,2013-07-05,18582,2138,1,0,0,0,c,c,44586.0,,1,5.0,2013.0,
594,2,2013-07-06,29566,251,1,0,0,1,b,c,71305.0,,0,,2012.0,22.07
726,7,2013-07-07,22798,6434,1,0,0,1,a,a,46201.0,3.0,1,38.0,,
946,1,2013-07-08,0,1658,0,0,0,1,a,c,62275.0,3.0,0,11.0,2014.0,50.2
223,5,2013-07-09,30971,3008,1,1,0,0,a,a,57321.0,,1,3.0,2010.0,5.4
650,2,2013-07-10,27962,3891,1,0,0,0,a,c,921.0,1.0,1,45.0,2009.0,77.59
368,3,2013-07-11,11074,5550,1,1,0,1,a,a,50564.0,1.0,1,38.0,,49.92
1093,3,2013-07-12,0,6718,0,1,0,1,c,a,31228.0,,0,,,55.81
512,4,2013-07-13,30195,3032,1,1,0,0,b,a,10976.0,,1,49.0,2012.0,64.78
666,2,2013-07-14,33692,2740,1,0,0,1,a,a,31485.0,4.0,1,7.0,2014.0,
43,4,2013-07-15,40244,1499,0,1,0,1,b,c,14393.0,6.0,1,,,60.29
561,4,2013-07-16,28976,0,1,1,a,0,a,c,41344.0,,0,36.0,,
467,2,2013-07-17,0,4125,1,1,0,1,a,a,27904.0,,1,22.0,2011.0,46.86
70,1,2013-07-18,465,695,0,1,0,0,a,c,60993.0,,0,,2011.0,60.17
2,2,2013-07-19,20625,6386,1,1,0,1,c,c,62012.0,11.0,1,1.0,,24.29
473,5,2013-07-20,23334,1548,1,0,0,1,b,a,66001.0,6.0,1,,,8.59
942,1,2013-07-21,4287,4368,1,1,0,0,a,a,51571.0,6.0,1,,2010.0,41.36
375,1,2013-07-22,18805,3672,1,1,0,1,a,a,43892.0,1.0,1,,,15.27
936,5,2013-07-23,2799,0,1,1,0,0,a,a,49231.0,8.0,1,,2011.0,7.8
650,3,2013-07-24,0,2171,1,0,0,1,a,a,52891.0,10.0,0,,2013.0,72.5
673,1,2013-07-25,5625,3839,1,1,b,0,d,a,38476.0,8.0,0,41.0,,61.29
390,4,2013-07-26,22787,4387,0,0,0,1,d,c,21647.0,5.0,0,4.0,,15.87
853,6,2013-07-27,30701,1290,0,1,0,0,c,c,62834.0,,1,51.0,2011.0,49.18
345,2,2013-07-28,4651,2230,1,0,0,0,a,a,6599.0,,0,,,91.41
768,6,2013-07-29,15349,3566,1,0,0,0,a,a,16569.0,1.0,0,52.0,2010.0,91.08
1114,7,2013-07-30,32969,1761,1,1,0,1,a,c,533.0,9.0,1,,2015.0,
640,4,2013-07-31,21357,1050,1,1,0,1,a,a,24061.0,7.0,0,22.0,,91.55
357,1,2013-08-01,36479,4760,0,1,0,0,d,a,1757.0,10.0,1,,2012.0,84.87
506,7,2013-08-02,4930,0,1,0,0,0,a,a,19446.0,,1,,,12.16
950,2,2013-08-03,23036,5363,1,0,0,1,c,c,55260.0,10.0,0,,,27.95
581,6,2013-08-04,26663,1052,1,0,0,0,a,a,24884.0,10.0,1,19.0,,26.4
903,3,2013-08-05,36376,6793,1,1,0,1,c,c,15758.0,,1,48.0,2014.0,3.88
996,6,2013-08-06,21326,3939,1,1,0,1,c,a,24441.0,11.0,0,,2014.0,54.79
362,6,2013-08-07,12925,4178,1,0,0,0,a,a,53718.0,,1,,,
154,3,2013-08-08,9106,2956,1,1,b,0,a,c,3407.0,7.0,1,42.0,2014.0,5.17
425,4,2013-08-09,12135,7001,1,0,0,0,a,a,6999.0,10.0,1,27.0,,59.94
200,1,2013-08-10,7489,0,1,1,0,0,a,c,66768.0,6.0,1,,2013.0,21.49
827,3,2013-08-11,36783,0,1,1,0,0,a,c,61600.0,3.0,1,13.0,,
646,7,2013-08-12,8748,5411,1,1,0,1,c,c,70520.0,12.0,1,8.0,2011.0,2.78
431,4,2013-08-13,17346,3905,1,1,0,0,a,c,47454.0,,0,25.0,,1.16
900,3,2013-08-14,4807,3995,1,0,0,1,a,a,73189.0,,1,,2009.0,66.04
47,6,2013-08-15,41309,3409,1,1,0,0,b,a,28772.0,4.0,1,11.0,,21.62
98,5,2013-08-16,17738,3719,1,0,0,0,a,a,21052.0,2.0,0,10.0,2013.0,95.92
562,4,2013-08-17,38866,0,1,1,0,0,c,c,62424.0,3.0,0,17.0,,90.13
252,2,2013-08-18,21348,3805,1,0,0,0,a,c,74402.0,5.0,1,,2014.0,4.02
593,2,2013-08-19,22301,1711,1,0,a,0,a,c,52718.0,,0,36.0,2012.0,82.97
164,3,2013-08-20,33810,6138,1,1,0,1,d,c,75039.0,12.0,1,42.0,2013.0,67.61
372,2,2013-08-21,32593,962,0,1,0,1,d,c,63316.0,,0,,2014.0,40.92
662,2,2013-08-22,37556,0,1,0,0,1,a,a,17484.0,5.0,1,42.0,,23.15
60,6,2013-08-23,33229,0,1,0,0,0,b,a,53866.0,9.0,1,29.0,,56.77
413,5,2013-08-24,37321,3510,1,0,0,0,c,a,23477.0,10.0,1,,,90.95
489,2,2013-08-25,14802,5029,1,0,0,0,a,a,3786.0,3.0,1,17.0,,11.5
922,4,2013-08-26,871,6168,1,1,0,1,a,a,27123.0,10.0,0,12.0,2011.0,91.95
1073,4,2013-08-27,19174,5304,1,0,0,0,b,c,43136.0,6.0,1,,2014.0,68.11
140,7,2013-08-28,6988,1172,1,1,0,1,c,c,8222.0,10.0,1,,2013.0,7.24
1037,5,2013-08-29,37525,4979,1,1,0,1,c,c,41227.0,8.0,0,27.0,,49.4
1090,6,2013-08-30,30599,5616,1,0,0,0,a,c,29940.0,1.0,1,48.0,,
931,2,2013-08-31,21112,4785,1,1,a,1,b,c,62358.0,5.0,1,29.0,2015.0,68.98
738,3,2013-09-01,24983,2880,1,0,0,1,a,a,73874.0,1.0,1,46.0,2014.0,7.14
413,1,2013-09-02,0,0,0,0,0,0,b,c,13592.0,3.0,0,,2014.0,39.16
121,5,2013-09-03,0,714,1,0,0,0,a,a,61920.0,1.0,1,8.0,,10.31
205,7,2013-09-04,0,5848,1,0,0,1,b,a,17122.0,1.0,0,50.0,,96.04
1093,5,2013-09-05,31581,6429,1,0,0,0,a,a,33044.0,5.0,0,15.0,,28.12
1088,6,2013-09-06,17720,4139,1,0,0,1,a,c,7262.0,,1,11.0,2010.0,
796,1,2013-09-07,18521,6578,1,0,0,1,a,a,38825.0,8.0,0,,,23.66
958,7,2013-09-08,18690,0,1,0,0,0,a,c,34259.0,,1,,,56.23
559,6,2013-09-09,0,6800,1,0,0,0,a,a,33398.0,11.0,0,10.0,,
218,4,2013-09-10,20506,1885,1,0,0,0,b,a,406.0,3.0,1,31.0,,69.85
825,3,2013-09-11,997,2777,1,0,0,1,a,a,34467.0,4.0,0,16.0,2009.0,17.27
475,2,2013-09-12,31329,1964,1,0,0,1,b,a,46985.0,11.0,0,,,
582,7,2013-09-13,38712,2726,1,1,0,1,a,c,4088.0,12.0,0,,,58.11
672,4,2013-09-14,40626,981,1,0,0,1,a,c,11523.0,9.0,1,10.0,2012.0,90.8
895,7,2013-09-15,11363,3660,1,0,0,1,a,a,23238.0,,0,,2009.0,8.46
679,6,2013-09-16,16179,1042,1,1,0,1,a,a,11487.0,2.0,0,,2015.0,30.82
907,7,2013-09-17,0,1240,1,1,0,0,c,a,60667.0,12.0,0,,,55.41
720,5,2013-09-18,33653,6584,1,0,0,0,b,c,7527.0,3.0,0,,,
244,4,2013-09-19,26815,802,1,1,0,0,a,c,23599.0,12.0,0,,2014.0,
1060,4,2013-09-20,26174,3322,1,1,0,0,a,c,34701.0,1.0,0,,2010.0,1.58
262,1,2013-09-21,40971,3781,1,1,0,1,a,a,21.0,,1,12.0,,70.81
173,4,2013-09-22,35310,0,1,1,0,0,c,a,16370.0,11.0,0,17.0,2009.0,55.24
895,4,2013-09-23,5647,3641,1,0,a,1,a,a,2993.0,5.0,0,4.0,2009.0,95.9
998,2,2013-09-24,17685,0,1,0,a,0,d,c,2720.0,3.0,1,,,
275,5,2013-09-25,38339,2616,1,0,0,1,b,c,40572.0,2.0,1,33.0,2010.0,30.18
309,3,2013-09-26,0,2689,1,0,0,1,d,c,16792.0,,1,,2011.0,1.86
192,1,2013-09-27,14813,1449,1,1,0,0,a,a,29945.0,12.0,0,,2014.0,55.57
616,4,2013-09-28,12545,2349,1,1,0,0,d,c,55065.0,,1,41.0,2011.0,51.81
537,2,2013-09-29,28858,6421,1,1,0,0,d,c,72858.0,10.0,0,13.0,2014.0,
618,6,2013-09-30,29097,1519,1,1,c,1,a,a,432.0,,0,,,9.95
309,3,2013-10-01,0,0,1,0,0,1,d,c,53115.0,10.0,0,,2015.0,58.67
778,4,2013-10-02,11628,646,1,1,0,1,a,a,19158.0,,1,,2013.0,99.65
368,7,2013-10-03,1566,7242,1,0,0,1,a,a,13419.0,10.0,1,,2012.0,2.5
392,4,2013-10-04,17006,1468,1,0,0,1,a,a,17239.0,5.0,0,,2010.0,5.44
492,6,2013-10-05,14747,1526,1,0,0,1,a,b,6063.0,,1,18.0,2014.0,0.31
129,7,2013-10-06,0,6047,1,0,0,1,b,a,19647.0,,0,,,5.86
426,1,2013-10-07,0,6574,1,0,0,1,b,c,74236.0,9.0,1,28.0,2013.0,22.62
943,2,2013-10-08,34119,4166,1,1,0,1,a,a,16744.0,,1,,,
310,5,2013-10-09,10573,2183,1,0,0,1,a,c,22328.0,,1,,,50.31
202,6,2013-10-10,26952,4347,1,0,0,0,a,a,26793.0,,0,,,8.61
833,1,2013-10-11,0,5994,1,1,0,0,b,a,48149.0,4.0,0,1.0,2013.0,35.57
268,1,2013-10-12,22307,2715,1,0,0,1,a,c,58255.0,9.0,1,28.0,2015.0,40.57
815,5,2013-10-13,0,5870,1,1,0,1,a,c,38512.0,6.0,1,,2009.0,63.4
