customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST_00029,Female,0,No,No,21,Yes,DSL,Two year,Yes,Electronic check,58.1,7869.57,No
CUST_00030,Female,1,No,No,67,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,73.05,7233.59,No
CUST_00031,Female,1,Yes,No,3,Yes,No,Month-to-month,No,Credit card,56.36,80.34,No
CUST_00032,Male,1,Yes,No,49,Yes,Fiber optic,Two year,No,Electronic check,51.41,2009.93,Yes
CUST_00033,Female,0,Yes,No,4,No,DSL,One year,No,Credit card,48.28,7711.57,No
CUST_00034,Female,0,Yes,No,53,Yes,DSL,One year,No,Electronic check,40.76,2746.45,Yes
CUST_00035,Male,1,No,Yes,42,Yes,DSL,Month-to-month,Yes,Bank transfer,94.71,4158.6,No
CUST_00036,Female,1,No,No,34,Yes,No,Two year,No,Credit card,117.13,5868.22,No
CUST_00037,Male,0,No,No,51,Yes,Fiber optic,One year,Yes,Electronic check,21.16,4727.53,No
CUST_00038,Female,0,No,Yes,25,Yes,No,Month-to-month,No,Mailed check,37.95,60.99,No
CUST_00039,Female,0,No,No,41,Yes,Fiber optic,One year,No,Credit card,115.16,1808.88,No
CUST_00040,Female,0,No,No,58,Yes,Fiber optic,Month-to-month,Yes,Mailed check,52.6,889.21,No
CUST_00041,Female,0,Yes,Yes,33,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,57.34,1471.61,Yes
CUST_00042,Female,0,Yes,Yes,1,Yes,Fiber optic,One year,No,Electronic check,84.88,1295.9,No
CUST_00043,Male,1,No,No,72,Yes,Fiber optic,One year,Yes,Bank transfer,53.69,5415.8,Yes
CUST_00044,Female,0,No,No,39,Yes,DSL,Two year,Yes,Bank transfer,67.77,3542.09,Yes
CUST_00045,Male,1,Yes,No,31,Yes,Fiber optic,One year,No,Bank transfer,108.77,595.53,No
CUST_00046,Female,0,No,No,5,Yes,No,Month-to-month,Yes,Bank transfer,75.01,731.93,No
CUST_00047,Female,1,No,Yes,6,Yes,DSL,Month-to-month,Yes,Mailed check,85.27,8254.59,No
CUST_00048,Male,0,No,Yes,18,Yes,Fiber optic,Month-to-month,No,Bank transfer,40.07,1359.97,No
CUST_00049,Female,1,Yes,No,67,Yes,No,Month-to-month,No,Mailed check,44.53,2218.58,No
CUST_00050,Female,0,Yes,No,52,Yes,Fiber optic,One year,Yes,Credit card,107.85,,No
CUST_00051,Male,1,Yes,Yes,30,Yes,Fiber optic,Month-to-month,No,Bank transfer,110.47,1640.26,No
CUST_00052,Female,0,Yes,No,55,No,DSL,Month-to-month,Yes,Mailed check,99.35,1730.59,No
CUST_00053,Female,0,No,Yes,28,Yes,Fiber optic,Month-to-month,Yes,Credit card,30.52,647.84,No
CUST_00054,Male,0,Yes,No,64,Yes,No,Month-to-month,Yes,Mailed check,100.51,8518.6,Yes
CUST_00055,Female,1,No,Yes,23,Yes,No,Month-to-month,Yes,Credit card,20.18,5270.83,No
CUST_00056,Female,0,No,No,52,Yes,DSL,One year,No,Credit card,78.2,4609.56,Yes
CUST_00057,Female,0,No,Yes,31,Yes,No,Month-to-month,Yes,Bank transfer,86.11,7720.02,No
CUST_00058,Male,1,No,Yes,49,Yes,Fiber optic,Two year,Yes,Mailed check,61.1,5170.09,Yes
CUST_00059,Male,0,Yes,No,13,No,Fiber optic,Month-to-month,No,Mailed check,66.41,2298.68,No
CUST_00060,Male,1,No,No,68,Yes,DSL,Two year,No,Credit card,92.81,4111.39,No
CUST_00061,Female,0,Yes,Yes,20,Yes,DSL,Two year,No,Mailed check,108.19,4157.5,No
CUST_00062,Male,0,No,Yes,39,Yes,Fiber optic,Two year,No,Bank transfer,37.28,3468.56,No
CUST_00063,Female,1,No,Yes,50,Yes,Fiber optic,Two year,No,Credit card,32.17,6549.76,No
CUST_00064,Male,0,Yes,Yes,47,No,No,Month-to-month,No,Electronic check,81.56,969.31,No
CUST_00065,Male,1,Yes,No,40,Yes,DSL,Month-to-month,No,Electronic check,41.44,1398.56,Yes
CUST_00066,Male,0,Yes,Yes,63,Yes,No,One year,No,Credit card,37.77,3244.25,No
CUST_00067,Female,1,Yes,No,70,Yes,Fiber optic,Month-to-month,No,Credit card,38.7,635.59,No
CUST_00068,Female,0,Yes,No,55,Yes,DSL,One year,Yes,Mailed check,38.03,8575.57,Yes
CUST_00069,Female,1,No,Yes,13,Yes,DSL,One year,Yes,Electronic check,66.2,4315.35,No
CUST_00070,Female,0,No,No,56,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,115.17,453.02,Yes
CUST_00071,Female,1,Yes,Yes,36,Yes,No,Month-to-month,Yes,Bank transfer,101.47,5286.83,No
CUST_00072,Female,0,Yes,Yes,39,Yes,DSL,One year,Yes,Mailed check,72.86,6787.85,No
CUST_00073,Female,1,Yes,No,68,Yes,Fiber optic,One year,Yes,Electronic check,26.41,3552.07,Yes
CUST_00074,Female,0,Yes,No,38,Yes,Fiber optic,Two year,Yes,Bank transfer,85.88,4183.09,No
CUST_00075,Female,0,Yes,Yes,62,Yes,Fiber optic,One year,No,Mailed check,63.59,6090.2,No
CUST_00076,Male,1,No,No,47,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,96.48,2045.06,No
CUST_00077,Male,1,Yes,No,6,Yes,No,Month-to-month,No,Bank transfer,67.89,5198.16,No
CUST_00078,Female,0,No,No,51,Yes,DSL,Month-to-month,No,Mailed check,85.41,5486.57,No
CUST_00079,Female,0,Yes,No,36,Yes,DSL,Month-to-month,No,Bank transfer,38.35,6991.84,No
CUST_00080,Male,0,No,Yes,39,Yes,DSL,Two year,Yes,Credit card,101.99,7740.83,No
CUST_00081,Female,1,Yes,No,22,Yes,No,One year,No,Bank transfer,96.58,8172.54,No
CUST_00082,Female,0,Yes,Yes,13,Yes,Fiber optic,Two year,Yes,Electronic check,55.84,1113.54,No
CUST_00083,Male,1,No,No,54,Yes,DSL,Month-to-month,No,Bank transfer,115.1,7092.57,Yes
CUST_00084,Male,1,No,Yes,18,Yes,No,Month-to-month,Yes,Mailed check,34.37,5872.08,No
CUST_00085,Male,1,No,No,6,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,20.26,3231.53,Yes
CUST_00086,Male,1,Yes,No,35,Yes,Fiber optic,Month-to-month,Yes,Electronic check,94.95,8015.88,No
CUST_00087,Female,0,No,Yes,51,Yes,DSL,Month-to-month,No,Bank transfer,78.61,7472.57,No
CUST_00088,Male,1,No,Yes,14,Yes,No,Month-to-month,No,Bank transfer,29.4,6729.39,No
CUST_00089,Female,0,Yes,Yes,26,Yes,Fiber optic,Month-to-month,No,Electronic check,34.28,516.96,No
CUST_00090,Female,1,No,No,30,Yes,DSL,Month-to-month,No,Mailed check,31.4,1552.74,Yes
CUST_00091,Male,0,Yes,Yes,67,Yes,DSL,One year,Yes,Mailed check,35.02,7977.04,No
CUST_00092,Male,1,Yes,No,10,Yes,DSL,One year,No,Bank transfer,64.62,8530.86,No
CUST_00093,Male,0,Yes,No,67,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,23.37,2421.92,No
CUST_00094,Male,0,Yes,Yes,10,Yes,DSL,One year,No,Bank transfer,70.45,2422.64,No
CUST_00095,Male,0,No,No,42,Yes,DSL,Month-to-month,No,Credit card,79.09,5307.7,No
CUST_00096,Female,1,Yes,No,61,Yes,Fiber optic,Month-to-month,Yes,Credit card,91.35,678.99,No
CUST_00097,Male,1,Yes,No,66,Yes,No,One year,Yes,Mailed check,113.33,5177.8,No
CUST_00098,Male,0,Yes,No,39,No,Fiber optic,Month-to-month,No,Credit card,26.54,8413.46,No
CUST_00099,Male,0,No,Yes,35,Yes,Fiber optic,One year,No,Mailed check,21.78,2592.19,No
CUST_00100,Female,1,No,Yes,56,Yes,Fiber optic,Month-to-month,No,Credit card,32.23,6455.43,Yes
CUST_00101,Female,1,Yes,No,66,No,Fiber optic,Month-to-month,No,Mailed check,52.15,4567.59,Yes
CUST_00102,Female,0,Yes,Yes,0,Yes,No,Month-to-month,No,Mailed check,71.05,2508.64,No
CUST_00103,Male,0,No,Yes,19,Yes,No,Month-to-month,Yes,Bank transfer,18.68,3593.34,No
CUST_00104,Male,0,Yes,Yes,20,No,Fiber optic,Month-to-month,Yes,Bank transfer,87.83,4794.48,No
CUST_00105,Female,0,Yes,Yes,60,Yes,Fiber optic,Month-to-month,No,Electronic check,114.42,6618.75,No
CUST_00106,Male,0,No,No,1,Yes,DSL,Month-to-month,Yes,Electronic check,43.35,4705.33,No
CUST_00107,Male,1,No,No,9,Yes,Fiber optic,Month-to-month,No,Credit card,19.13,8036.07,No
CUST_00108,Male,0,No,Yes,0,No,Fiber optic,One year,Yes,Electronic check,93.95,1032.28,No
CUST_00109,Male,0,Yes,Yes,69,Yes,Fiber optic,Two year,No,Mailed check,95.64,8318.21,No
CUST_00110,Female,1,No,Yes,2,Yes,Fiber optic,Two year,Yes,Mailed check,22.62,4790.75,No
CUST_00111,Female,1,Yes,No,19,Yes,DSL,One year,No,Mailed check,80.29,3414.27,Yes
CUST_00112,Female,0,No,Yes,38,No,Fiber optic,Two year,Yes,Mailed check,42.66,677.86,No
CUST_00113,Female,1,Yes,No,25,Yes,DSL,One year,Yes,Credit card,81.85,2586.09,No
CUST_00114,Male,0,Yes,No,6,Yes,Fiber optic,One year,Yes,Bank transfer,91.25,3813.94,No
CUST_00115,Female,1,No,Yes,30,Yes,DSL,Two year,No,Credit card,40.64,8139.42,No
CUST_00116,Female,0,Yes,No,58,Yes,DSL,Two year,Yes,Mailed check,44.46,6573.98,No
CUST_00117,Female,0,No,Yes,21,Yes,DSL,One year,Yes,Mailed check,79.71,530.48,No
CUST_00118,Male,1,No,No,37,Yes,Fiber optic,Two year,No,Bank transfer,76.77,2860.32,Yes
CUST_00119,Female,0,Yes,Yes,34,Yes,Fiber optic,Month-to-month,Yes,Electronic check,107.31,4277.55,No
CUST_00120,Male,1,No,No,17,Yes,Fiber optic,Two year,Yes,Credit card,69.54,7385.64,Yes
CUST_00121,Male,0,Yes,Yes,0,Yes,Fiber optic,Month-to-month,Yes,Credit card,98.63,6747.32,No
CUST_00122,Male,1,Yes,No,61,Yes,No,Month-to-month,Yes,Electronic check,91.82,1891.85,No
CUST_00123,Male,1,Yes,No,72,Yes,No,Month-to-month,Yes,Electronic check,85.15,456.08,No
CUST_00124,Female,0,No,No,37,Yes,Fiber optic,One year,Yes,Mailed check,37.52,1165.97,No
CUST_00125,Female,1,No,Yes,60,Yes,Fiber optic,Month-to-month,Yes,Electronic check,46.02,4380.31,No
CUST_00126,Male,0,No,No,25,Yes,No,Month-to-month,Yes,Electronic check,75.21,797.68,Yes
CUST_00127,Male,1,No,Yes,68,Yes,Fiber optic,Month-to-month,Yes,Credit card,24.88,2183.2,No
CUST_00128,Female,0,Yes,Yes,41,Yes,DSL,One year,Yes,Electronic check,22.78,7136.6,Yes
CUST_00129,Female,0,No,No,58,Yes,Fiber optic,Month-to-month,No,Mailed check,23.26,3502.13,Yes
CUST_00130,Male,0,No,Yes,49,Yes,DSL,One year,Yes,Credit card,110.84,8651.41,No
CUST_00131,Male,0,Yes,Yes,67,Yes,No,One year,Yes,Mailed check,87.48,6570.15,No
CUST_00132,Female,0,Yes,Yes,40,Yes,Fiber optic,Two year,No,Electronic check,102.34,2314.58,No
CUST_00133,Female,0,Yes,No,61,No,No,One year,Yes,Electronic check,115.07,84.4,No
CUST_00134,Female,1,No,No,68,Yes,DSL,Month-to-month,No,Electronic check,88.7,4587.58,No
CUST_00135,Female,0,No,No,55,No,Fiber optic,Two year,Yes,Bank transfer,70.04,6135.75,Yes
CUST_00136,Male,0,Yes,No,25,Yes,Fiber optic,Two year,Yes,Mailed check,66.39,4089.07,Yes
CUST_00137,Female,1,Yes,No,6,Yes,No,Month-to-month,No,Electronic check,93.23,7874.57,No
CUST_00138,Male,0,No,Yes,29,Yes,No,Month-to-month,Yes,Mailed check,105.47,6673.86,No
CUST_00139,Female,1,No,Yes,50,Yes,DSL,Month-to-month,No,Mailed check,101.63,4527.45,No
CUST_00140,Female,1,No,Yes,62,No,No,Two year,Yes,Bank transfer,67.79,182.79,Yes
CUST_00141,Male,0,No,No,56,Yes,No,Two year,Yes,Mailed check,95.99,2950.05,No
CUST_00142,Male,0,Yes,No,46,Yes,No,Two year,Yes,Credit card,66.15,4303.34,Yes
CUST_00143,Male,1,No,Yes,39,Yes,Fiber optic,Two year,No,Mailed check,56.88,2187.33,No
CUST_00144,Male,0,No,No,70,Yes,No,One year,Yes,Bank transfer,48.17,7277.89,No
CUST_00145,Male,0,Yes,Yes,17,No,DSL,Month-to-month,Yes,Bank transfer,23.73,3697.27,No
CUST_00146,Female,1,Yes,No,57,Yes,DSL,Month-to-month,No,Mailed check,38.47,1784.94,No
CUST_00147,Male,0,No,Yes,40,Yes,DSL,Month-to-month,Yes,Electronic check,91.62,6770.48,Yes
CUST_00148,Female,1,Yes,Yes,37,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,35.51,5290.19,No
CUST_00149,Male,0,No,No,29,Yes,No,Month-to-month,Yes,Credit card,108.82,1726.68,No
CUST_00150,Female,1,Yes,No,46,Yes,Fiber optic,Month-to-month,No,Credit card,26.15,4635.58,No
CUST_00151,Female,1,Yes,Yes,72,Yes,Fiber optic,Two year,Yes,Credit card,23.39,,No
CUST_00152,Male,1,No,Yes,29,Yes,No,Month-to-month,No,Electronic check,66.6,3904.92,No
CUST_00153,Female,0,No,No,8,Yes,Fiber optic,Two year,No,Mailed check,40.63,2639.24,Yes
CUST_00154,Male,0,No,No,9,Yes,Fiber optic,Two year,Yes,Bank transfer,28.6,5995.47,No
CUST_00155,Female,0,Yes,Yes,12,No,Fiber optic,Month-to-month,Yes,Bank transfer,24.27,,No
CUST_00156,Female,1,Yes,No,29,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,71.24,165.58,No
CUST_00157,Male,0,No,Yes,0,No,Fiber optic,Month-to-month,Yes,Electronic check,44.33,2047.73,No
CUST_00158,Female,1,No,No,20,Yes,No,Two year,Yes,Bank transfer,74.1,5619.77,Yes
CUST_00159,Female,0,No,Yes,50,Yes,Fiber optic,One year,Yes,Bank transfer,33.15,1961.24,No
CUST_00160,Male,0,No,Yes,49,Yes,Fiber optic,Month-to-month,No,Electronic check,20.7,8361.17,No
CUST_00161,Male,1,Yes,Yes,48,Yes,Fiber optic,One year,Yes,Bank transfer,20.99,1429.55,Yes
CUST_00162,Male,1,Yes,No,48,Yes,No,Two year,No,Bank transfer,29.57,6502.84,No
CUST_00163,Female,0,Yes,No,5,Yes,Fiber optic,Month-to-month,No,Credit card,98.25,8670.26,No
CUST_00164,Male,1,No,Yes,68,Yes,No,One year,Yes,Credit card,63.33,3022.25,Yes
CUST_00165,Female,0,No,No,21,Yes,Fiber optic,Month-to-month,No,Mailed check,80.95,5245.5,Yes
CUST_00166,Male,1,Yes,Yes,5,No,DSL,Month-to-month,No,Bank transfer,106.19,934.9,No
CUST_00167,Female,0,No,No,59,Yes,Fiber optic,Two year,Yes,Bank transfer,39.62,5407.52,No
CUST_00168,Female,0,No,No,34,Yes,DSL,Month-to-month,Yes,Electronic check,105.82,8576.67,Yes
CUST_00169,Male,1,Yes,No,25,Yes,DSL,Two year,Yes,Credit card,93.19,8449.6,Yes
CUST_00170,Male,0,No,Yes,29,Yes,DSL,One year,Yes,Electronic check,91.52,3587.27,No
CUST_00171,Male,0,No,Yes,42,Yes,Fiber optic,Month-to-month,No,Credit card,105.76,7130.3,No
CUST_00172,Female,1,No,Yes,38,Yes,Fiber optic,One year,Yes,Bank transfer,30.9,7182.11,No
CUST_00173,Male,0,No,No,1,Yes,Fiber optic,Month-to-month,Yes,Credit card,72.57,2854.89,Yes
CUST_00174,Male,1,Yes,Yes,8,Yes,Fiber optic,Month-to-month,No,Bank transfer,66.85,7148.73,No
CUST_00175,Female,0,No,Yes,69,Yes,Fiber optic,Month-to-month,No,Electronic check,84.98,1426.2,No
CUST_00176,Male,0,Yes,Yes,35,Yes,No,Two year,Yes,Credit card,42.17,8501.77,No
CUST_00177,Female,0,No,No,72,Yes,No,Two year,Yes,Mailed check,31.05,7507.7,No
CUST_00178,Female,0,No,Yes,47,Yes,Fiber optic,Month-to-month,Yes,Mailed check,116.08,4443.6,No
CUST_00179,Female,1,No,No,53,Yes,DSL,Month-to-month,No,Credit card,65.05,3358.0,No
CUST_00180,Female,0,No,No,22,Yes,No,Two year,Yes,Electronic check,41.57,8216.39,No
CUST_00181,Female,1,No,No,61,Yes,No,One year,Yes,Bank transfer,31.18,635.18,No
CUST_00182,Male,0,No,Yes,47,Yes,DSL,Month-to-month,No,Credit card,77.91,4337.84,No
CUST_00183,Female,1,Yes,No,54,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,33.1,4238.68,No
CUST_00184,Male,1,No,No,19,Yes,DSL,Month-to-month,Yes,Bank transfer,36.65,3323.36,No
CUST_00185,Male,1,Yes,No,42,No,Fiber optic,Month-to-month,No,Bank transfer,113.94,994.83,No
CUST_00186,Male,1,No,No,26,Yes,Fiber optic,Month-to-month,No,Bank transfer,21.18,2197.27,No
CUST_00187,Male,0,Yes,No,66,Yes,DSL,One year,Yes,Electronic check,37.03,8538.5,No
CUST_00188,Male,1,Yes,No,66,Yes,DSL,One year,No,Bank transfer,85.71,7020.51,No
CUST_00189,Male,0,Yes,Yes,25,Yes,Fiber optic,Month-to-month,Yes,Credit card,40.05,7283.36,Yes
CUST_00190,Female,1,Yes,No,1,Yes,Fiber optic,One year,Yes,Mailed check,36.53,4434.4,No
CUST_00191,Male,0,No,No,18,Yes,Fiber optic,Month-to-month,Yes,Credit card,74.18,5754.18,No
CUST_00192,Male,1,Yes,No,19,Yes,DSL,Two year,Yes,Electronic check,88.19,4395.18,Yes
CUST_00193,Female,1,Yes,Yes,1,Yes,Fiber optic,Month-to-month,Yes,Electronic check,61.53,5888.8,Yes
CUST_00194,Male,1,Yes,Yes,68,Yes,No,Month-to-month,Yes,Electronic check,96.77,7501.62,Yes
CUST_00195,Female,1,No,No,34,Yes,DSL,Month-to-month,Yes,Bank transfer,100.18,2121.13,No
CUST_00196,Female,0,No,No,10,Yes,Fiber optic,Month-to-month,No,Mailed check,80.87,8259.24,Yes
CUST_00197,Female,1,Yes,Yes,44,Yes,Fiber optic,One year,Yes,Bank transfer,76.32,7936.16,Yes
CUST_00198,Female,0,Yes,Yes,29,Yes,DSL,One year,Yes,Bank transfer,100.29,3652.38,Yes
CUST_00199,Male,0,No,No,12,Yes,No,Month-to-month,Yes,Mailed check,19.76,8483.87,Yes
CUST_00200,Male,1,Yes,Yes,33,Yes,No,Month-to-month,No,Mailed check,69.57,7666.75,No
CUST_00201,Female,0,No,Yes,43,Yes,Fiber optic,One year,Yes,Credit card,31.19,366.11,No
CUST_00202,Female,0,Yes,No,47,Yes,Fiber optic,One year,Yes,Credit card,40.52,383.76,Yes
CUST_00203,Male,0,Yes,No,16,Yes,DSL,Two year,No,Mailed check,113.62,6148.13,No
CUST_00204,Male,0,No,Yes,44,Yes,Fiber optic,Two year,Yes,Electronic check,18.62,6810.1,No
CUST_00205,Female,0,Yes,Yes,57,Yes,DSL,One year,No,Credit card,49.1,2173.92,No
CUST_00206,Male,0,Yes,No,45,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,33.76,4340.85,No
CUST_00207,Male,1,No,No,69,Yes,DSL,Two year,No,Mailed check,75.58,4691.93,No
CUST_00208,Male,1,Yes,No,68,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,103.1,3880.33,Yes
CUST_00209,Male,1,Yes,Yes,36,Yes,No,One year,No,Bank transfer,57.53,617.81,Yes
CUST_00210,Female,0,No,No,28,Yes,DSL,Two year,Yes,Electronic check,102.39,1915.75,No
CUST_00211,Female,0,No,No,33,Yes,Fiber optic,Month-to-month,Yes,Credit card,62.49,7077.35,No
CUST_00212,Male,1,Yes,Yes,35,Yes,No,Month-to-month,No,Bank transfer,109.61,652.17,Yes
CUST_00213,Male,0,Yes,No,12,Yes,DSL,Month-to-month,Yes,Electronic check,103.37,5410.27,Yes
CUST_00214,Female,0,No,Yes,70,Yes,No,Two year,Yes,Credit card,36.22,5514.41,No
CUST_00215,Male,0,Yes,Yes,41,Yes,Fiber optic,Month-to-month,No,Credit card,107.2,8307.74,Yes
CUST_00216,Male,1,Yes,Yes,9,Yes,Fiber optic,Two year,Yes,Credit card,37.6,8576.05,No
CUST_00217,Female,1,No,Yes,65,No,Fiber optic,Month-to-month,Yes,Bank transfer,67.53,8208.54,No
CUST_00218,Female,1,No,Yes,69,Yes,DSL,Month-to-month,Yes,Mailed check,37.95,4709.89,Yes
CUST_00219,Male,1,Yes,Yes,40,No,DSL,Month-to-month,Yes,Bank transfer,57.09,380.83,No
CUST_00220,Male,1,Yes,No,69,Yes,Fiber optic,Two year,Yes,Bank transfer,117.3,2421.89,Yes
CUST_00221,Male,1,Yes,Yes,70,No,Fiber optic,Month-to-month,No,Bank transfer,95.15,4139.44,No
CUST_00222,Male,1,Yes,No,69,Yes,No,Two year,Yes,Electronic check,73.93,357.81,Yes
CUST_00223,Female,0,Yes,Yes,70,Yes,Fiber optic,One year,Yes,Mailed check,112.27,340.29,No
CUST_00224,Female,1,Yes,No,4,Yes,DSL,Two year,Yes,Mailed check,54.4,2826.78,No
CUST_00225,Male,0,Yes,Yes,2,Yes,DSL,Month-to-month,Yes,Bank transfer,35.66,3375.53,Yes
CUST_00226,Male,0,No,No,42,Yes,No,Month-to-month,Yes,Mailed check,101.56,5052.4,Yes
CUST_00227,Female,0,Yes,Yes,54,Yes,DSL,Month-to-month,Yes,Bank transfer,19.47,8102.94,No
CUST_00228,Female,0,No,Yes,61,Yes,No,Month-to-month,Yes,Credit card,99.11,3408.74,No
CUST_00229,Female,1,Yes,No,46,No,DSL,One year,No,Mailed check,20.45,435.55,No
CUST_00230,Female,1,Yes,Yes,22,No,DSL,Month-to-month,Yes,Bank transfer,46.83,4698.82,Yes
CUST_00231,Female,0,No,Yes,68,Yes,DSL,Two year,Yes,Electronic check,53.98,3120.9,No
CUST_00232,Female,1,No,No,43,No,Fiber optic,Month-to-month,Yes,Electronic check,50.26,7827.76,No
CUST_00233,Male,1,Yes,No,49,Yes,Fiber optic,Month-to-month,Yes,Electronic check,42.71,3758.16,Yes
CUST_00234,Female,1,Yes,Yes,18,No,No,One year,No,Credit card,29.12,2807.5,No
CUST_00235,Male,0,Yes,Yes,55,Yes,Fiber optic,Month-to-month,No,Mailed check,18.57,6291.95,No
CUST_00236,Male,1,No,Yes,9,Yes,DSL,Month-to-month,No,Bank transfer,96.11,4293.33,No
CUST_00237,Female,0,No,Yes,63,Yes,Fiber optic,Two year,Yes,Bank transfer,64.17,4829.29,Yes
CUST_00238,Female,1,No,No,62,Yes,Fiber optic,Month-to-month,Yes,Electronic check,34.53,1336.62,Yes
CUST_00239,Male,0,Yes,Yes,49,Yes,Fiber optic,One year,No,Electronic check,26.51,3270.22,No
CUST_00240,Female,1,Yes,Yes,71,Yes,No,Month-to-month,No,Credit card,46.23,421.11,No
CUST_00241,Male,1,Yes,Yes,66,Yes,No,Month-to-month,Yes,Credit card,53.86,6560.58,No
CUST_00242,Female,1,Yes,Yes,5,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,64.62,2147.01,No
CUST_00243,Male,0,Yes,No,16,Yes,Fiber optic,Two year,Yes,Mailed check,28.41,1063.19,No
CUST_00244,Female,0,No,Yes,8,Yes,Fiber optic,Month-to-month,Yes,Mailed check,116.73,5127.51,No
CUST_00245,Male,1,Yes,No,23,Yes,Fiber optic,Month-to-month,No,Credit card,45.26,5040.14,No
CUST_00246,Female,1,No,Yes,42,Yes,Fiber optic,Month-to-month,Yes,Electronic check,62.6,2755.5,No
CUST_00247,Male,0,No,Yes,10,Yes,DSL,Two year,No,Electronic check,89.51,8358.54,No
CUST_00248,Female,1,No,No,6,Yes,DSL,Month-to-month,Yes,Mailed check,49.42,5526.23,No
CUST_00249,Male,1,No,No,47,Yes,No,One year,No,Electronic check,26.54,8046.93,Yes
CUST_00250,Male,1,Yes,Yes,46,Yes,No,Month-to-month,Yes,Electronic check,56.09,2623.76,Yes
CUST_00251,Female,1,Yes,No,26,No,DSL,Month-to-month,No,Mailed check,73.81,4800.73,No
