VendorID,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,payment_type,fare_amount,tip_amount,tolls_amount,total_amount,trip_duration_minutes,hour_of_day,day_of_week,is_airport,congestion_surcharge,rate_code,store_and_fwd
2,2023-01-14 10:02:16,2023-01-14 10:21:16,6.0,9.03,26,143,2,128.8,23.09,7.99,75.97,14,5,2,0,2.5,1,N
1,2023-01-21 13:26:50,2023-01-21 13:35:50,2.0,1.55,130,6,4,110.69,11.92,15.81,226.7,87,0,5,1,2.5,3,N
1,2023-01-27 01:38:37,2023-01-27 02:10:37,5.0,9.28,74,30,5,169.17,28.46,19.6,54.78,21,3,5,0,0.0,1,N
1,2023-01-23 00:21:29,2023-01-23 00:44:29,2.0,14.92,130,195,3,122.41,17.91,10.27,26.45,50,8,1,0,2.5,1,N
1,2023-01-20 21:02:02,2023-01-20 22:08:02,5.0,12.94,184,21,5,157.04,23.49,9.27,230.53,15,1,1,1,2.5,1,N
2,2023-01-13 11:50:28,2023-01-13 12:27:28,4.0,25.12,225,239,2,118.86,25.78,14.09,9.59,54,22,1,0,0.0,1,N
1,2023-01-05 18:37:22,2023-01-05 20:04:22,,14.4,157,7,3,144.79,1.33,15.07,187.98,4,16,1,1,2.5,1,N
2,2023-01-09 02:45:38,2023-01-09 03:36:38,2.0,13.37,162,167,3,11.88,30.43,1.2,38.96,25,1,3,1,2.5,1,N
1,2023-01-18 22:49:52,2023-01-19 00:09:52,6.0,28.45,252,98,5,129.91,17.93,8.75,167.59,42,6,1,0,2.5,1,N
2,2023-01-23 02:08:45,2023-01-23 02:18:45,4.0,16.29,241,161,4,178.08,40.61,9.99,49.05,10,17,0,1,2.5,1,N
2,2023-01-10 07:36:08,2023-01-10 09:03:08,5.0,34.49,208,165,3,130.94,2.82,6.15,224.6,45,6,5,0,2.5,1,N
1,2023-01-12 10:33:48,2023-01-12 11:03:48,5.0,20.15,241,171,2,164.08,27.81,15.18,15.32,53,11,2,0,2.5,1,N
1,2023-01-07 02:12:29,2023-01-07 02:48:29,5.0,32.81,125,152,1,198.22,18.0,17.74,78.21,85,2,1,1,2.5,1,N
1,2023-01-11 12:23:15,2023-01-11 13:17:15,2.0,30.89,204,254,5,33.36,4.66,16.91,196.41,34,20,1,1,2.5,1,N
2,2023-01-20 11:10:17,2023-01-20 11:50:17,2.0,14.55,142,136,1,138.6,20.68,12.68,143.13,66,1,5,1,2.5,1,N
1,2023-01-01 00:26:57,2023-01-01 00:55:57,1.0,21.48,163,226,4,179.71,20.46,15.88,107.2,25,2,4,1,0.0,1,N
2,2023-01-20 06:25:12,2023-01-20 06:41:12,6.0,5.01,175,111,3,8.18,37.67,4.65,110.58,87,5,2,1,2.5,5,N
1,2023-01-02 21:04:17,2023-01-02 21:42:17,4.0,18.49,21,162,4,36.8,7.6,0.51,127.07,86,8,5,0,2.5,1,N
2,2023-01-29 15:23:47,2023-01-29 16:06:47,,14.9,3,181,5,51.81,41.52,10.27,248.73,68,9,2,0,2.5,1,N
1,2023-01-23 04:11:15,2023-01-23 04:24:15,3.0,16.98,253,103,1,176.36,2.4,8.2,169.39,20,16,1,0,2.5,1,N
2,2023-01-30 06:52:45,2023-01-30 08:02:45,4.0,6.53,97,235,1,195.5,25.79,17.63,123.3,88,15,2,1,2.5,1,N
2,2023-01-12 01:54:51,2023-01-12 02:11:51,1.0,30.33,14,72,2,182.92,32.45,15.78,82.5,37,0,0,1,2.5,1,N
2,2023-01-13 06:19:38,2023-01-13 06:27:38,4.0,2.89,33,220,3,96.12,0.72,7.64,127.44,23,2,3,0,0.0,1,N
1,2023-01-15 09:44:49,2023-01-15 10:14:49,6.0,27.36,11,51,1,134.36,3.46,0.35,230.89,37,7,5,1,0.0,1,N
2,2023-01-06 08:32:00,2023-01-06 09:02:00,4.0,33.05,64,190,5,23.03,13.68,5.5,57.09,16,8,2,1,2.5,1,N
2,2023-01-22 13:46:36,2023-01-22 14:14:36,6.0,3.81,194,221,4,195.87,19.07,7.21,88.33,33,18,4,0,2.5,1,N
2,2023-01-05 05:07:47,2023-01-05 06:30:47,4.0,15.24,220,78,5,188.95,17.33,13.52,19.05,36,23,2,0,2.5,1,N
1,2023-01-26 08:42:07,2023-01-26 09:36:07,3.0,20.51,17,68,2,120.27,48.57,18.07,158.42,89,6,5,1,2.5,1,N
1,2023-01-30 05:27:57,2023-01-30 05:45:57,2.0,34.7,146,250,5,30.77,8.35,4.42,192.45,45,16,6,0,2.5,1,N
2,2023-01-08 17:47:26,2023-01-08 18:34:26,,30.3,176,168,2,189.62,44.54,15.72,159.11,67,6,3,1,2.5,1,N
2,2023-01-12 21:02:20,2023-01-12 21:30:20,4.0,14.56,229,229,1,179.42,47.23,14.57,203.52,74,23,4,1,2.5,1,N
2,2023-01-02 00:35:18,2023-01-02 02:00:18,3.0,33.88,240,252,5,198.16,8.78,7.06,193.37,85,14,4,0,2.5,1,N
1,2023-01-11 06:48:13,2023-01-11 08:12:13,3.0,11.66,236,252,1,102.8,37.93,0.32,243.2,49,1,6,1,2.5,1,N
1,2023-01-07 07:19:44,2023-01-07 08:12:44,4.0,11.97,191,218,4,71.26,49.91,0.65,114.75,53,2,6,0,2.5,1,N
1,2023-01-19 15:13:31,2023-01-19 15:45:31,4.0,17.77,214,165,2,76.99,12.39,12.38,23.77,85,9,6,1,0.0,1,N
1,2023-01-24 14:52:48,2023-01-24 15:05:48,5.0,27.31,198,252,4,100.68,25.14,16.94,135.24,61,10,0,1,2.5,1,N
1,2023-01-02 17:15:57,2023-01-02 18:30:57,6.0,6.81,202,89,2,182.68,37.94,12.64,193.44,27,5,2,0,2.5,1,N
2,2023-01-06 04:08:27,2023-01-06 04:12:27,1.0,26.01,240,145,1,27.92,36.74,15.47,103.52,54,1,3,0,2.5,1,N
2,2023-01-20 09:39:55,2023-01-20 10:06:55,1.0,0.19,45,120,5,130.58,41.66,10.06,113.96,52,22,5,1,2.5,5,N
1,2023-01-14 17:27:33,2023-01-14 18:17:33,5.0,9.26,23,91,2,183.25,17.41,5.26,185.13,53,16,3,0,2.5,1,N
2,2023-01-27 06:32:25,2023-01-27 06:56:25,6.0,34.11,72,87,4,56.57,6.03,0.8,7.16,59,21,3,1,2.5,1,N
2,2023-01-24 15:15:34,2023-01-24 16:20:34,4.0,23.01,253,258,1,106.23,33.82,16.35,165.35,39,6,3,0,2.5,1,N
2,2023-01-22 17:28:26,2023-01-22 17:46:26,4.0,16.24,187,93,5,159.41,16.98,9.48,177.68,15,13,4,1,2.5,1,N
1,2023-01-30 03:24:26,2023-01-30 04:41:26,5.0,25.64,125,29,4,104.16,32.3,17.53,242.76,34,15,4,0,2.5,5,N
1,2023-01-13 12:33:58,2023-01-13 12:40:58,6.0,15.29,80,113,3,106.68,23.67,7.4,183.3,71,7,5,1,2.5,1,N
1,2023-01-20 16:22:04,2023-01-20 16:53:04,3.0,3.82,53,100,5,153.91,22.93,5.52,35.33,89,15,2,1,2.5,3,N
1,2023-01-04 11:37:19,2023-01-04 12:15:19,2.0,17.47,100,248,3,35.03,44.08,13.34,126.08,58,13,4,0,2.5,1,N
2,2023-01-03 21:54:30,2023-01-03 23:22:30,5.0,33.44,253,207,2,143.7,32.02,12.09,103.27,70,20,0,1,2.5,1,N
1,2023-01-08 05:41:41,2023-01-08 06:45:41,1.0,9.61,249,132,2,182.99,31.23,14.08,102.03,18,20,3,1,2.5,2,N
1,2023-01-09 21:17:51,2023-01-09 22:46:51,1.0,1.95,258,220,4,22.63,48.54,1.82,196.92,71,22,2,0,2.5,1,N
1,2023-01-08 23:06:21,2023-01-08 23:52:21,4.0,25.97,188,108,3,14.39,13.49,1.67,146.53,38,13,0,0,2.5,1,N
2,2023-01-21 03:18:05,2023-01-21 04:42:05,2.0,15.96,156,60,3,19.78,34.43,11.42,183.53,63,1,1,0,2.5,1,N
1,2023-01-12 13:08:39,2023-01-12 13:45:39,4.0,11.78,29,170,4,147.74,17.78,10.97,187.21,58,18,6,0,2.5,1,N
1,2023-01-22 00:54:59,2023-01-22 00:58:59,3.0,17.12,158,165,4,79.77,29.95,1.86,173.02,68,9,3,0,2.5,1,N
1,2023-01-05 00:00:35,2023-01-05 00:19:35,5.0,32.56,192,76,4,94.24,40.86,8.6,190.17,66,16,0,0,2.5,1,N
2,2023-01-11 14:43:26,2023-01-11 15:18:26,2.0,8.83,112,46,4,146.35,46.14,12.67,56.98,58,16,6,1,2.5,1,N
2,2023-01-18 06:28:14,2023-01-18 07:30:14,4.0,7.1,211,3,4,105.81,21.36,10.84,27.38,38,2,0,0,2.5,1,N
2,2023-01-30 19:10:56,2023-01-30 19:30:56,5.0,18.73,157,102,4,121.02,41.6,3.73,42.83,73,4,4,0,2.5,1,N
2,2023-01-11 23:44:39,2023-01-12 00:08:39,4.0,16.27,243,194,5,170.5,16.75,18.56,202.76,65,18,0,0,2.5,1,N
1,2023-01-18 01:20:50,2023-01-18 02:19:50,2.0,5.33,29,214,4,91.62,33.05,0.69,239.15,14,13,5,0,2.5,1,N
1,2023-01-15 21:23:13,2023-01-15 21:27:13,6.0,20.36,182,89,1,175.28,43.88,5.45,234.4,24,5,4,0,2.5,1,N
2,2023-01-01 09:03:00,2023-01-01 10:22:00,1.0,20.15,92,176,5,105.83,34.27,1.35,6.17,25,20,5,0,2.5,1,N
1,2023-01-09 13:17:53,2023-01-09 14:43:53,2.0,21.23,26,63,2,81.87,35.29,5.67,248.78,28,20,2,1,0.0,1,N
2,2023-01-09 15:01:06,2023-01-09 16:14:06,4.0,14.53,81,50,4,54.06,41.88,13.71,221.97,63,5,6,1,2.5,1,N
2,2023-01-14 14:46:53,2023-01-14 16:10:53,2.0,10.22,203,142,4,146.74,12.62,0.48,52.12,3,7,6,0,2.5,1,N
2,2023-01-06 13:18:54,2023-01-06 13:34:54,4.0,11.56,50,83,4,125.33,37.34,0.78,140.68,24,4,3,0,2.5,1,N
2,2023-01-22 09:06:28,2023-01-22 09:26:28,5.0,29.22,174,43,3,162.12,31.88,4.12,246.2,44,13,4,1,2.5,1,N
1,2023-01-15 05:51:37,2023-01-15 07:09:37,4.0,21.92,54,64,3,110.47,27.29,0.55,119.34,17,18,2,0,2.5,1,N
2,2023-01-03 15:31:15,2023-01-03 15:53:15,3.0,13.99,121,74,1,173.7,48.75,7.8,238.5,18,6,5,0,0.0,1,N
2,2023-01-11 16:36:42,2023-01-11 17:39:42,4.0,21.5,39,84,2,59.27,20.63,4.6,137.32,39,0,4,1,2.5,1,N
2,2023-01-16 07:16:04,2023-01-16 08:09:04,4.0,12.3,202,136,1,146.77,11.74,6.44,88.06,54,0,1,0,2.5,1,N
1,2023-01-07 13:11:37,2023-01-07 13:39:37,5.0,30.21,232,232,5,80.18,41.96,16.74,42.65,31,6,2,1,2.5,1,N
1,2023-01-19 13:11:47,2023-01-19 13:50:47,4.0,25.49,140,259,5,25.0,9.26,8.64,28.71,86,18,2,0,2.5,1,N
2,2023-01-23 20:10:27,2023-01-23 20:51:27,1.0,3.62,104,153,1,106.84,37.26,0.3,177.55,38,8,3,1,2.5,2,N
1,2023-01-21 00:43:36,2023-01-21 02:03:36,2.0,2.06,248,65,5,48.19,46.41,10.94,83.91,89,17,4,1,2.5,3,N
2,2023-01-21 02:52:57,2023-01-21 03:41:57,3.0,1.27,251,52,4,14.69,41.08,2.19,103.71,51,21,1,0,2.5,1,N
1,2023-01-28 16:24:37,2023-01-28 17:03:37,3.0,1.06,247,124,2,74.23,31.66,1.19,234.49,34,22,1,1,2.5,1,N
2,2023-01-16 17:38:10,2023-01-16 18:38:10,6.0,17.44,208,179,1,195.56,46.16,6.55,52.36,12,7,3,0,0.0,2,N
2,2023-01-24 10:24:27,2023-01-24 10:37:27,1.0,6.41,60,140,4,179.09,24.45,5.44,95.2,66,13,2,1,2.5,2,N
1,2023-01-11 06:53:29,2023-01-11 07:23:29,5.0,23.64,43,35,1,196.01,3.78,2.23,227.66,49,17,6,0,2.5,1,N
2,2023-01-23 04:04:34,2023-01-23 04:54:34,2.0,16.95,117,189,1,8.14,36.75,5.97,235.33,86,4,5,1,2.5,1,N
2,2023-01-18 10:35:57,2023-01-18 11:31:57,4.0,3.36,151,83,1,32.69,35.84,9.68,201.28,87,16,1,1,2.5,1,N
1,2023-01-27 00:57:35,2023-01-27 01:08:35,2.0,0.3,53,139,1,48.93,43.27,5.02,97.64,48,4,4,1,2.5,1,N
1,2023-01-03 07:15:53,2023-01-03 07:44:53,1.0,1.38,39,228,1,148.01,20.3,0.65,33.99,23,13,4,1,2.5,1,N
2,2023-01-28 10:23:05,2023-01-28 11:04:05,1.0,18.71,88,195,2,195.68,7.25,17.85,197.98,31,9,6,0,2.5,1,N
1,2023-01-07 22:34:44,2023-01-07 22:36:44,3.0,20.57,93,140,5,82.76,5.13,13.03,210.24,8,9,5,0,2.5,1,N
2,2023-01-26 04:19:53,2023-01-26 05:11:53,5.0,12.42,60,230,2,117.76,17.27,14.13,179.57,15,7,3,1,2.5,1,N
2,2023-01-12 09:22:37,2023-01-12 10:38:37,3.0,2.85,123,54,2,19.97,39.65,8.16,86.34,38,11,1,1,2.5,1,N
2,2023-01-19 10:04:34,2023-01-19 11:29:34,6.0,32.72,136,75,5,126.77,26.07,11.47,164.15,17,9,1,1,2.5,1,N
1,2023-01-11 00:43:56,2023-01-11 01:41:56,,14.26,26,72,3,180.25,8.52,14.06,176.46,77,6,2,1,2.5,1,N
2,2023-01-26 07:01:48,2023-01-26 07:28:48,2.0,15.08,1,222,1,132.7,12.09,7.13,222.2,77,5,6,1,2.5,1,N
1,2023-01-22 18:26:55,2023-01-22 19:30:55,6.0,13.41,10,223,3,131.53,17.42,16.63,37.37,17,11,6,0,2.5,1,N
2,2023-01-10 19:01:00,2023-01-10 20:00:00,4.0,2.18,210,70,3,98.78,24.01,15.45,68.16,24,23,6,1,2.5,1,N
2,2023-01-04 23:47:10,2023-01-04 23:51:10,4.0,24.89,214,51,3,91.37,41.97,5.74,102.71,74,15,6,0,2.5,1,N
2,2023-01-29 13:25:24,2023-01-29 13:27:24,3.0,23.3,43,215,5,75.54,49.62,6.66,203.48,25,2,3,1,2.5,1,N
1,2023-01-30 05:10:17,2023-01-30 06:39:17,6.0,5.84,250,120,4,164.49,29.96,3.68,223.74,24,1,4,1,2.5,1,N
2,2023-01-06 04:53:33,2023-01-06 06:11:33,,9.47,73,169,1,129.83,19.46,10.05,71.77,67,17,0,0,2.5,1,N
1,2023-01-10 12:32:36,2023-01-10 13:09:36,1.0,19.19,238,53,2,61.68,9.17,16.23,127.52,37,13,1,0,2.5,1,N
2,2023-01-07 21:02:04,2023-01-07 21:31:04,1.0,13.25,47,151,3,104.78,25.55,11.28,153.1,75,13,1,1,2.5,1,N
2,2023-01-07 19:39:53,2023-01-07 19:49:53,6.0,34.93,217,182,4,25.35,30.66,7.09,43.87,48,8,1,0,2.5,5,N
1,2023-01-05 18:08:18,2023-01-05 18:31:18,4.0,17.43,94,123,2,11.54,16.35,8.2,198.72,20,13,5,0,2.5,1,N
2,2023-01-22 21:12:12,2023-01-22 21:22:12,4.0,30.89,208,218,3,29.41,16.2,13.85,119.31,15,14,5,1,2.5,2,N
2,2023-01-24 07:26:59,2023-01-24 07:37:59,1.0,7.24,21,145,2,173.84,41.43,10.29,223.99,62,14,0,0,2.5,1,N
1,2023-01-19 04:32:10,2023-01-19 05:49:10,1.0,19.51,152,143,4,53.3,33.0,11.05,138.44,41,22,4,0,2.5,1,N
2,2023-01-14 00:50:10,2023-01-14 02:01:10,6.0,11.33,228,63,2,192.71,22.51,12.19,208.77,41,21,2,1,2.5,1,N
1,2023-01-30 09:11:22,2023-01-30 10:22:22,6.0,32.71,34,177,3,69.31,27.89,14.77,15.13,61,20,3,1,2.5,1,N
2,2023-01-23 03:22:54,2023-01-23 03:28:54,5.0,19.34,110,132,5,83.42,25.24,12.51,111.4,26,16,2,0,2.5,1,N
1,2023-01-02 18:36:25,2023-01-02 19:10:25,6.0,22.92,237,172,5,162.88,8.72,13.69,106.53,89,16,1,1,2.5,1,N
1,2023-01-16 07:14:48,2023-01-16 08:10:48,5.0,2.75,245,162,3,46.73,43.52,13.32,50.9,47,6,5,1,2.5,1,N
2,2023-01-06 02:37:04,2023-01-06 03:27:04,5.0,17.12,133,98,2,182.11,4.55,18.53,141.72,77,20,2,0,2.5,1,N
1,2023-01-13 02:21:30,2023-01-13 02:50:30,6.0,20.32,13,102,1,131.55,10.65,14.73,188.37,70,6,3,0,2.5,1,N
1,2023-01-12 19:43:09,2023-01-12 20:20:09,3.0,10.24,250,83,5,14.77,28.09,10.93,124.85,55,2,4,0,0.0,1,N
1,2023-01-27 21:23:28,2023-01-27 22:27:28,1.0,25.78,46,102,3,191.43,23.06,17.96,208.49,10,19,3,1,2.5,1,N
2,2023-01-25 14:46:06,2023-01-25 16:02:06,1.0,16.38,109,225,1,59.28,29.77,18.01,75.37,66,9,1,1,2.5,1,N
2,2023-01-13 23:08:38,2023-01-14 00:34:38,4.0,19.69,222,93,5,48.31,45.98,7.03,76.69,8,11,4,0,0.0,1,N
2,2023-01-24 03:06:36,2023-01-24 04:10:36,2.0,12.7,30,33,3,179.9,14.3,16.11,44.21,66,15,1,0,2.5,1,N
1,2023-01-19 13:14:52,2023-01-19 13:40:52,2.0,23.71,123,217,4,66.77,7.54,19.65,196.68,82,16,5,0,2.5,1,N
2,2023-01-17 14:53:16,2023-01-17 16:14:16,6.0,3.7,166,58,1,145.23,6.06,4.14,39.56,48,1,4,1,2.5,1,N
1,2023-01-26 18:11:25,2023-01-26 19:07:25,4.0,17.77,16,102,5,9.25,2.95,7.94,39.99,86,9,2,0,2.5,1,N
2,2023-01-19 16:43:37,2023-01-19 17:52:37,3.0,31.36,129,54,2,184.41,39.54,8.31,4.74,57,18,2,0,2.5,1,N
2,2023-01-07 09:04:09,2023-01-07 09:38:09,3.0,8.31,13,154,4,83.32,22.87,12.21,98.9,48,17,1,1,0.0,1,N
2,2023-01-12 20:41:59,2023-01-12 21:31:59,2.0,30.41,172,71,2,37.77,12.79,19.25,110.92,48,15,3,1,2.5,1,N
2,2023-01-13 01:57:40,2023-01-13 02:43:40,1.0,30.99,238,258,1,196.3,33.7,6.11,114.43,14,10,1,0,0.0,1,N
2,2023-01-26 07:34:04,2023-01-26 08:40:04,6.0,8.14,54,114,3,149.0,38.87,15.07,192.24,7,8,3,1,2.5,1,N
2,2023-01-05 08:19:54,2023-01-05 08:28:54,5.0,2.92,70,8,1,159.21,46.86,15.57,105.43,8,11,1,0,2.5,1,N
2,2023-01-15 07:17:04,2023-01-15 08:06:04,6.0,26.78,35,147,3,101.41,19.97,13.92,4.05,80,4,6,1,0.0,1,N
1,2023-01-17 06:44:08,2023-01-17 07:03:08,2.0,33.55,109,59,3,138.48,34.47,11.77,153.53,15,22,0,0,2.5,1,N
1,2023-01-29 14:37:22,2023-01-29 14:53:22,1.0,9.02,2,93,1,59.95,13.53,11.43,45.29,58,4,5,0,2.5,1,N
2,2023-01-24 16:29:20,2023-01-24 17:40:20,1.0,31.96,238,246,3,104.82,43.27,5.64,9.18,26,11,3,0,2.5,1,N
1,2023-01-08 19:54:54,2023-01-08 20:43:54,6.0,7.37,26,48,3,77.67,45.43,2.75,195.01,35,18,2,1,2.5,1,N
1,2023-01-02 15:37:23,2023-01-02 16:09:23,6.0,12.64,177,190,3,86.46,31.51,6.68,63.72,62,5,1,1,2.5,1,N
1,2023-01-04 19:14:19,2023-01-04 20:14:19,6.0,31.02,85,183,1,3.35,32.95,4.59,189.56,78,23,4,0,2.5,1,N
1,2023-01-02 19:26:17,2023-01-02 19:28:17,1.0,10.71,205,100,4,162.64,32.98,13.05,161.51,11,12,5,1,2.5,1,N
2,2023-01-13 04:26:38,2023-01-13 05:48:38,3.0,26.47,14,118,2,45.54,29.58,17.06,221.18,48,3,4,1,2.5,1,N
2,2023-01-23 05:39:28,2023-01-23 06:09:28,2.0,5.23,125,24,2,96.03,21.94,3.17,91.47,14,0,0,1,2.5,1,Y
1,2023-01-20 17:07:29,2023-01-20 17:19:29,4.0,13.32,25,127,5,132.64,37.02,13.19,163.57,19,7,5,1,2.5,5,N
1,2023-01-22 06:54:21,2023-01-22 07:54:21,1.0,32.93,185,137,5,9.3,48.83,2.44,143.35,64,6,6,0,2.5,1,N
2,2023-01-16 22:06:52,2023-01-16 23:22:52,3.0,8.0,51,159,1,70.13,37.29,7.6,196.35,4,1,4,1,2.5,1,N
1,2023-01-13 01:34:48,2023-01-13 03:01:48,4.0,24.59,155,208,3,54.61,15.48,3.46,84.35,24,14,0,1,2.5,1,N
2,2023-01-25 17:26:52,2023-01-25 18:34:52,2.0,32.19,108,247,2,28.74,25.02,5.99,151.07,51,12,3,0,2.5,1,N
1,2023-01-11 19:41:56,2023-01-11 20:58:56,5.0,27.49,46,113,4,163.15,29.85,17.17,136.6,21,1,2,1,2.5,1,N
2,2023-01-18 12:34:41,2023-01-18 13:03:41,1.0,33.18,52,234,4,109.47,4.11,8.39,13.77,35,19,4,1,2.5,2,N
2,2023-01-09 11:03:50,2023-01-09 12:11:50,6.0,33.04,152,224,3,92.61,24.6,2.17,11.4,53,10,5,0,2.5,1,N
1,2023-01-11 22:53:46,2023-01-11 22:55:46,1.0,4.07,58,82,4,28.67,5.12,3.98,226.04,81,14,6,0,2.5,2,N
2,2023-01-02 20:28:04,2023-01-02 21:51:04,5.0,21.1,246,77,4,104.03,25.53,16.87,161.27,8,14,6,1,2.5,1,N
2,2023-01-19 05:42:45,2023-01-19 06:54:45,4.0,15.0,203,143,5,55.31,4.35,8.2,154.44,46,20,6,1,2.5,1,N
2,2023-01-16 09:45:19,2023-01-16 10:45:19,3.0,23.93,92,132,5,27.5,18.07,18.72,186.55,57,5,0,0,2.5,1,N
1,2023-01-10 11:12:31,2023-01-10 12:36:31,1.0,26.01,104,99,3,106.55,47.72,11.22,6.87,44,1,0,1,2.5,1,N
1,2023-01-19 11:34:27,2023-01-19 12:21:27,6.0,8.66,131,24,1,137.15,0.37,10.14,60.32,3,5,5,0,2.5,1,N
1,2023-01-04 21:59:01,2023-01-04 22:29:01,6.0,28.02,213,211,5,13.71,13.71,9.12,163.58,68,16,5,0,2.5,1,N
1,2023-01-26 23:03:43,2023-01-26 23:52:43,5.0,14.38,111,140,3,13.6,18.59,15.47,180.44,22,16,5,1,2.5,1,N
2,2023-01-01 23:28:58,2023-01-01 23:34:58,6.0,23.02,109,47,5,148.37,29.5,16.71,158.52,10,7,1,0,2.5,1,N
2,2023-01-17 06:08:24,2023-01-17 07:33:24,6.0,15.03,183,229,4,43.33,48.27,2.54,104.52,41,23,3,1,2.5,1,N
2,2023-01-09 00:24:14,2023-01-09 01:10:14,5.0,12.18,69,246,3,32.84,31.99,8.17,148.45,18,16,4,1,2.5,1,N
1,2023-01-05 13:24:30,2023-01-05 13:26:30,2.0,24.32,167,41,5,192.52,44.69,5.66,175.87,57,7,4,1,2.5,1,N
2,2023-01-06 03:22:56,2023-01-06 04:17:56,5.0,19.01,102,140,4,38.05,8.13,17.99,103.38,49,23,6,0,2.5,5,N
2,2023-01-10 05:53:17,2023-01-10 06:40:17,4.0,29.87,127,162,4,137.71,14.43,14.69,142.31,19,4,2,1,0.0,2,N
1,2023-01-19 23:52:56,2023-01-20 01:20:56,1.0,27.53,206,63,3,163.46,44.35,5.85,22.51,82,0,5,1,2.5,1,N
1,2023-01-24 13:13:01,2023-01-24 14:22:01,1.0,30.4,13,84,2,67.44,0.26,8.17,44.88,79,23,2,1,2.5,1,N
1,2023-01-28 23:16:43,2023-01-28 23:42:43,2.0,26.83,173,103,2,93.96,22.69,8.38,193.83,29,10,5,0,2.5,1,N
1,2023-01-19 13:05:48,2023-01-19 13:10:48,4.0,32.1,71,94,4,111.95,22.64,18.64,96.86,82,20,0,1,2.5,1,N
1,2023-01-15 21:12:53,2023-01-15 21:52:53,6.0,5.57,3,180,2,42.11,47.31,9.47,195.18,30,20,1,1,2.5,1,N
