Id,MSSubClass,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,TotalBsmtSF,GrLivArea,FullBath,BedroomAbvGr,TotRmsAbvGrd,GarageCars,GarageArea,Neighborhood,BldgType,SalePrice
23,90,167043,6,9,1940,2009,5442,440,3,6,10,0,1050,OldTown,TwnhsE,706777
24,120,155390,5,8,1942,1977,1247,5238,1,4,4,2,293,BrkSide,1Fam,207771
25,20,49755,8,4,1958,1971,2485,2950,1,7,10,0,1412,Crawfor,1Fam,194254
26,70,139885,3,9,1961,1988,1810,3836,2,4,10,1,1407,Mitchel,1Fam,111354
27,70,202586,7,4,1988,1960,1843,1800,1,3,10,2,58,BrkSide,1Fam,601612
28,50,11731,5,5,1945,1973,3639,607,2,5,13,3,36,BrkSide,1Fam,286514
29,80,70049,7,7,1968,2000,4528,5072,3,3,8,0,347,BrkSide,Twnhs,497951
30,160,18490,5,6,1996,2003,1620,3828,1,4,2,2,1125,NWAmes,1Fam,477200
31,120,23518,4,8,1886,1974,232,4110,3,6,11,0,847,Crawfor,1Fam,408072
32,30,214774,3,2,1960,1973,3906,3165,2,7,2,2,726,NoRidge,1Fam,209572
33,60,52712,9,5,1922,2002,3353,2480,1,4,9,0,588,NWAmes,1Fam,298163
34,160,39676,1,6,1997,1962,4026,2575,3,0,11,3,680,Crawfor,1Fam,395507
35,40,17119,3,3,1948,1953,2750,4378,1,4,3,0,904,NWAmes,1Fam,101821
36,120,211181,5,8,1955,1954,4746,1540,0,2,11,2,90,Somerst,1Fam,325682
37,60,101584,2,3,1976,1956,3817,2145,1,1,11,1,831,Mitchel,1Fam,546642
38,70,170611,10,3,1905,2002,4628,1965,3,7,9,0,313,NoRidge,1Fam,338636
39,40,54839,4,3,1947,1952,4467,3103,2,3,5,2,1117,OldTown,1Fam,319182
40,160,138418,3,7,1978,1969,3035,5470,2,6,4,0,277,Mitchel,TwnhsE,640026
41,70,190865,3,2,1979,1986,1985,5232,2,2,10,2,100,NoRidge,1Fam,420143
42,70,144885,2,2,1903,1986,3557,3225,0,4,3,2,616,NoRidge,1Fam,565794
43,60,111937,7,8,1987,1999,3888,1396,0,5,10,1,624,Mitchel,TwnhsE,72173
44,20,46343,5,2,1894,2008,3492,5325,1,7,4,1,735,NWAmes,TwnhsE,703295
45,90,51228,3,1,1908,1974,3203,1995,3,1,6,1,1219,Sawyer,1Fam,593652
46,50,128994,9,3,1990,1963,2095,2225,0,4,8,3,992,NoRidge,1Fam,630316
47,40,97847,7,4,1957,1955,818,5034,2,3,3,3,514,Veenker,1Fam,533404
48,90,11237,5,1,1946,2003,2612,1731,3,3,11,0,1030,Sawyer,1Fam,422558
49,30,43231,6,8,1948,1972,5387,2785,0,6,10,1,714,Veenker,1Fam,416049
50,80,93727,7,2,2005,2003,4378,5200,0,1,2,0,317,Sawyer,1Fam,484602
51,60,39538,2,4,1903,1970,4610,2021,3,4,12,0,30,Veenker,1Fam,392290
52,90,119813,9,2,1913,1995,4502,3647,0,3,10,3,5,NoRidge,1Fam,560234
53,20,65623,3,3,1939,1988,5631,531,2,7,12,3,317,Sawyer,1Fam,277595
54,90,63669,1,1,1988,1992,1381,5618,3,1,9,1,1161,Veenker,1Fam,588955
55,40,24470,6,9,1947,1989,4401,2557,1,1,9,2,657,Veenker,1Fam,281465
56,120,108963,9,9,1972,1968,424,3891,1,0,6,1,640,NWAmes,1Fam,377546
57,50,41660,8,2,1984,1956,1495,2991,2,3,4,1,565,Veenker,1Fam,84202
58,20,136171,4,2,1995,1950,179,2637,2,0,4,3,362,CollgCr,1Fam,683244
59,60,201990,4,8,1935,1975,2630,2490,3,4,5,1,1013,NWAmes,1Fam,529402
60,20,196467,6,4,1935,2003,859,428,2,1,5,1,18,Sawyer,Duplex,214670
61,40,143959,3,1,1883,1988,2363,1806,3,3,11,0,867,OldTown,TwnhsE,67285
62,90,174050,9,2,1883,1990,822,2354,0,4,8,0,1328,Sawyer,1Fam,648418
63,70,198365,3,4,1939,1965,218,2293,1,5,6,0,1248,Somerst,Duplex,35921
64,90,147158,3,6,1975,1979,2917,1785,0,0,10,3,523,NWAmes,1Fam,381947
65,120,56251,1,6,1987,1974,2508,3744,2,1,10,3,1212,Sawyer,1Fam,57209
66,60,108450,7,2,1928,1958,2548,4735,0,2,13,1,336,Somerst,1Fam,534245
67,70,184653,1,4,1950,1986,2111,5064,3,4,5,2,342,CollgCr,1Fam,181402
68,20,144212,9,3,1984,1971,2500,5494,3,7,4,0,487,Crawfor,1Fam,342452
69,40,78806,10,5,1916,1974,23,3782,3,1,2,0,25,NWAmes,1Fam,445497
70,90,37331,2,3,1893,1985,2920,2515,3,0,3,2,376,BrkSide,Duplex,301737
71,20,32149,1,2,1999,1951,5175,3763,0,5,9,0,1211,NWAmes,Duplex,525402
72,50,81963,10,8,1947,2006,852,1036,2,7,11,3,1081,Mitchel,TwnhsE,400810
73,30,173463,2,6,1893,1963,879,4669,2,6,9,1,466,NoRidge,1Fam,337873
74,120,119525,5,5,1906,1990,4765,3173,2,4,13,2,443,NWAmes,Twnhs,266953
75,70,14061,9,2,1917,1996,3060,1210,3,0,9,1,492,BrkSide,1Fam,329160
76,80,197794,2,1,1899,1959,1571,2594,2,4,12,0,168,Crawfor,1Fam,266144
77,80,87916,7,8,1932,1964,4794,1932,0,3,5,2,224,Somerst,1Fam,450243
78,40,84864,4,9,1984,1974,1985,2189,3,3,5,0,1407,Mitchel,2fmCon,585437
79,20,176588,5,6,1973,1999,3693,602,1,3,11,1,982,Crawfor,1Fam,464675
80,50,81947,10,1,1998,1988,3397,419,1,4,9,1,960,Mitchel,1Fam,58046
81,30,133343,7,5,1987,1978,1034,2189,2,5,7,3,397,CollgCr,Twnhs,643382
82,50,198381,4,3,1914,2000,4613,1935,3,1,13,2,1213,Somerst,1Fam,600935
83,50,112137,10,1,1880,1978,3777,5635,2,0,11,2,250,Veenker,1Fam,624725
84,90,132685,6,2,1892,2003,1273,1727,0,0,5,2,1373,Mitchel,1Fam,70809
85,50,76958,1,5,1981,1996,4628,2081,2,3,9,3,713,BrkSide,1Fam,627921
86,30,191854,4,4,1918,1960,3791,5191,2,4,6,1,469,Veenker,1Fam,371273
87,160,17357,3,6,1971,1972,5222,4897,0,6,6,3,1064,Crawfor,1Fam,642788
88,20,60424,7,7,1935,1951,5011,635,2,3,11,3,591,OldTown,1Fam,597671
89,40,213313,9,3,1995,1964,1946,789,3,4,10,3,382,Sawyer,1Fam,668465
90,50,104876,1,3,1942,1951,5723,838,3,7,2,2,969,Sawyer,1Fam,122716
91,20,38691,8,7,1996,1956,207,2774,1,5,8,3,1023,Veenker,1Fam,434783
92,120,89818,10,2,1906,1950,2041,3373,2,5,9,2,855,Crawfor,1Fam,559464
93,50,55921,10,1,1979,1990,3714,2199,3,2,8,1,655,Sawyer,1Fam,463479
94,90,113682,7,8,1944,1974,3267,402,2,1,5,0,466,Somerst,1Fam,619377
95,30,51772,4,2,1898,1978,1379,1404,1,7,9,0,572,BrkSide,1Fam,558575
96,70,86734,2,2,1904,1995,1219,3596,0,4,13,2,1239,CollgCr,1Fam,60637
97,30,195549,10,7,1915,1998,4771,2311,0,0,3,0,509,Veenker,TwnhsE,178205
98,40,18922,5,5,1893,1981,5352,989,2,3,9,0,1371,Crawfor,1Fam,491785
99,60,164687,4,2,2001,1977,4154,3790,3,0,12,2,206,CollgCr,1Fam,294467
100,120,18028,8,8,1901,1988,3239,3589,2,7,6,1,230,BrkSide,1Fam,291761
101,50,99143,8,3,1954,1974,4724,2936,3,4,6,2,471,BrkSide,1Fam,692101
102,90,144286,9,7,1950,1976,1466,5324,2,6,4,3,4,NoRidge,1Fam,99382
103,20,205707,9,6,1946,1967,5911,4815,1,3,4,0,1246,CollgCr,TwnhsE,411341
104,40,54803,9,8,1958,1961,763,545,2,0,6,2,482,Veenker,1Fam,259242
105,80,12592,2,7,1998,1961,3571,5137,1,5,11,3,144,Crawfor,1Fam,72192
106,60,161940,2,7,2005,1989,2083,597,0,5,4,0,877,OldTown,1Fam,304922
107,70,192496,3,1,1992,1999,5525,2891,2,1,4,3,1358,BrkSide,1Fam,326943
108,80,122191,7,9,1935,1975,1495,5120,2,5,13,2,1409,Somerst,1Fam,362356
109,20,14228,6,2,1972,1955,3921,5545,3,1,13,2,152,Sawyer,1Fam,150684
110,80,108416,9,3,1897,1986,954,453,0,5,4,0,1124,Sawyer,1Fam,559249
111,120,84980,9,5,1993,2004,1110,716,1,5,7,1,513,OldTown,1Fam,291462
112,90,97892,9,3,1898,1981,2543,1614,0,1,6,1,1185,CollgCr,1Fam,447806
113,40,12854,1,6,1887,1951,4883,1800,3,2,5,0,859,BrkSide,1Fam,427337
114,50,69195,7,1,1986,1954,1699,1817,3,1,3,3,1037,Sawyer,1Fam,441373
115,160,215024,9,5,1976,1981,4238,2545,1,5,2,2,1188,Somerst,1Fam,398648
116,90,11097,10,4,1891,2001,3490,2026,3,1,9,3,1269,Somerst,1Fam,251773
117,160,196929,4,6,2005,1953,5975,3426,2,5,2,0,203,OldTown,1Fam,388086
118,160,112023,8,5,1887,1995,1837,4866,1,3,9,2,1026,Somerst,1Fam,416824
119,60,126414,5,7,1878,1996,1487,3231,1,0,3,2,200,NoRidge,1Fam,48105
120,30,201021,2,2,2003,1953,5514,2095,2,7,3,2,1338,NWAmes,Duplex,556141
121,40,47906,4,9,1902,1962,2035,3348,0,5,2,1,891,OldTown,1Fam,355420
122,40,211908,3,4,1904,1950,1311,3627,0,2,6,2,273,Veenker,1Fam,245702
123,120,60515,10,4,1981,1983,5019,5091,3,7,5,0,415,NWAmes,1Fam,55756
124,40,75985,2,5,1955,1960,4966,5362,0,5,5,3,1270,Veenker,1Fam,254361
125,50,97477,2,2,1943,2004,384,1807,0,6,5,1,913,Somerst,1Fam,326440
126,120,129995,6,8,2008,1955,5230,5208,3,1,13,1,325,Veenker,1Fam,637379
127,30,70357,6,3,1883,1988,3868,4669,3,0,7,2,1163,Sawyer,1Fam,500804
128,80,170981,6,9,1999,1997,1703,1014,3,0,11,0,1018,NWAmes,1Fam,336136
129,70,5860,2,2,1908,1960,3271,3295,0,4,4,1,109,Mitchel,1Fam,125563
130,160,143916,5,8,1957,1965,1458,1141,3,6,7,0,401,Somerst,1Fam,232770
131,60,141702,10,4,1916,1997,1031,2937,1,7,2,3,1197,NWAmes,1Fam,695068
132,70,115665,1,6,1912,1955,808,571,0,7,5,1,497,Veenker,1Fam,126957
133,120,132539,8,8,1916,1976,1008,1923,3,4,2,0,53,Somerst,Twnhs,488931
134,160,161263,2,2,1949,1965,3561,3455,1,5,2,0,856,OldTown,1Fam,407263
135,90,194772,3,4,1993,1950,4950,1947,2,2,4,3,1274,Crawfor,1Fam,191592
136,80,48021,9,9,1887,1977,2972,387,0,0,3,0,789,Mitchel,1Fam,663906
137,120,103320,3,2,1963,1979,94,2396,0,1,5,0,1383,NoRidge,1Fam,318682
138,160,121577,6,1,1990,1970,2619,3206,3,0,10,0,161,Veenker,1Fam,511025
139,90,75048,4,5,1973,1998,4563,4386,2,5,3,0,946,Sawyer,Duplex,104682
140,40,209652,7,1,2007,1955,5103,1058,3,4,9,0,921,Somerst,1Fam,730291
141,80,110736,5,9,1873,1975,4476,2864,0,6,6,3,1395,NoRidge,1Fam,50787
142,40,128094,5,9,1922,1960,2257,1388,3,1,6,0,738,NoRidge,1Fam,258397
143,70,42954,9,2,1930,1995,3969,1150,3,7,13,2,1165,NWAmes,1Fam,694411
144,60,90256,6,2,1945,1983,417,981,3,5,7,3,206,Veenker,1Fam,494229
145,160,135131,6,8,1915,1992,2502,4367,0,7,5,2,62,Somerst,1Fam,521100
146,70,92942,9,5,1906,1956,3280,5214,0,5,4,0,1015,Crawfor,1Fam,261346
147,160,166044,5,8,1989,1977,173,3855,2,2,4,2,5,BrkSide,1Fam,596323
148,120,30551,9,9,1904,1953,87,2342,0,5,11,1,1240,OldTown,1Fam,705743
149,120,34132,8,4,2003,1969,4898,5372,0,4,9,1,29,OldTown,1Fam,482926
150,30,73825,9,3,1877,2006,1345,2972,3,1,5,1,976,Veenker,Duplex,192156
151,90,69416,5,6,1930,1993,768,3144,2,0,7,3,640,CollgCr,1Fam,687861
152,40,175762,6,6,1956,1954,3617,3702,3,5,8,2,915,Mitchel,1Fam,38009
153,70,186961,2,4,2006,1972,1715,3807,3,0,2,0,883,NoRidge,Duplex,680051
154,60,102273,2,3,1977,2002,5984,2946,0,0,12,1,629,OldTown,1Fam,41789
155,40,109455,2,3,1873,1960,5784,2878,3,0,11,3,682,OldTown,1Fam,76779
156,160,64279,7,5,1975,1995,5034,2021,0,4,8,3,713,NoRidge,1Fam,65178
157,120,115083,4,4,1916,1969,1844,3947,1,7,10,3,960,Veenker,1Fam,171337
158,70,152445,3,5,1990,1978,5348,3902,1,3,3,0,1007,NoRidge,TwnhsE,558691
159,20,155855,7,1,1978,2002,1558,2648,0,1,13,3,637,Somerst,1Fam,319908
160,30,208605,4,8,1898,1990,1463,4113,2,4,9,2,499,Crawfor,1Fam,91907
161,40,124937,2,7,1921,1967,5947,1065,0,3,13,2,60,NoRidge,1Fam,280518
162,160,74109,6,9,1985,1950,4119,2543,3,4,12,1,1104,Crawfor,1Fam,753323
163,60,16186,6,8,1999,1964,525,5571,3,3,9,2,320,CollgCr,1Fam,413364
164,20,148475,2,6,1955,1975,5416,4228,2,4,5,1,615,NWAmes,1Fam,559952
165,70,173303,3,3,1902,1958,981,4157,0,2,10,2,1407,Sawyer,1Fam,226829
166,160,119484,3,6,1925,2002,4162,4915,2,7,8,0,1112,Sawyer,1Fam,409952
167,70,198736,7,6,1981,1953,2678,3564,2,4,6,1,490,Sawyer,1Fam,609150
168,60,69101,3,9,1954,1982,106,3851,1,2,10,1,673,NWAmes,1Fam,520562
169,30,12698,1,3,1899,2008,4812,2889,1,0,12,3,460,OldTown,1Fam,40296
170,120,136758,3,1,1911,1970,4195,4719,1,5,4,2,887,CollgCr,1Fam,472051
171,30,27240,5,2,1899,1982,5403,4110,3,3,8,2,216,Crawfor,1Fam,604868
172,160,19296,8,2,1936,1954,3738,3112,0,1,11,1,1350,OldTown,1Fam,132249
173,40,151484,1,6,1933,1993,4616,1006,2,3,5,1,1399,Sawyer,1Fam,318165
174,30,94237,9,2,1946,2008,5535,4612,1,3,6,1,423,Sawyer,TwnhsE,499336
175,50,130624,4,2,2002,1996,5964,2065,2,6,2,3,326,NWAmes,TwnhsE,38597
176,20,161269,4,4,1961,1958,3425,2239,0,4,5,0,764,Veenker,1Fam,546702
177,20,83137,1,8,1952,1971,102,995,3,5,9,0,917,Sawyer,1Fam,644870
178,30,132037,3,4,1922,1993,2113,1486,1,5,13,2,912,NoRidge,2fmCon,413856
179,80,116669,5,3,1959,1997,3785,1002,3,6,8,3,59,CollgCr,1Fam,356607
180,120,125392,7,3,2003,1974,669,851,0,0,5,2,1008,OldTown,1Fam,101041
181,40,151775,8,8,1873,2007,710,447,2,3,11,3,94,Veenker,1Fam,556775
182,80,82680,6,4,1920,1962,2412,1898,2,5,4,1,484,NoRidge,1Fam,714103
183,50,109230,2,4,1879,1994,5562,4346,3,1,4,0,1016,NWAmes,1Fam,667470
184,60,127772,4,7,1900,1979,1965,4919,0,3,8,2,1257,Sawyer,1Fam,430710
185,50,31292,8,4,1881,1992,5714,1540,2,3,11,0,900,Sawyer,1Fam,59608
186,120,46567,7,4,1953,1985,4906,2583,0,6,4,3,226,Veenker,1Fam,240789
187,70,20434,6,7,1985,1975,1851,4750,1,7,2,2,964,Veenker,1Fam,223682
188,70,43666,6,3,2001,1998,1411,4086,0,0,10,2,52,BrkSide,1Fam,40284
189,120,95191,6,5,1904,2000,5057,5134,0,1,9,0,327,NoRidge,Duplex,120513
190,80,201899,10,6,1968,1999,4619,2565,3,6,10,1,175,CollgCr,1Fam,448826
191,30,198746,6,2,1917,1955,3850,1228,2,1,6,3,1396,Somerst,1Fam,105477
192,30,164508,6,2,1915,1975,5976,1094,3,3,3,0,522,NWAmes,1Fam,62732
193,50,120634,4,8,1956,1994,613,4096,2,7,5,0,791,Sawyer,1Fam,715856
194,20,44629,5,3,1965,2002,2357,473,2,7,7,1,1121,Mitchel,1Fam,470365
195,80,77939,8,4,1952,1971,3682,2777,0,7,7,0,1374,OldTown,1Fam,614990
196,60,165241,9,6,1885,1994,438,2209,3,1,12,2,1411,Somerst,1Fam,213876
197,20,195713,8,1,1928,1983,5963,5211,0,1,4,0,232,Sawyer,2fmCon,297538
198,60,207222,7,1,1911,1963,3493,5632,0,1,5,3,558,Mitchel,1Fam,474480
199,120,84445,8,4,1872,2003,1882,2905,2,6,4,3,574,NWAmes,1Fam,529819
200,160,105411,1,9,1877,1976,1461,3413,2,1,8,0,1129,Sawyer,Duplex,300038
201,160,110229,3,6,1934,1986,6,2345,0,3,11,2,476,BrkSide,1Fam,696992
202,160,13334,3,6,1885,1967,3621,4457,2,6,12,2,327,Mitchel,1Fam,541435
203,80,26224,7,6,1973,1951,5968,1897,2,3,4,3,1070,Somerst,1Fam,193907
204,160,10974,8,8,1879,1977,221,4285,1,7,7,2,702,Somerst,2fmCon,105612
205,160,159063,2,8,1904,1993,2529,5130,2,3,10,3,1060,Veenker,1Fam,45089
206,80,49298,2,1,2008,1969,4045,1245,2,3,2,0,538,Crawfor,1Fam,643113
207,60,151126,5,5,1969,2005,2632,1534,1,7,10,2,689,OldTown,1Fam,628340
208,160,81588,10,5,1948,1995,3977,2341,0,4,3,3,12,CollgCr,1Fam,379713
209,60,171224,1,3,1874,1988,4354,4727,1,1,2,0,22,NWAmes,1Fam,555315
210,30,26017,9,9,1878,1998,5899,3736,3,5,3,0,0,Mitchel,1Fam,671114
211,30,70873,2,3,1997,2001,3692,1364,1,6,12,0,248,Mitchel,1Fam,150301
212,70,45119,3,8,1982,1993,4337,2287,2,6,10,3,492,BrkSide,TwnhsE,741162
213,20,94591,7,1,2003,1999,1845,3749,1,0,11,3,71,Crawfor,1Fam,387493
214,30,121533,8,6,1983,1992,921,5454,2,0,10,0,227,OldTown,1Fam,350462
215,40,37315,9,7,1872,2001,610,2728,2,5,11,0,1201,OldTown,1Fam,150428
216,70,144000,1,5,1983,1956,668,729,1,5,7,1,1211,Sawyer,1Fam,519139
217,60,207650,1,1,1935,1970,5055,889,2,5,11,3,410,BrkSide,1Fam,468842
218,70,10560,5,2,1967,2003,248,486,3,3,2,3,1342,Somerst,1Fam,56472
219,70,19715,6,6,1929,1978,2953,1002,3,6,8,3,167,NoRidge,1Fam,501215
220,160,205021,3,8,1971,1950,3747,2523,3,4,11,3,44,OldTown,1Fam,136709
221,40,140153,7,6,1988,2000,4108,1828,0,7,13,2,502,Sawyer,1Fam,234139
222,60,198053,3,1,2006,1989,403,1931,3,2,6,1,375,Crawfor,1Fam,475361
223,80,152186,10,8,1946,2004,5257,4403,2,6,4,2,109,NoRidge,1Fam,597180
224,40,154767,2,5,1910,1950,2672,2866,1,1,10,1,1201,Mitchel,1Fam,131535
225,30,35046,7,1,1956,1958,108,4203,1,5,2,3,1388,Veenker,1Fam,375936
226,20,110803,6,4,1940,1980,811,3210,0,5,11,1,383,NoRidge,Duplex,240187
227,50,79459,2,2,1899,1960,5250,1422,3,2,10,3,446,Veenker,1Fam,543548
228,40,179650,7,9,1971,1981,5762,5367,3,0,10,0,1018,OldTown,1Fam,631236
229,30,10526,2,9,1882,1970,4593,2861,0,7,5,2,1323,Mitchel,1Fam,495628
230,40,5186,6,1,1927,1962,2036,4771,2,0,3,1,406,NWAmes,1Fam,607360
231,80,120383,7,6,1967,1996,5785,848,2,3,9,1,968,CollgCr,1Fam,359491
232,120,208921,1,1,1999,1952,1684,4843,0,0,6,3,32,Somerst,1Fam,465470
233,70,214162,3,5,1957,2002,1427,4134,2,3,6,1,802,OldTown,1Fam,245685
234,20,128285,3,2,2007,1959,4673,1660,3,6,4,0,1399,NWAmes,2fmCon,746704
235,90,93271,10,7,1986,1984,1970,4544,1,4,6,1,674,OldTown,1Fam,182019
236,30,59690,3,1,1904,2009,3177,4275,2,1,11,3,909,Veenker,TwnhsE,698210
237,20,213107,10,9,1988,1956,4041,5076,3,3,12,3,974,Somerst,1Fam,572054
238,70,40502,6,3,1918,2005,1014,1447,1,0,6,2,896,Mitchel,1Fam,745539
239,60,28305,10,3,1959,1968,5656,5035,0,4,3,2,973,BrkSide,TwnhsE,497163
240,50,110056,9,8,1899,1994,1016,4379,1,0,2,1,1257,NWAmes,1Fam,288460
241,160,85263,3,9,1946,2001,6065,2127,0,2,4,3,14,Sawyer,1Fam,237206
242,20,107375,6,1,1965,1963,1694,2193,1,0,2,2,1254,CollgCr,1Fam,164254
243,20,194270,8,1,1998,1970,2546,1685,2,1,10,0,1287,Mitchel,1Fam,731308
244,70,59024,1,8,2002,2001,1547,2864,0,0,9,3,1281,OldTown,2fmCon,111618
245,60,188864,7,9,1982,1956,3294,5093,2,7,11,3,521,CollgCr,1Fam,618425
246,120,46605,5,5,1949,1956,5,4780,3,6,5,0,826,NWAmes,1Fam,537866
247,20,70530,1,2,1993,1968,1042,1109,1,7,11,1,500,Crawfor,1Fam,126210
248,60,2252,9,2,1886,1986,3173,1030,3,5,4,2,1191,CollgCr,1Fam,694298
249,30,146485,3,3,2009,1998,4240,648,1,3,4,2,576,NWAmes,1Fam,151961
250,20,184963,9,7,1900,1983,5882,3593,2,1,12,0,443,Mitchel,1Fam,150692
251,60,190889,3,1,1927,1979,5116,2002,0,7,12,0,971,Mitchel,1Fam,426668
252,90,37127,6,6,1997,2002,5631,4372,1,7,9,3,70,NoRidge,1Fam,109183
253,30,165369,4,8,1970,1960,4879,4369,3,3,9,3,533,NWAmes,1Fam,108623
254,120,31538,9,2,1989,2004,4744,1383,2,1,10,2,292,NWAmes,1Fam,484413
255,70,135759,10,9,1966,1968,2113,4018,2,3,11,2,530,NWAmes,1Fam,729319
256,60,151574,8,9,1954,1966,5529,4391,2,3,4,2,636,OldTown,1Fam,73294
257,160,33942,9,3,1896,2007,5885,5573,0,7,2,1,89,NWAmes,1Fam,494340
258,50,24943,8,2,2009,1988,3137,4169,3,0,4,2,1226,CollgCr,2fmCon,468178
259,40,16918,3,3,1959,1975,735,2242,1,5,6,1,590,Veenker,1Fam,82551
260,90,152850,10,3,1964,1969,260,5640,0,6,4,0,508,Sawyer,1Fam,142601
261,30,132795,6,3,1931,1976,3018,1798,3,6,8,1,211,Crawfor,1Fam,354254
262,120,26834,4,9,2003,1997,3878,4608,0,1,3,1,1412,Mitchel,1Fam,534151
263,120,108331,2,2,1934,1959,3388,2341,3,3,8,1,1213,NoRidge,1Fam,194739
264,160,171558,8,3,1898,1960,5476,5297,1,2,10,1,683,Sawyer,1Fam,347561
265,60,52226,3,8,1896,1968,3278,4486,0,3,3,0,474,BrkSide,1Fam,388073
266,80,130873,7,1,1968,1978,4038,3517,0,0,5,1,662,Mitchel,1Fam,547482
267,120,63936,1,1,1974,1998,4630,1471,2,0,8,1,1362,NWAmes,1Fam,212783
268,30,57142,7,3,1900,1962,5467,1334,2,0,2,0,313,Somerst,1Fam,531131
269,50,85185,7,9,1968,1997,3724,5364,0,7,9,1,970,NWAmes,1Fam,633876
270,60,76654,6,8,2009,2004,3406,4589,1,3,11,2,1281,Sawyer,1Fam,454497
271,80,107314,7,9,1945,1976,471,3054,0,1,6,1,1072,NWAmes,Duplex,554163
272,80,45245,10,8,2005,2007,3924,4991,2,6,2,0,1233,Veenker,1Fam,155507
273,160,84793,9,2,1893,2003,1098,4490,3,3,8,2,1343,Somerst,1Fam,687726
274,60,134455,5,4,1927,1997,2252,2391,1,2,12,2,85,BrkSide,TwnhsE,251832
275,30,84159,9,5,1948,1972,3251,4725,3,0,5,1,338,CollgCr,1Fam,177449
276,30,141733,10,2,1921,1968,504,4559,1,3,12,0,204,NoRidge,1Fam,429832
277,120,26060,2,9,1885,2001,4243,2875,0,5,12,0,804,Crawfor,2fmCon,312420
278,60,30751,4,6,1935,1976,1714,437,1,4,5,0,577,OldTown,TwnhsE,367074
279,80,186488,8,8,1918,1951,3141,4269,3,3,9,3,57,Veenker,1Fam,614916
280,70,100105,6,3,1900,1993,2140,2136,3,4,2,1,790,NWAmes,1Fam,420814
281,120,131625,2,7,1923,1970,2172,2269,2,6,8,1,142,CollgCr,1Fam,304106
282,40,159575,5,1,1929,2006,2406,4121,1,7,12,2,577,Sawyer,2fmCon,611133
283,30,32557,4,1,1993,2001,312,4638,3,4,13,2,519,NoRidge,Duplex,307881
284,90,209310,8,6,1939,1956,1193,800,2,1,4,0,1267,Mitchel,1Fam,724988
285,60,91985,6,1,1929,2004,4801,4707,3,1,9,3,967,OldTown,Duplex,744946
286,120,191649,2,3,1925,2006,744,1888,2,1,2,1,885,NoRidge,1Fam,372820
287,30,90454,1,8,1954,1995,3037,3339,2,0,5,3,1179,Veenker,1Fam,589998
288,40,88070,3,5,1910,1966,855,4944,3,4,12,3,255,Sawyer,1Fam,544842
289,160,129799,2,4,1992,1990,3292,1491,3,1,9,2,363,Veenker,1Fam,654774
290,120,42141,9,3,1929,2002,3932,1506,2,1,6,0,1066,Mitchel,TwnhsE,367043
291,20,131564,3,7,1930,1998,2865,5483,0,5,13,2,1062,Veenker,1Fam,327961
292,120,211674,7,9,1880,1975,4713,2313,1,2,11,0,30,NWAmes,1Fam,234092
293,20,139342,2,7,1993,1992,1621,5360,2,6,2,3,318,Crawfor,1Fam,456819
