dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
2011-01-27,4,0,12,0,0,0,2,0.5638,0.4707,0.1549,0.3999,1983,6699,6705
2011-01-28,3,0,4,0,3,0,2,0.2778,0.1672,0.2001,0.3272,1460,5535,8008
2011-01-29,3,1,11,0,5,0,1,0.876,0.7329,0.6842,0.1171,2942,361,3596
2011-01-30,2,1,8,0,0,1,2,0.2513,0.0459,0.9876,0.162,541,1931,2910
2011-01-31,3,1,4,0,1,1,1,0.5814,0.1139,0.4453,0.1976,1273,2893,7019
2011-02-01,2,1,7,0,5,0,2,0.4317,0.941,0.5731,0.3998,1357,584,6271
2011-02-02,1,0,2,0,5,0,2,0.748,0.5176,0.3002,0.3163,341,5958,2404
2011-02-03,1,1,5,0,0,0,1,0.9517,0.2664,0.8455,0.6803,305,1216,2668
2011-02-04,3,1,9,0,1,0,1,0.4233,0.4804,0.1152,0.2522,3039,1448,6891
2011-02-05,3,0,11,0,4,1,1,0.0635,0.5782,0.5822,0.3608,2641,2213,4972
2011-02-06,2,1,3,0,3,0,2,0.6682,0.6389,0.5862,0.1043,1245,6495,7902
2011-02-07,3,1,11,0,3,0,1,0.1466,0.3482,0.0011,0.2305,908,1584,5502
2011-02-08,2,0,8,0,1,0,1,0.1224,0.3874,0.9406,0.6656,1387,2966,8547
2011-02-09,2,1,3,0,3,1,1,0.6683,0.5498,0.9743,0.601,2404,4745,2867
2011-02-10,3,1,10,0,0,1,1,0.1208,0.6267,0.4675,0.3419,1010,1104,6773
2011-02-11,2,0,11,0,6,1,1,0.1462,0.9214,0.7256,0.4909,228,636,1674
2011-02-12,4,1,4,0,3,1,1,0.4503,0.3923,0.8487,0.3896,1433,664,6141
2011-02-13,3,0,2,0,2,1,2,0.4633,0.8747,0.1167,0.7609,2042,1292,3651
2011-02-14,3,1,4,0,2,1,2,0.9154,0.9932,0.0846,0.3355,1777,2285,4541
2011-02-15,3,0,10,0,2,0,3,0.2906,0.339,0.6893,0.6138,589,6535,7042
2011-02-16,3,1,1,0,3,1,1,0.4129,0.0273,0.5595,0.1857,2876,6390,941
2011-02-17,4,1,4,0,1,1,1,0.7134,0.6044,0.6794,0.369,2154,3962,1965
2011-02-18,2,0,4,0,4,0,1,0.8305,0.9036,0.572,0.4499,2456,6524,4888
2011-02-19,4,0,1,0,1,0,2,0.3621,0.0534,0.7264,0.0889,3265,220,3622
2011-02-20,1,0,8,0,2,1,1,0.6385,0.1971,0.1549,0.4993,1751,3921,4917
2011-02-21,3,1,10,0,6,0,1,0.6317,0.6762,0.2156,0.4885,1974,3096,3764
2011-02-22,3,1,2,0,3,0,2,0.3171,0.8097,0.237,0.1349,2605,838,584
2011-02-23,1,1,11,0,6,1,1,0.1362,0.0866,0.4165,0.8489,2639,3850,8161
2011-02-24,3,0,12,0,4,1,2,0.6889,0.3637,0.7596,0.0786,2891,3182,6024
2011-02-25,1,1,11,0,5,0,2,0.2827,0.2387,0.8314,0.761,2402,5307,5324
2011-02-26,3,0,9,0,0,1,2,0.3319,0.9649,0.4013,0.4178,200,2913,1316
2011-02-27,3,1,6,0,3,1,1,0.5809,0.6825,0.602,0.1893,1195,2992,1738
2011-02-28,3,0,3,0,2,0,1,0.1776,0.4756,0.2952,0.0959,2020,1620,5207
2011-03-01,3,1,11,0,0,1,2,0.2567,0.8624,0.4758,0.5945,1518,3292,480
2011-03-02,2,0,7,0,0,0,1,0.4572,0.5377,0.9409,0.6413,149,546,4130
2011-03-03,3,1,6,0,1,1,1,0.8809,0.9113,0.2693,0.5724,913,3942,7751
2011-03-04,1,0,5,0,0,0,1,0.7768,0.2388,0.7879,0.3569,1052,2662,7627
2011-03-05,4,1,3,0,3,1,1,0.3312,0.0273,0.0422,0.1467,125,1915,4496
2011-03-06,1,1,5,0,0,0,1,0.316,0.4287,0.3452,0.6711,2600,2595,2040
2011-03-07,1,0,10,0,5,1,2,0.9876,0.2043,0.6588,0.7405,1290,6197,664
2011-03-08,3,1,7,0,4,0,2,0.6603,0.8357,0.776,0.3331,2698,4895,1510
2011-03-09,1,0,5,0,6,1,1,0.6918,0.5329,0.5922,0.715,2968,5923,2461
2011-03-10,4,0,2,0,0,1,2,0.074,0.2887,0.8692,0.5403,3014,2750,4812
2011-03-11,1,1,5,0,0,0,3,0.1229,0.7736,0.8208,0.4479,3097,2746,6328
2011-03-12,3,0,3,0,6,0,1,0.3086,0.5269,0.6175,0.519,1699,110,4022
2011-03-13,4,0,5,0,2,0,2,0.8452,0.5028,0.3481,0.0916,828,4744,7206
2011-03-14,3,1,2,0,5,1,1,0.9125,0.1808,0.3637,0.1066,288,158,1423
2011-03-15,3,0,12,0,1,1,3,0.2072,0.9952,0.6151,0.6177,2128,6754,3702
2011-03-16,3,1,3,0,0,1,1,0.7199,0.659,0.6566,0.8245,434,4781,5356
2011-03-17,3,0,2,0,3,1,1,0.8767,0.8548,0.3946,0.4316,824,3244,490
2011-03-18,1,1,8,0,4,0,3,0.8813,0.7597,0.3975,0.0459,834,4596,7895
2011-03-19,2,1,5,0,0,1,2,0.4696,0.5029,0.1768,0.0579,934,6902,8671
2011-03-20,1,1,12,0,0,0,1,0.2736,0.0097,0.0003,0.3973,1270,1130,6456
2011-03-21,1,0,5,0,1,0,2,0.9572,0.6667,0.4615,0.559,1131,5186,6131
2011-03-22,1,0,8,0,0,0,3,0.2911,0.1007,0.8308,0.1316,1796,6019,1843
2011-03-23,3,0,11,0,6,0,2,0.2676,0.9615,0.7665,0.0281,3264,4081,1611
2011-03-24,4,1,12,0,6,0,1,0.2216,0.2493,0.9939,0.62,2203,4609,2094
2011-03-25,3,0,10,0,0,0,1,0.5419,0.3673,0.6694,0.1242,2306,3524,1195
2011-03-26,1,1,7,0,3,0,3,0.125,0.5516,0.2339,0.3725,555,1086,4868
2011-03-27,3,0,10,0,2,0,1,0.5793,0.5026,0.6773,0.624,391,6814,8342
2011-03-28,3,1,4,0,0,0,1,0.9448,0.6551,0.8285,0.1065,646,2012,5910
2011-03-29,4,1,11,0,4,1,1,0.5149,0.7834,0.641,0.3763,2893,2690,7682
2011-03-30,2,1,11,0,5,0,1,0.966,0.7576,0.4817,0.0947,591,6763,8531
2011-03-31,2,0,5,0,4,1,2,0.9076,0.9081,0.6185,0.2954,3355,412,5777
2011-04-01,3,0,1,0,6,1,1,0.7965,0.4699,0.0258,0.7756,2574,2844,933
2011-04-02,3,0,9,0,4,0,1,0.6159,0.5342,0.2651,0.5832,2827,3870,8109
2011-04-03,1,0,2,0,3,1,1,0.8831,0.8741,0.1577,0.0196,1031,1659,4770
2011-04-04,3,0,1,0,6,0,1,0.5639,0.2823,0.4134,0.1143,534,4660,4779
2011-04-05,4,1,12,0,4,0,1,0.2231,0.2459,0.893,0.2497,570,3650,8604
2011-04-06,1,1,7,0,5,1,1,0.9267,0.0091,0.1879,0.7612,2925,1835,5966
2011-04-07,2,0,8,0,5,1,2,0.5121,0.7385,0.071,0.635,1472,1443,985
2011-04-08,3,1,11,0,0,1,1,0.9096,0.6876,0.7769,0.5249,1396,2005,6670
2011-04-09,4,1,12,0,5,1,1,0.4053,0.2767,0.8679,0.1297,845,5503,8475
2011-04-10,4,1,12,0,5,0,2,0.349,0.1299,0.5314,0.7895,1216,3627,2086
2011-04-11,3,0,2,0,3,0,2,0.7707,0.0425,0.3766,0.6869,1260,5521,4039
2011-04-12,3,0,4,0,3,1,2,0.6418,0.4879,0.4305,0.2035,2556,4995,923
2011-04-13,2,1,10,0,5,0,3,0.4509,0.1935,0.659,0.3437,2810,5566,6257
2011-04-14,2,1,1,0,0,0,1,0.881,0.7934,0.8313,0.3641,1593,5942,1264
2011-04-15,3,1,3,0,3,0,1,0.5262,0.95,0.1894,0.4994,1139,4295,3718
2011-04-16,3,1,7,0,5,0,1,0.0325,0.7769,0.9023,0.3186,1541,2515,5678
2011-04-17,3,0,5,0,1,0,1,0.6993,0.8516,0.6574,0.1785,597,4826,7332
2011-04-18,4,1,3,0,1,0,3,0.0819,0.9908,0.7383,0.5669,235,6561,2799
2011-04-19,1,0,11,0,0,1,2,0.4915,0.7408,0.0869,0.5759,794,2246,7918
2011-04-20,4,0,6,0,2,0,2,0.2082,0.5673,0.9183,0.376,85,3397,232
2011-04-21,3,1,5,0,2,1,3,0.2571,0.81,0.5282,0.4137,119,6107,1470
2011-04-22,3,0,8,0,6,1,3,0.9802,0.5639,0.3621,0.0431,814,4156,1054
2011-04-23,3,0,9,0,0,1,1,0.1312,0.4325,0.3989,0.3877,3073,1018,6517
2011-04-24,3,0,6,1,4,1,3,0.7626,0.0325,0.293,0.6803,633,2447,3166
2011-04-25,3,0,11,0,0,0,1,0.6447,0.643,0.163,0.5028,2377,1782,202
2011-04-26,2,0,4,0,5,1,1,0.2111,0.8975,0.0347,0.7826,503,3326,6872
2011-04-27,3,1,11,0,3,1,2,0.9366,0.6932,0.2644,0.609,1581,6895,2428
2011-04-28,2,1,11,0,2,1,3,0.2174,0.4041,0.4966,0.661,2070,5833,5951
2011-04-29,3,0,1,0,6,0,2,0.5253,0.6169,0.6668,0.3897,1913,6671,4822
2011-04-30,3,0,10,0,5,1,1,0.7947,0.813,0.7333,0.1474,2727,5155,991
2011-05-01,2,1,2,0,0,0,3,0.7683,0.7642,0.5956,0.7754,867,3535,5265
2011-05-02,4,1,6,0,1,0,2,0.3333,0.4912,0.1161,0.5603,2533,4590,7506
2011-05-03,2,0,12,0,1,0,2,0.8425,0.3617,0.4315,0.7731,1377,3476,3196
2011-05-04,3,0,3,0,4,1,1,0.9629,0.3969,0.6674,0.5249,1519,304,7266
2011-05-05,2,0,7,0,5,1,1,0.4845,0.9079,0.7432,0.3863,1091,829,2372
2011-05-06,1,0,10,0,4,1,1,0.6593,0.1699,0.3245,0.1145,3399,3862,2481
2011-05-07,3,0,6,1,2,1,3,0.3772,0.863,0.9284,0.338,2812,4588,1513
2011-05-08,4,0,1,0,5,1,3,0.367,0.1953,0.7954,0.5079,1579,1776,1861
2011-05-09,2,1,1,0,5,1,1,0.4803,0.9809,0.8517,0.7911,2535,234,2105
2011-05-10,1,1,7,0,0,0,1,0.2132,0.4483,0.6665,0.7049,3122,503,5668
2011-05-11,1,1,1,0,3,1,1,0.6956,0.7334,0.4138,0.4362,969,2197,1153
2011-05-12,2,1,1,0,4,1,2,0.1823,0.7294,0.9342,0.3808,1113,5984,4754
2011-05-13,4,0,12,0,4,0,2,0.0251,0.7725,0.9014,0.0283,2599,2917,2292
2011-05-14,3,1,7,0,1,1,2,0.4507,0.7894,0.8285,0.2985,969,6761,1297
2011-05-15,1,0,6,0,1,0,1,0.0949,0.0391,0.8911,0.8341,322,6211,7160
2011-05-16,4,0,2,0,2,1,1,0.5712,0.2733,0.9166,0.6299,2030,5964,4715
2011-05-17,1,1,10,0,2,1,3,0.53,0.2297,0.7464,0.446,692,6727,2521
2011-05-18,3,1,7,0,6,0,2,0.1545,0.6986,0.2003,0.733,2001,1696,5572
2011-05-19,4,1,3,0,4,1,1,0.2611,0.6833,0.5385,0.0196,364,6765,7911
2011-05-20,4,1,10,0,5,0,1,0.044,0.297,0.616,0.814,1632,6418,2479
2011-05-21,3,0,3,0,0,1,1,0.6021,0.7935,0.7734,0.5947,813,5552,2153
2011-05-22,2,1,7,0,5,0,1,0.307,0.3116,0.4951,0.0113,1803,1353,5955
2011-05-23,4,0,7,0,1,0,1,0.7187,0.3429,0.5129,0.5997,772,2028,4298
2011-05-24,2,0,4,0,3,0,2,0.6372,0.3989,0.9956,0.0707,858,4538,5877
2011-05-25,2,0,11,0,2,1,1,0.3861,0.7446,0.4522,0.5437,3071,334,1478
2011-05-26,3,1,9,0,6,0,1,0.0413,0.0118,0.13,0.2558,3348,5710,8131
2011-05-27,3,1,4,0,4,0,2,0.3338,0.9065,0.7097,0.1803,1117,2967,170
2011-05-28,1,0,2,0,3,1,1,0.3384,0.6921,0.3625,0.5339,2202,170,2401
2011-05-29,4,1,4,0,3,0,2,0.3461,0.5866,0.2485,0.3689,1212,2079,5459
2011-05-30,4,1,6,0,4,1,3,0.9544,0.2373,0.6285,0.0548,582,2756,4544
2011-05-31,2,1,7,0,5,0,1,0.1813,0.7855,0.9544,0.699,341,4557,2957
2011-06-01,1,1,5,0,4,0,2,0.2847,0.8728,0.3128,0.2262,3036,4191,8512
2011-06-02,1,1,1,0,5,0,1,0.8358,0.5015,0.3723,0.5255,226,2589,3021
2011-06-03,2,0,9,0,5,0,1,0.9267,0.2925,0.4655,0.518,1678,4309,5918
2011-06-04,1,0,5,0,0,1,1,0.4789,0.3806,0.688,0.0477,749,6189,3566
2011-06-05,4,0,5,0,2,0,2,0.5492,0.4163,0.3959,0.8477,2593,2445,3850
2011-06-06,4,1,7,0,6,1,1,0.0718,0.3059,0.4251,0.3805,460,2610,6782
2011-06-07,4,0,11,0,2,1,2,0.8119,0.7122,0.7009,0.1746,1967,723,3100
2011-06-08,2,1,1,0,5,0,1,0.6027,0.3422,0.9851,0.3712,1176,2638,3496
2011-06-09,3,0,12,0,3,0,2,0.4894,0.8212,0.3165,0.5126,1777,1987,6818
2011-06-10,2,0,8,0,1,0,1,0.3165,0.4637,0.5853,0.0026,636,5277,773
2011-06-11,2,0,7,0,2,0,1,0.4549,0.629,0.7944,0.2551,400,803,3779
2011-06-12,3,1,1,0,3,1,2,0.7406,0.948,0.2121,0.4559,609,4106,2444
2011-06-13,1,1,9,0,0,1,1,0.0992,0.4461,0.8183,0.5903,1966,5368,4214
2011-06-14,4,0,9,1,2,0,1,0.5167,0.1703,0.3549,0.2663,2208,1788,5029
2011-06-15,1,0,7,0,4,1,2,0.0539,0.5499,0.111,0.3433,3084,488,3751
2011-06-16,2,1,10,0,6,0,2,0.7768,0.4967,0.0249,0.188,3212,4706,8657
2011-06-17,1,0,11,0,6,0,2,0.2268,0.7826,0.0331,0.2491,2566,4094,7955
2011-06-18,3,1,11,1,2,0,1,0.9053,0.8602,0.7976,0.5843,44,3919,1266
2011-06-19,3,0,4,0,5,0,1,0.4866,0.7126,0.6749,0.2867,2399,6112,5613
2011-06-20,4,1,9,0,2,1,1,0.4681,0.9715,0.7935,0.2377,2406,740,2833
2011-06-21,2,1,1,0,5,0,1,0.3731,0.2692,0.7529,0.2538,2408,1389,6236
2011-06-22,1,0,7,0,6,1,1,0.526,0.2392,0.381,0.5207,2248,3256,4242
2011-06-23,1,0,2,0,3,1,1,0.3513,0.2913,0.933,0.4767,2345,3913,8310
2011-06-24,3,1,4,0,4,0,1,0.3727,0.6709,0.8779,0.3459,1995,6382,8232
2011-06-25,4,1,9,0,6,1,2,0.2117,0.2325,0.3484,0.5375,2113,4304,514
2011-06-26,1,0,6,0,0,1,1,0.3583,0.0884,0.7729,0.5464,2361,1486,964
2011-06-27,4,0,11,0,1,1,1,0.8155,0.9777,0.8197,0.0111,150,5920,220
2011-06-28,2,0,2,0,4,1,1,0.2608,0.3146,0.4885,0.2882,1735,2891,6921
2011-06-29,4,0,12,0,1,1,1,0.8248,0.2224,0.1204,0.2076,437,6033,2009
2011-06-30,1,1,9,0,5,0,2,0.8641,0.3587,0.3341,0.7048,3160,1931,6305
2011-07-01,4,1,6,0,1,0,1,0.673,0.1584,0.9888,0.2341,3375,5501,2910
2011-07-02,2,0,1,0,2,1,1,0.0501,0.0358,0.7159,0.2697,541,3738,2685
2011-07-03,2,0,1,0,5,0,3,0.5698,0.3054,0.7747,0.4571,3040,3868,5273
2011-07-04,1,1,5,0,3,0,1,0.8365,0.3379,0.9119,0.4653,1615,6773,6747
2011-07-05,1,1,7,0,5,1,1,0.3785,0.811,0.2028,0.6893,2293,1088,4946
2011-07-06,4,0,7,0,4,1,2,0.2972,0.4356,0.9684,0.3297,2227,2166,5018
2011-07-07,1,0,4,0,3,1,2,0.3349,0.7368,0.5181,0.239,402,1287,6424
2011-07-08,2,1,8,0,3,1,3,0.4346,0.7357,0.7447,0.517,3098,5788,1511
2011-07-09,4,1,8,0,5,0,3,0.0888,0.789,0.3182,0.619,2185,5910,5167
2011-07-10,2,1,5,0,6,0,2,0.2529,0.9185,0.3294,0.8437,1663,5826,2505
2011-07-11,4,1,4,0,0,1,1,0.654,0.4986,0.3596,0.5256,2097,1669,1368
2011-07-12,3,0,6,0,3,1,2,0.483,0.104,0.3481,0.4171,3331,1816,2875
2011-07-13,4,1,9,0,5,1,1,0.2624,0.0387,0.0625,0.1131,2208,2805,1694
2011-07-14,4,1,8,0,4,1,2,0.9323,0.1869,0.3096,0.8389,2239,5371,2829
2011-07-15,1,0,2,1,3,0,3,0.3096,0.8292,0.6474,0.5822,2989,5223,226
2011-07-16,2,0,12,0,5,0,1,0.1467,0.5743,0.902,0.1403,2384,6863,6509
2011-07-17,2,0,3,0,3,1,3,0.2154,0.1401,0.0417,0.3907,489,5452,3049
2011-07-18,1,1,9,0,0,1,2,0.3107,0.1326,0.0166,0.4763,2790,6627,5761
2011-07-19,1,1,1,0,1,1,1,0.5321,0.8915,0.5924,0.1843,3068,1863,6535
2011-07-20,1,1,4,0,0,1,3,0.085,0.52,0.6997,0.6226,2503,4215,7148
2011-07-21,4,0,7,0,4,0,2,0.8578,0.1719,0.6082,0.5528,521,3711,698
2011-07-22,4,1,11,0,6,1,1,0.8799,0.8967,0.973,0.1987,1783,1070,4461
2011-07-23,3,0,7,0,2,0,2,0.332,0.7207,0.2289,0.8413,186,6579,3644
2011-07-24,4,1,1,0,5,1,1,0.7798,0.4778,0.4812,0.8064,2635,846,3068
2011-07-25,2,0,12,0,6,0,1,0.6077,0.4651,0.9159,0.2257,3264,5940,7033
2011-07-26,2,1,4,0,2,0,2,0.8485,0.6727,0.6175,0.3755,123,1868,610
2011-07-27,4,1,5,0,6,1,3,0.2914,0.3383,0.5771,0.7606,373,1554,2717
2011-07-28,1,1,2,0,0,0,2,0.618,0.9999,0.9328,0.3454,3180,4184,6926
2011-07-29,1,1,9,0,4,0,3,0.0912,0.7846,0.3389,0.8116,2727,3257,3452
2011-07-30,3,1,6,0,1,0,3,0.0293,0.641,0.1572,0.1703,2807,2694,671
2011-07-31,2,0,3,0,5,1,1,0.8772,0.6875,0.1292,0.6154,712,6276,1530
2011-08-01,3,0,8,0,0,1,2,0.3087,0.9961,0.8219,0.5096,2175,4861,2642
2011-08-02,3,1,3,0,5,1,2,0.4565,0.0108,0.8569,0.2943,2826,4237,2178
2011-08-03,2,0,7,0,2,1,1,0.2471,0.0228,0.2339,0.6101,236,5476,5835
2011-08-04,1,1,8,0,1,1,1,0.8793,0.785,0.4571,0.0206,968,5583,1511
2011-08-05,1,1,10,0,3,1,2,0.3968,0.2094,0.5849,0.1962,1007,1269,6664
2011-08-06,2,1,9,0,6,0,3,0.1955,0.6852,0.139,0.2221,1847,3076,2730
2011-08-07,2,0,7,0,1,0,3,0.6158,0.5033,0.8488,0.0998,866,6290,617
2011-08-08,1,1,1,0,2,1,2,0.2214,0.3187,0.4189,0.0289,1167,5660,120
2011-08-09,3,0,3,0,4,1,2,0.2755,0.2313,0.8635,0.3,877,439,5303
2011-08-10,4,0,7,0,0,1,2,0.6793,0.7767,0.7601,0.1855,218,1725,6409
2011-08-11,4,1,7,0,6,1,3,0.96,0.171,0.295,0.1129,2292,1854,1214
2011-08-12,1,0,7,0,3,0,2,0.7597,0.1587,0.7166,0.1337,2178,3575,2707
2011-08-13,1,1,9,1,6,1,3,0.1417,0.4419,0.7407,0.7023,2987,5663,6603
2011-08-14,2,1,11,0,2,1,4,0.3263,0.1193,0.3113,0.0807,1965,3365,7564
2011-08-15,4,0,7,0,5,1,1,0.8004,0.6415,0.2537,0.6161,2324,1292,6365
2011-08-16,3,0,2,0,2,1,3,0.2896,0.992,0.8234,0.0459,1226,3880,5390
2011-08-17,2,0,6,0,3,0,2,0.7453,0.7479,0.6779,0.0345,1326,1544,6524
2011-08-18,4,0,4,0,2,0,1,0.4824,0.6032,0.7396,0.3759,1407,4716,2603
2011-08-19,3,0,7,0,3,0,1,0.8867,0.3946,0.3131,0.3246,3305,6777,576
2011-08-20,4,1,8,0,1,0,2,0.372,0.988,0.7222,0.4639,1612,4399,4926
2011-08-21,4,0,7,0,3,0,1,0.9359,0.8799,0.7143,0.5972,2941,6339,4884
2011-08-22,4,1,7,0,5,1,1,0.4193,0.8206,0.3333,0.2633,1094,3790,7003
2011-08-23,3,0,4,0,1,0,2,0.7317,0.23,0.2705,0.1652,2337,5649,2115
2011-08-24,2,0,3,0,5,0,1,0.2113,0.1236,0.4314,0.6988,936,6531,7749
2011-08-25,1,1,11,0,5,0,1,0.5402,0.1779,0.7391,0.1405,1356,1223,4331
2011-08-26,3,1,5,0,0,0,2,0.3239,0.2587,0.1936,0.6787,2929,4630,3865
2011-08-27,2,0,3,0,4,1,1,0.0325,0.0817,0.8743,0.4991,2332,1787,8621
2011-08-28,1,1,12,0,3,0,2,0.4485,0.8884,0.2553,0.246,1659,606,4746
2011-08-29,4,1,1,0,4,0,1,0.189,0.1852,0.8396,0.2671,1392,1648,808
2011-08-30,2,0,5,0,2,0,3,0.9594,0.2266,0.1558,0.315,2727,1007,2227
2011-08-31,3,1,9,0,1,0,1,0.8124,0.8882,0.7394,0.5024,530,1329,5185
2011-09-01,4,0,5,0,2,0,2,0.7447,0.9581,0.5614,0.8327,2894,66,2023
2011-09-02,2,0,11,0,1,0,2,0.4643,0.2218,0.6615,0.2705,2110,6741,1456
2011-09-03,4,1,5,0,2,0,3,0.2739,0.2942,0.9741,0.8006,1123,3069,2600
2011-09-04,3,1,8,0,6,1,2,0.3379,0.8001,0.0526,0.1744,2381,1169,4455
2011-09-05,3,1,6,0,5,0,2,0.2203,0.9703,0.1491,0.096,3379,2397,828
2011-09-06,2,0,6,0,1,1,1,0.5609,0.6497,0.0791,0.4523,1192,5191,4549
2011-09-07,4,0,6,0,3,0,2,0.8151,0.4426,0.5196,0.83,1341,4397,6342
2011-09-08,1,1,12,0,0,0,2,0.2037,0.6746,0.8028,0.4121,3169,373,3987
2011-09-09,3,0,10,0,0,1,2,0.0245,0.7803,0.0548,0.6799,1175,1044,6054
2011-09-10,4,1,5,0,4,1,1,0.1431,0.1127,0.7794,0.4017,2913,3786,5581
2011-09-11,1,1,5,0,2,0,2,0.4717,0.4353,0.4331,0.7225,3068,6737,4335
2011-09-12,2,1,5,0,4,1,1,0.0382,0.8573,0.9414,0.6908,1988,510,8489
2011-09-13,3,1,9,0,1,1,2,0.4152,0.7054,0.3827,0.5833,281,5992,5338
2011-09-14,2,0,8,0,0,1,2,0.1289,0.1538,0.9846,0.5231,207,447,7020
2011-09-15,1,1,7,0,5,1,1,0.1256,0.7552,0.5565,0.4404,959,3451,5592
2011-09-16,2,0,6,0,1,1,2,0.7184,0.6674,0.99,0.8132,60,1614,8353
2011-09-17,2,0,5,1,0,1,1,0.9995,0.2646,0.6319,0.4738,2601,2952,3769
2011-09-18,4,0,7,1,5,1,2,0.2106,0.344,0.3463,0.2866,2182,6430,1668
2011-09-19,4,1,10,0,4,1,2,0.245,0.3144,0.8034,0.7499,1551,1514,1600
2011-09-20,1,1,12,0,6,1,1,0.3105,0.9932,0.487,0.561,2775,4444,8655
2011-09-21,2,1,1,0,4,1,1,0.7894,0.1837,0.3088,0.4744,456,2327,6963
2011-09-22,1,0,3,0,3,0,2,0.5158,0.8294,0.4783,0.5798,1707,4531,2674
2011-09-23,4,1,9,0,4,0,2,0.5793,0.5306,0.8719,0.2965,1155,400,3912
2011-09-24,2,1,2,0,5,1,1,0.5556,0.8805,0.7323,0.3577,82,2081,318
2011-09-25,4,1,8,0,4,0,1,0.9386,0.9819,0.1738,0.1663,1632,6653,8305
2011-09-26,1,0,6,0,2,0,1,0.0542,0.9611,0.8386,0.7268,495,5031,3813
2011-09-27,3,0,3,0,6,1,2,0.1748,0.8543,0.4314,0.5658,158,6507,3364
2011-09-28,1,0,7,0,4,0,1,0.3945,0.4136,0.0829,0.7006,721,4740,2161
2011-09-29,3,1,7,0,6,0,2,0.4983,0.2713,0.1472,0.2698,665,1303,737
2011-09-30,1,0,9,0,3,1,2,0.1317,0.3195,0.0662,0.8461,2141,3217,6646
2011-10-01,1,0,10,0,3,1,3,0.8953,0.6531,0.6766,0.3036,2704,6100,1958
2011-10-02,1,0,12,0,5,1,4,0.6843,0.3419,0.2576,0.3007,1658,4747,777
2011-10-03,3,0,6,0,4,1,2,0.9336,0.4349,0.0963,0.8165,2187,3623,8527
2011-10-04,3,1,9,0,5,1,2,0.942,0.0797,0.3657,0.5568,350,6025,4785
2011-10-05,3,1,10,0,6,1,2,0.5223,0.771,0.867,0.7934,2682,806,692
2011-10-06,1,0,12,0,1,1,3,0.8559,0.1115,0.6287,0.5297,1711,6671,2537
2011-10-07,2,0,8,0,1,0,2,0.742,0.337,0.4862,0.2095,1462,893,4834
2011-10-08,2,0,3,0,1,1,1,0.3733,0.5904,0.7332,0.3321,2965,6922,1818
2011-10-09,4,0,5,0,4,0,3,0.6642,0.5312,0.0759,0.7301,1071,5592,8627
2011-10-10,3,1,3,0,5,1,1,0.9537,0.8931,0.8828,0.416,1498,3402,7633
