Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,Gender,HourlyRate,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole
50,No,Travel_Rarely,114,Sales,15,4,Male,78,3,Sales Representative,3,Single,10518,4,No,21,4,8,2,2,36,8
53,No,Travel_Rarely,1238,Research & Development,9,3,Male,42,4,Human Resources,4,Married,4927,0,Yes,18,3,18,6,1,3,14
41,No,Travel_Rarely,825,Sales,2,4,Female,48,2,Healthcare Representative,1,Married,6472,5,No,13,4,8,2,2,17,12
58,No,Travel_Rarely,1077,Sales,4,4,Male,35,3,Manager,1,Divorced,2341,9,No,22,3,17,3,3,2,16
38,No,Non-Travel,1409,Sales,16,1,Male,38,2,Healthcare Representative,1,Single,9161,8,No,19,3,23,3,2,23,1
29,No,Travel_Rarely,827,Research & Development,18,5,Female,95,2,Laboratory Technician,2,Divorced,12631,7,No,21,4,18,2,4,14,11
25,No,Non-Travel,1063,Research & Development,26,2,Male,41,2,Healthcare Representative,3,Single,12931,1,No,21,3,23,1,1,26,5
33,No,Travel_Frequently,1474,Research & Development,6,4,Male,73,1,Manager,2,Married,4997,8,No,22,4,2,1,1,25,0
30,No,Travel_Rarely,261,Sales,17,4,Male,83,5,Sales Executive,1,Married,16431,1,No,19,3,20,1,4,36,17
26,No,Travel_Rarely,1138,Research & Development,3,1,Female,35,5,Manufacturing Director,3,Married,8907,4,Yes,13,4,2,1,3,1,2
36,No,Travel_Rarely,1093,Research & Development,15,1,Female,50,4,Laboratory Technician,2,Divorced,16245,9,No,17,3,27,0,2,25,5
28,No,Travel_Rarely,367,Human Resources,5,5,Female,63,4,Manager,2,Married,16585,7,No,21,4,20,6,3,13,9
59,Yes,Travel_Frequently,122,Research & Development,7,1,Male,53,3,Manufacturing Director,4,Single,1225,1,No,22,4,25,0,4,24,6
30,No,Travel_Rarely,985,Research & Development,12,2,Male,91,3,Research Scientist,2,Married,1900,5,Yes,18,4,13,0,4,38,2
43,No,Travel_Rarely,617,Sales,13,5,Male,42,5,Healthcare Representative,3,Married,11166,9,Yes,11,3,8,3,4,33,4
49,No,Travel_Rarely,539,Research & Development,4,1,Male,80,1,Healthcare Representative,1,Married,16928,4,Yes,24,4,27,6,2,38,12
57,No,Non-Travel,432,Research & Development,17,4,Female,60,1,Manager,3,Married,8098,5,No,19,3,2,4,1,39,0
46,No,Travel_Rarely,862,Research & Development,12,2,Female,57,5,Sales Representative,3,Single,12601,3,Yes,18,4,19,0,2,31,1
28,No,Travel_Rarely,453,Research & Development,25,3,Male,53,1,Human Resources,4,Married,12536,4,No,17,3,10,4,1,35,5
41,No,Travel_Rarely,205,Research & Development,18,1,Female,77,4,Manager,2,Married,15486,5,No,17,3,14,4,3,27,17
20,Yes,Non-Travel,159,Sales,25,3,Male,54,2,Healthcare Representative,2,Married,17751,1,No,20,3,17,5,1,4,2
29,No,Travel_Frequently,464,Research & Development,1,2,Male,73,4,Laboratory Technician,2,Divorced,11814,9,No,19,4,18,2,3,35,11
59,No,Travel_Rarely,964,Research & Development,13,4,Female,32,5,Sales Representative,4,Single,15726,8,No,15,4,8,2,4,27,6
18,No,Travel_Frequently,839,Sales,24,4,Female,49,3,Manufacturing Director,1,Married,12443,1,No,16,4,5,6,1,34,9
31,Yes,Non-Travel,1138,Research & Development,6,3,Female,62,1,Human Resources,1,Divorced,7289,1,No,13,4,19,5,3,13,4
20,No,Travel_Frequently,938,Research & Development,7,1,Female,45,3,Sales Representative,4,Single,11846,6,No,15,3,11,1,4,23,16
40,Yes,Travel_Rarely,509,Research & Development,20,4,Male,37,1,Laboratory Technician,1,Married,15045,4,No,24,4,1,5,2,16,7
49,No,Travel_Rarely,1384,Research & Development,1,3,Female,45,5,Human Resources,2,Divorced,18005,6,No,14,3,34,6,4,0,0
20,No,Travel_Rarely,921,Research & Development,27,4,Female,67,2,Healthcare Representative,2,Single,2934,0,No,23,4,19,4,1,25,4
23,No,Travel_Rarely,966,Research & Development,27,4,Male,97,5,Manager,4,Married,7375,7,No,17,4,3,4,3,12,5
54,No,Travel_Rarely,796,Sales,27,1,Male,76,5,Sales Representative,4,Married,3442,0,No,23,3,14,5,1,5,16
29,No,Travel_Frequently,693,Research & Development,22,1,Female,93,2,Manager,4,Single,4260,1,No,19,3,4,3,1,8,0
18,No,Travel_Rarely,1489,Sales,28,3,Female,68,2,Manager,1,Married,5292,7,No,21,3,38,1,3,27,5
22,No,Non-Travel,646,Research & Development,28,5,Male,32,5,Sales Representative,1,Single,18142,3,No,16,3,19,3,4,28,3
56,No,Travel_Frequently,1236,Research & Development,8,2,Male,40,4,Human Resources,2,Divorced,8600,2,No,11,4,35,3,3,11,3
56,No,Travel_Frequently,219,Sales,5,3,Male,83,3,Research Scientist,3,Married,18465,8,No,15,3,13,5,2,13,17
24,Yes,Travel_Rarely,1423,Research & Development,24,4,Male,73,5,Manager,3,Single,10706,6,No,19,4,38,5,2,32,13
29,No,Travel_Rarely,1159,Research & Development,13,5,Female,88,2,Manager,3,Single,1371,2,Yes,14,3,37,0,2,18,17
25,No,Travel_Frequently,1253,Sales,2,4,Male,58,4,Human Resources,4,Divorced,8564,7,No,16,4,26,0,2,14,14
38,No,Travel_Rarely,548,Research & Development,13,5,Male,95,2,Manager,1,Married,14807,1,No,11,4,16,1,1,34,15
52,No,Non-Travel,1020,Sales,1,5,Male,55,1,Research Scientist,4,Single,12930,4,Yes,15,4,38,1,4,1,10
49,No,Travel_Rarely,1157,Human Resources,17,1,Female,88,2,Sales Representative,3,Single,8002,1,Yes,12,3,22,1,3,27,9
34,No,Travel_Rarely,201,Research & Development,19,3,Female,40,1,Research Director,1,Married,3367,6,No,14,4,7,3,4,23,6
47,No,Non-Travel,1009,Research & Development,2,4,Female,61,5,Research Director,2,Single,15397,2,No,16,4,2,5,3,15,1
28,No,Travel_Frequently,1300,Human Resources,4,3,Male,99,2,Research Scientist,2,Divorced,10911,2,No,13,4,21,2,2,29,15
56,No,Travel_Rarely,1286,Research & Development,26,1,Male,85,5,Research Scientist,2,Single,16028,2,No,12,4,9,3,1,11,6
43,No,Travel_Rarely,1165,Research & Development,11,4,Male,57,4,Sales Executive,3,Single,6181,8,No,12,4,29,6,3,24,12
56,No,Travel_Rarely,1350,Sales,2,1,Female,92,2,Manufacturing Director,2,Married,3987,8,No,20,3,21,5,3,10,17
28,No,Travel_Rarely,496,Sales,1,2,Female,61,5,Research Scientist,4,Single,7933,2,Yes,12,4,19,5,4,31,6
57,Yes,Travel_Rarely,1064,Research & Development,12,5,Male,96,1,Sales Representative,1,Married,5553,1,Yes,11,4,11,5,1,16,2
30,No,Travel_Rarely,478,Research & Development,3,5,Male,36,1,Manager,1,Divorced,10672,5,No,20,3,8,0,2,32,7
46,Yes,Travel_Rarely,1307,Sales,4,1,Female,87,5,Laboratory Technician,4,Married,10528,6,No,17,4,8,5,1,23,17
19,No,Travel_Rarely,834,Research & Development,6,2,Female,77,2,Laboratory Technician,3,Divorced,3528,8,Yes,24,3,26,3,1,1,0
27,No,Travel_Frequently,1258,Research & Development,20,2,Female,42,1,Healthcare Representative,2,Divorced,9890,8,No,16,3,31,4,4,24,4
40,No,Travel_Rarely,497,Sales,16,3,Male,49,1,Research Scientist,1,Single,8381,7,Yes,16,4,38,5,2,0,1
39,Yes,Travel_Rarely,530,Research & Development,22,5,Female,87,5,Manufacturing Director,2,Single,10873,0,Yes,11,3,27,0,1,29,13
23,Yes,Travel_Rarely,1457,Sales,10,5,Male,81,3,Manager,1,Married,15455,0,Yes,12,3,20,4,1,8,2
18,No,Travel_Frequently,1365,Sales,3,1,Female,43,3,Healthcare Representative,4,Divorced,9661,1,No,22,3,27,6,2,39,4
53,No,Travel_Rarely,372,Research & Development,16,4,Male,34,2,Healthcare Representative,2,Divorced,6280,3,Yes,14,3,9,3,1,8,4
28,No,Non-Travel,642,Research & Development,28,1,Male,52,1,Research Director,4,Married,18166,7,No,12,4,35,4,4,18,0
49,No,Travel_Frequently,316,Sales,19,3,Male,50,5,Manufacturing Director,4,Single,15528,8,No,21,4,1,0,4,22,16
25,No,Travel_Frequently,990,Research & Development,7,3,Male,73,2,Research Scientist,2,Married,19258,7,No,24,4,36,5,4,5,6
29,Yes,Travel_Rarely,162,Research & Development,1,3,Female,82,2,Healthcare Representative,3,Married,5393,8,No,15,4,4,6,4,9,14
18,No,Travel_Frequently,138,Research & Development,3,5,Female,49,5,Research Scientist,2,Divorced,12685,3,Yes,16,4,37,2,1,38,9
40,No,Travel_Frequently,873,Research & Development,24,4,Female,57,1,Research Director,2,Married,15330,6,No,20,4,31,2,3,14,0
39,No,Non-Travel,1352,Research & Development,9,5,Female,43,3,Research Scientist,4,Single,17968,1,No,12,4,16,3,4,30,3
42,No,Travel_Rarely,1136,Research & Development,2,3,Male,32,3,Sales Representative,3,Married,4700,1,Yes,13,3,19,1,4,18,0
49,No,Travel_Rarely,1073,Research & Development,10,3,Female,93,4,Healthcare Representative,1,Married,5801,8,Yes,23,4,11,0,2,8,4
45,No,Travel_Frequently,921,Sales,25,3,Female,85,5,Healthcare Representative,2,Married,19072,4,No,21,3,8,0,4,24,10
26,No,Non-Travel,354,Research & Development,12,2,Female,85,1,Research Director,4,Married,11763,7,No,13,3,12,1,1,5,2
35,No,Travel_Rarely,392,Research & Development,28,4,Male,97,2,Research Director,1,Divorced,3929,9,No,20,4,34,5,3,39,6
21,No,Travel_Frequently,964,Research & Development,15,2,Male,32,2,Research Scientist,3,Married,4676,5,No,24,4,10,4,2,27,0
45,No,Non-Travel,1392,Research & Development,26,1,Female,56,5,Research Director,4,Single,19996,1,Yes,14,3,17,4,4,27,14
34,No,Travel_Rarely,168,Research & Development,6,3,Female,81,3,Laboratory Technician,3,Single,18079,6,No,14,3,27,0,4,1,6
25,No,Travel_Rarely,631,Research & Development,16,4,Male,73,3,Manufacturing Director,1,Married,5357,8,No,24,3,31,1,4,10,17
54,No,Non-Travel,365,Research & Development,14,3,Male,84,2,Research Director,4,Married,11501,2,No,24,4,12,6,1,15,5
37,No,Travel_Frequently,298,Sales,22,1,Male,56,3,Research Scientist,4,Married,14495,4,Yes,18,4,32,3,2,14,8
20,No,Travel_Frequently,595,Research & Development,4,1,Female,36,4,Manufacturing Director,3,Married,9482,6,No,17,3,7,0,2,4,8
21,No,Travel_Rarely,368,Research & Development,5,4,Male,68,3,Research Scientist,4,Married,6803,7,No,14,4,28,6,4,1,3
30,Yes,Travel_Frequently,444,Research & Development,7,5,Female,81,4,Manager,1,Divorced,14312,1,No,11,3,4,3,3,23,13
57,No,Non-Travel,714,Research & Development,27,2,Male,81,5,Manager,3,Single,2569,0,No,18,3,38,3,4,16,16
22,No,Travel_Rarely,1140,Human Resources,26,5,Male,42,5,Manager,4,Married,4952,6,No,13,3,3,4,4,9,15
34,No,Travel_Frequently,862,Research & Development,1,3,Male,74,3,Human Resources,3,Divorced,1481,0,No,16,3,35,2,2,23,7
34,No,Travel_Frequently,861,Research & Development,12,1,Male,74,5,Sales Representative,3,Single,17924,4,No,24,3,30,4,1,39,13
43,No,Travel_Rarely,942,Research & Development,16,2,Male,52,2,Sales Executive,4,Single,3805,3,No,23,3,5,2,3,37,7
43,No,Travel_Rarely,416,Research & Development,25,5,Female,48,1,Research Scientist,3,Married,17516,4,Yes,17,4,30,2,4,35,2
38,No,Travel_Rarely,204,Research & Development,13,2,Male,43,4,Healthcare Representative,1,Single,8758,8,Yes,15,3,13,1,1,10,12
51,No,Non-Travel,141,Research & Development,22,5,Male,37,4,Healthcare Representative,1,Married,3000,9,No,24,4,39,1,3,6,7
19,No,Travel_Rarely,1313,Sales,23,4,Female,68,1,Research Scientist,3,Divorced,12027,6,No,23,4,38,6,2,9,6
34,No,Travel_Rarely,1325,Sales,15,5,Male,51,2,Healthcare Representative,3,Single,7046,3,No,19,4,37,1,4,12,1
20,Yes,Travel_Rarely,571,Research & Development,21,3,Male,76,2,Healthcare Representative,2,Divorced,10096,6,No,21,3,26,1,3,0,4
30,No,Travel_Rarely,1197,Research & Development,2,1,Female,71,3,Healthcare Representative,1,Single,19587,1,No,17,4,35,3,3,12,7
29,No,Travel_Rarely,464,Research & Development,10,3,Male,70,2,Research Director,3,Married,12981,9,No,20,3,17,0,1,22,13
55,No,Travel_Frequently,528,Research & Development,24,5,Male,97,4,Manufacturing Director,2,Single,1345,8,No,18,3,2,2,4,9,7
46,No,Travel_Rarely,1062,Sales,5,5,Male,38,3,Research Director,3,Married,2828,3,Yes,13,4,34,0,3,39,3
28,Yes,Travel_Frequently,1397,Research & Development,15,3,Male,32,5,Sales Representative,3,Divorced,15651,0,No,11,4,1,1,1,33,7
44,No,Travel_Rarely,959,Research & Development,23,1,Male,54,5,Human Resources,1,Single,13854,8,No,12,3,25,1,2,14,0
52,No,Travel_Rarely,1442,Sales,15,2,Female,31,2,Manager,4,Divorced,10288,0,No,22,3,21,6,2,16,8
25,No,Travel_Frequently,1488,Sales,28,2,Male,82,3,Healthcare Representative,1,Married,15919,1,Yes,23,4,14,2,1,19,8
41,Yes,Non-Travel,143,Research & Development,24,5,Female,55,4,Sales Executive,2,Divorced,5266,0,No,18,4,29,0,2,13,12
38,No,Travel_Rarely,675,Sales,3,3,Female,40,3,Manager,3,Married,5389,1,No,18,4,10,6,3,2,0
56,No,Travel_Rarely,760,Research & Development,15,3,Male,35,5,Healthcare Representative,4,Married,8736,9,Yes,23,3,37,6,4,15,11
33,Yes,Travel_Rarely,357,Research & Development,21,5,Male,91,1,Human Resources,4,Divorced,16047,4,No,24,4,34,0,4,22,14
46,Yes,Travel_Frequently,400,Sales,21,1,Male,56,5,Manager,3,Married,19666,1,Yes,21,4,36,0,3,10,14
41,No,Travel_Rarely,1460,Research & Development,15,2,Male,62,5,Sales Representative,3,Divorced,5756,9,No,18,3,33,1,1,8,17
31,No,Travel_Rarely,352,Sales,12,4,Female,41,2,Human Resources,3,Single,12746,4,No,17,3,33,1,2,20,12
32,Yes,Travel_Rarely,775,Research & Development,9,2,Male,85,2,Human Resources,2,Single,9441,7,No,19,3,36,3,2,0,17
54,No,Travel_Rarely,774,Research & Development,10,3,Male,81,1,Research Scientist,3,Married,17736,5,No,21,4,36,5,4,29,6
55,No,Travel_Rarely,1026,Sales,1,5,Male,53,1,Laboratory Technician,4,Single,16311,1,No,24,4,31,6,1,27,2
28,No,Travel_Rarely,867,Research & Development,25,4,Female,89,2,Research Director,3,Married,4288,7,Yes,20,3,31,6,4,38,0
37,No,Travel_Frequently,161,Research & Development,21,3,Male,55,5,Research Scientist,4,Divorced,14059,9,No,21,4,7,6,1,5,16
23,No,Travel_Rarely,731,Research & Development,9,1,Male,93,4,Research Director,3,Married,1335,9,No,11,4,6,0,3,31,2
35,No,Travel_Rarely,571,Research & Development,4,5,Male,97,5,Research Scientist,3,Divorced,10574,7,No,16,3,15,6,2,4,2
54,No,Travel_Rarely,281,Sales,15,1,Female,62,2,Manufacturing Director,4,Married,6079,6,No,14,4,14,4,4,30,13
47,Yes,Travel_Rarely,1481,Research & Development,24,1,Male,69,2,Research Director,2,Single,8028,7,Yes,22,4,13,0,2,9,6
38,No,Travel_Rarely,856,Research & Development,28,2,Male,88,5,Research Scientist,3,Single,7277,9,No,14,4,11,6,2,32,9
50,Yes,Travel_Rarely,1449,Research & Development,8,2,Female,37,3,Sales Executive,2,Divorced,11712,5,Yes,15,3,10,4,3,5,1
41,No,Travel_Rarely,1381,Human Resources,13,4,Female,63,1,Sales Representative,3,Married,17125,9,No,20,4,22,5,1,32,7
36,No,Travel_Rarely,1476,Research & Development,17,3,Male,97,4,Research Director,2,Divorced,10879,3,No,18,3,31,4,2,24,14
18,No,Travel_Frequently,433,Human Resources,17,5,Female,44,1,Sales Representative,4,Married,17453,3,No,16,3,32,5,4,1,10
22,No,Non-Travel,1253,Sales,8,1,Male,56,1,Healthcare Representative,4,Single,19456,1,Yes,14,4,4,0,4,10,4
40,No,Travel_Rarely,158,Sales,23,5,Female,89,5,Sales Representative,4,Married,5242,4,No,23,4,21,3,3,19,2
21,Yes,Travel_Rarely,801,Research & Development,20,3,Female,79,5,Sales Representative,2,Married,16697,6,No,24,3,19,4,1,26,11
18,No,Travel_Frequently,1315,Research & Development,24,3,Male,64,4,Manufacturing Director,4,Married,5132,4,No,11,3,31,6,1,29,12
31,No,Non-Travel,901,Sales,4,1,Male,38,2,Sales Representative,3,Married,3220,1,No,24,3,34,4,4,21,13
41,Yes,Non-Travel,383,Sales,19,4,Male,42,1,Research Scientist,2,Married,4972,4,No,22,3,13,1,4,27,2
48,No,Travel_Rarely,206,Human Resources,10,3,Male,89,3,Manufacturing Director,4,Divorced,8840,5,Yes,23,4,31,4,2,14,6
