fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,type,quality
7.5,0.13,1.43,25.1,0.374,287.0,197.0,1.0014,2.73,1.58,10.5,white,5
13.5,0.55,1.28,0.7,0.162,205.0,162.0,1.0303,3.34,1.85,9.2,white,6
5.7,1.23,0.02,61.0,0.491,39.0,105.0,1.0373,3.5,1.84,10.6,white,3
8.5,0.8,0.22,2.8,0.07,120.0,67.0,0.9903,2.98,0.4,9.6,white,9
8.5,0.09,0.18,52.6,0.484,73.0,384.0,1.0074,2.93,0.42,9.4,red,5
9.6,0.61,0.05,9.7,0.13,69.0,236.0,1.0016,2.9,1.1,11.3,red,8
8.8,0.95,1.19,1.9,0.284,269.0,267.0,1.0337,3.09,1.27,13.6,white,6
8.5,1.4,0.44,23.7,0.499,277.0,120.0,1.0321,3.78,1.28,14.1,white,9
7.8,1.32,1.2,56.9,0.05,5.0,412.0,1.0339,2.76,1.09,9.8,white,5
4.0,1.5,1.11,3.0,0.568,41.0,412.0,0.9893,3.5,1.97,11.1,white,3
11.3,0.78,0.87,17.7,0.14,81.0,297.0,0.9897,2.81,1.13,13.8,white,6
9.5,1.28,0.1,18.8,0.31,245.0,145.0,1.0157,3.49,1.88,14.8,white,3
8.3,0.23,0.51,6.8,0.451,177.0,107.0,0.9958,3.05,1.98,13.9,white,8
6.4,0.86,0.05,6.6,0.083,164.0,264.0,0.9929,2.92,1.01,11.4,white,9
14.6,1.45,1.51,59.8,0.375,173.0,367.0,1.0006,3.32,0.46,14.0,white,4
6.7,1.34,0.51,45.9,0.319,275.0,426.0,1.0239,3.02,0.8,12.9,white,3
14.9,1.06,0.16,20.9,0.362,80.0,36.0,1.022,3.21,0.86,8.8,red,8
6.4,0.3,0.0,16.1,0.408,37.0,151.0,1.0279,3.54,1.8,8.6,red,7
15.6,0.35,1.02,3.4,0.262,176.0,176.0,0.9904,3.93,1.93,14.5,white,8
8.9,1.1,1.03,24.0,0.189,280.0,166.0,1.0269,3.52,0.52,14.4,white,6
10.2,0.57,1.65,20.2,0.12,205.0,296.0,1.0126,3.37,0.26,11.2,red,7
7.4,0.57,0.48,60.4,0.574,258.0,243.0,1.0033,3.44,1.7,12.6,white,4
15.2,1.35,0.08,15.0,0.251,259.0,393.0,1.0188,3.33,1.21,10.1,white,5
7.2,0.11,1.29,27.0,0.179,64.0,103.0,1.0286,3.45,1.56,12.8,white,7
12.6,0.67,0.51,45.1,0.041,198.0,179.0,0.9925,3.46,0.81,11.1,white,9
4.0,0.44,0.55,21.5,0.461,249.0,241.0,1.029,3.35,0.5,10.4,white,5
10.6,0.12,1.51,51.6,0.327,30.0,360.0,1.0167,3.74,0.69,11.0,white,5
12.8,0.4,0.96,48.0,0.124,189.0,363.0,1.0193,3.22,0.31,11.1,white,7
9.5,0.36,0.66,2.9,0.547,79.0,379.0,1.0327,2.86,0.91,14.5,white,3
11.6,0.84,1.58,56.4,0.571,238.0,231.0,1.0239,3.55,0.4,14.1,white,7
13.1,0.73,0.44,24.3,0.539,65.0,111.0,1.0174,3.75,1.05,9.3,white,3
9.9,0.79,0.04,6.8,0.347,109.0,321.0,1.0045,3.73,1.64,9.9,white,7
6.4,1.4,0.38,46.1,0.234,196.0,420.0,1.0136,3.05,0.3,10.1,red,9
8.6,0.82,0.07,49.3,0.106,161.0,130.0,1.0305,3.55,1.82,8.1,white,9
12.6,1.04,0.68,5.2,0.236,36.0,92.0,1.0388,4.01,0.44,11.7,white,4
7.1,1.05,1.38,23.7,0.378,66.0,16.0,1.0263,2.85,1.39,11.3,white,7
11.4,0.86,1.62,59.0,0.145,256.0,295.0,1.0281,3.39,0.65,8.9,white,6
5.6,0.54,1.16,44.2,0.288,286.0,243.0,1.0234,3.11,1.72,14.8,white,6
15.1,1.43,1.54,35.4,0.354,201.0,64.0,1.0269,3.74,0.24,13.3,white,7
11.1,0.74,0.68,33.5,0.449,4.0,93.0,0.9997,3.14,0.97,9.3,red,9
9.5,0.94,0.5,40.3,0.064,215.0,293.0,1.0091,3.67,1.93,12.9,white,7
13.6,0.92,0.26,43.2,0.531,186.0,195.0,1.016,2.93,0.42,10.4,white,6
13.4,1.32,0.83,5.1,0.284,120.0,107.0,1.0156,2.81,1.57,12.4,red,7
5.0,0.88,0.54,22.4,0.359,67.0,269.0,1.0181,2.85,1.51,11.2,red,6
7.5,0.77,0.18,34.9,0.575,49.0,29.0,1.0376,3.06,0.79,9.0,white,5
9.3,0.77,1.55,48.2,0.11,25.0,13.0,1.0315,3.82,0.33,11.2,white,8
7.9,1.25,0.21,49.0,0.541,185.0,119.0,1.0301,2.91,1.7,14.6,white,7
7.6,0.57,1.23,40.1,0.493,98.0,132.0,1.0302,2.76,1.83,13.2,white,6
8.1,1.48,0.11,38.8,0.607,150.0,51.0,1.0283,3.82,0.45,12.3,white,3
5.5,1.35,0.88,24.6,0.246,152.0,56.0,1.0224,3.2,1.73,13.8,red,4
5.2,0.29,1.12,55.0,0.085,176.0,79.0,1.0004,3.48,1.7,13.7,white,4
6.9,0.56,0.39,60.3,0.018,172.0,320.0,1.0315,2.83,1.25,14.1,red,7
4.6,1.44,0.13,55.8,0.486,150.0,356.0,1.0016,3.89,1.61,8.8,white,3
10.0,0.5,0.98,57.4,0.091,46.0,85.0,1.0247,3.37,0.29,8.9,white,5
5.7,0.56,1.0,59.9,0.193,9.0,291.0,0.9929,2.84,1.1,13.5,red,6
4.6,0.41,0.52,13.8,0.603,167.0,107.0,1.0155,3.54,1.94,14.9,white,8
13.9,0.16,0.62,34.1,0.275,123.0,388.0,1.0036,3.19,1.6,11.9,white,4
10.9,0.8,0.08,35.5,0.148,119.0,123.0,1.0237,3.18,0.7,14.7,red,7
14.7,1.21,0.49,32.2,0.462,125.0,62.0,1.0315,3.25,1.33,12.6,white,6
15.7,1.07,1.47,55.9,0.172,34.0,197.0,0.9879,3.38,0.6,8.6,white,8
11.0,0.12,0.28,21.8,0.329,53.0,73.0,0.993,3.52,0.62,14.4,white,4
13.4,0.87,0.78,11.1,0.104,192.0,92.0,1.0351,2.91,0.56,13.8,white,7
5.7,0.58,1.12,18.5,0.286,149.0,153.0,0.9995,3.69,0.56,11.7,red,5
12.3,1.04,1.33,9.9,0.074,177.0,293.0,1.025,2.76,1.11,13.1,white,4
10.4,0.69,0.13,27.0,0.474,38.0,57.0,1.0293,3.62,0.77,10.4,white,3
12.0,1.55,0.98,8.2,0.229,235.0,129.0,1.0255,2.96,1.6,12.2,white,5
5.1,1.32,1.04,6.3,0.201,108.0,379.0,0.9888,3.3,1.81,10.9,white,6
15.1,1.13,0.33,30.0,0.607,178.0,125.0,1.0253,3.44,1.09,11.6,white,3
8.9,0.85,0.05,39.8,0.508,135.0,79.0,1.037,3.56,0.56,12.4,white,8
13.2,0.97,1.4,40.2,0.342,136.0,238.0,1.0062,3.74,2.0,8.4,red,7
15.8,0.74,0.73,6.6,0.577,225.0,20.0,1.024,3.39,0.3,8.7,white,5
14.4,1.27,0.1,63.9,0.136,33.0,355.0,1.0014,3.86,1.2,8.6,white,3
7.6,1.44,0.96,8.5,0.354,23.0,103.0,1.0389,3.95,0.61,12.1,white,7
8.7,1.58,0.63,43.7,0.568,30.0,64.0,0.9979,3.98,1.89,10.8,red,3
11.6,0.98,0.13,58.5,0.352,288.0,357.0,1.003,3.13,0.8,11.5,white,5
10.3,1.1,0.48,58.3,0.194,268.0,372.0,0.9958,2.76,1.93,11.5,white,4
8.8,0.68,0.54,34.0,0.498,203.0,325.0,1.0367,3.64,1.95,8.3,red,4
11.7,0.09,0.95,18.7,0.093,130.0,108.0,1.0168,3.04,1.9,13.5,white,8
14.8,1.13,0.67,54.6,0.101,26.0,235.0,0.9999,3.71,1.63,12.8,white,5
7.5,1.48,0.18,40.5,0.449,237.0,427.0,0.9941,2.73,1.54,12.7,white,4
5.4,1.37,1.05,52.2,0.051,56.0,213.0,1.0325,3.72,1.92,8.2,white,5
12.0,1.4,1.21,26.7,0.039,80.0,418.0,0.9904,2.81,0.62,12.5,red,4
10.9,0.68,0.84,60.2,0.237,243.0,300.0,1.0205,3.85,1.66,11.5,white,8
14.8,1.15,0.11,61.2,0.249,75.0,373.0,1.0188,3.56,0.42,13.2,white,6
12.8,1.04,0.17,48.7,0.292,244.0,90.0,1.0272,2.93,0.86,8.7,white,4
8.6,0.89,1.57,62.1,0.455,227.0,408.0,1.0225,3.38,0.94,13.2,white,5
11.5,0.31,0.31,30.2,0.351,242.0,376.0,1.0305,3.37,1.99,14.6,white,9
14.2,0.94,0.51,13.3,0.439,195.0,347.0,0.9891,3.85,0.79,13.9,white,7
8.0,0.53,1.14,43.4,0.039,102.0,414.0,1.0094,3.41,1.21,14.2,red,7
4.0,1.14,1.31,43.2,0.199,189.0,348.0,0.9913,3.43,1.35,8.5,white,8
11.4,1.5,1.51,32.6,0.591,240.0,256.0,1.0081,3.13,1.43,11.7,white,5
4.1,1.17,0.66,17.6,0.267,217.0,288.0,1.0162,3.66,0.43,9.7,white,5
15.1,0.47,1.65,41.3,0.143,249.0,362.0,1.0179,2.78,1.22,11.8,white,9
5.8,0.78,0.17,12.4,0.606,284.0,331.0,1.0351,3.97,1.35,12.9,white,6
8.3,0.93,1.37,49.7,0.257,200.0,263.0,1.0349,3.5,1.83,13.2,white,4
15.3,1.17,0.45,59.7,0.297,268.0,266.0,1.0032,3.81,1.92,14.8,red,9
4.8,0.3,1.56,11.5,0.144,79.0,388.0,1.0234,3.73,0.64,14.6,white,8
3.9,0.87,1.44,54.1,0.404,281.0,10.0,1.0241,3.0,0.59,9.7,red,5
5.1,1.37,1.27,13.5,0.134,263.0,318.0,1.0368,3.09,1.44,14.3,white,4
15.7,0.12,1.0,33.2,0.376,13.0,251.0,0.9915,3.08,1.09,14.1,white,7
15.6,1.17,0.36,61.2,0.465,171.0,370.0,1.0191,3.01,1.54,13.0,red,6
8.5,1.4,0.77,6.0,0.402,146.0,95.0,1.0082,2.74,1.73,9.8,red,4
12.8,1.27,0.06,6.5,0.063,236.0,234.0,1.0051,3.79,0.24,9.3,white,3
12.7,1.48,1.18,63.1,0.057,37.0,61.0,1.0191,3.41,1.78,11.0,white,8
5.0,1.25,0.19,11.0,0.516,153.0,292.0,1.0016,3.48,0.69,8.3,white,8
6.6,0.86,0.43,22.9,0.554,145.0,337.0,0.989,3.35,1.95,10.0,white,9
14.6,0.8,0.41,30.5,0.091,115.0,277.0,1.0275,2.88,0.99,8.5,white,5
5.8,0.13,1.31,1.0,0.235,287.0,247.0,0.9916,3.28,1.74,11.6,white,7
10.1,0.11,0.67,12.9,0.403,156.0,155.0,1.0041,3.1,0.58,12.3,red,7
6.8,1.04,0.89,54.6,0.512,120.0,284.0,1.018,3.87,1.15,8.8,white,4
10.5,0.49,0.35,34.4,0.556,248.0,396.0,1.0195,3.62,0.33,14.0,white,9
6.2,0.54,0.55,26.3,0.43,41.0,319.0,1.0217,2.93,1.53,8.7,red,5
6.4,1.29,0.85,45.1,0.098,84.0,16.0,1.0387,3.63,1.9,10.7,white,3
4.4,0.25,0.32,21.8,0.472,81.0,227.0,1.0079,3.43,1.72,11.5,red,4
15.8,0.51,1.15,29.2,0.526,270.0,326.0,0.9942,2.83,1.43,12.0,red,9
5.2,1.11,0.75,65.4,0.22,255.0,225.0,0.9943,2.81,0.43,10.2,red,3
8.8,0.13,1.63,51.1,0.306,176.0,263.0,1.0136,2.91,1.97,12.9,white,6
8.9,0.86,0.41,36.7,0.109,93.0,402.0,1.007,3.77,0.83,10.4,white,6
7.5,0.21,0.66,34.9,0.192,136.0,385.0,1.0345,3.79,1.35,9.7,red,8
13.4,1.22,1.53,55.6,0.533,165.0,41.0,1.0136,3.5,0.71,11.1,white,8
7.9,1.03,1.47,39.8,0.062,157.0,228.0,1.0106,2.74,1.69,8.8,red,6
11.4,0.99,0.8,22.7,0.468,75.0,276.0,1.0319,3.13,0.89,14.7,red,7
10.4,0.41,0.21,27.8,0.068,39.0,376.0,1.0284,3.24,0.92,11.8,white,8
14.3,1.17,0.68,12.6,0.185,262.0,121.0,1.0242,3.09,0.23,9.0,white,8
13.7,0.53,0.97,63.2,0.36,186.0,67.0,1.0145,3.47,1.24,13.5,white,9
6.4,0.94,0.42,43.1,0.011,43.0,265.0,0.9993,2.8,0.67,13.0,white,7
12.9,0.22,0.32,26.6,0.416,286.0,209.0,1.0166,2.75,1.86,11.0,red,5
13.4,0.22,0.88,24.1,0.199,119.0,118.0,0.9931,3.48,1.61,14.8,white,6
14.9,0.37,0.29,59.7,0.46,212.0,415.0,1.015,3.06,1.91,11.5,red,8
15.5,0.4,1.45,24.1,0.596,52.0,144.0,1.0313,3.61,0.91,9.5,white,5
12.7,0.27,0.12,49.9,0.26,270.0,30.0,1.0138,3.72,1.4,13.5,white,9
9.2,0.26,1.64,55.1,0.027,24.0,32.0,0.9907,3.51,1.02,14.4,white,6
7.3,1.4,0.89,59.9,0.52,276.0,93.0,0.9887,4.0,1.84,9.8,white,8
14.3,0.91,1.63,24.9,0.174,210.0,57.0,1.0318,3.55,0.8,8.0,white,6
14.9,1.01,1.25,50.5,0.098,66.0,177.0,0.9987,3.72,0.8,12.2,red,9
5.0,0.51,0.25,21.9,0.538,53.0,41.0,1.0144,3.55,0.87,13.1,red,7
10.5,0.16,0.38,62.2,0.149,242.0,250.0,1.0274,3.76,1.11,9.8,white,8
5.4,1.53,0.18,1.3,0.373,12.0,183.0,1.0002,3.22,1.8,14.6,red,8
6.8,0.16,1.21,37.8,0.162,34.0,265.0,1.0254,3.28,0.59,9.2,white,5
8.4,1.31,0.28,33.8,0.438,195.0,435.0,0.991,3.15,1.38,13.5,white,5
7.6,1.08,1.19,57.8,0.4,23.0,436.0,1.026,3.46,0.76,14.0,white,8
12.5,0.69,1.43,14.7,0.316,157.0,187.0,0.9904,3.2,0.37,9.2,white,6
4.8,1.2,0.68,6.3,0.343,166.0,165.0,1.0015,3.99,1.92,11.5,white,7
11.2,1.23,1.1,55.8,0.146,6.0,302.0,1.0004,3.5,1.62,8.2,red,6
10.8,1.4,1.49,23.4,0.022,110.0,166.0,1.0334,3.15,1.91,12.4,white,3
13.3,0.9,1.25,21.8,0.491,9.0,344.0,1.0148,3.38,0.93,11.8,red,6
5.0,0.4,0.22,7.5,0.544,279.0,267.0,1.0309,3.73,1.57,13.4,red,4
7.8,0.94,0.49,60.6,0.477,63.0,93.0,1.0173,3.76,1.38,11.5,white,3
12.2,0.23,0.89,41.9,0.435,200.0,186.0,1.029,3.54,1.32,10.4,white,4
12.4,0.64,0.44,45.7,0.293,195.0,381.0,1.0157,2.72,0.29,8.9,red,5
9.2,1.0,0.84,59.1,0.361,223.0,246.0,1.0105,3.84,0.35,8.4,white,8
9.4,0.46,1.58,55.6,0.425,98.0,314.0,1.0212,3.89,0.57,11.6,red,4
15.5,1.38,0.75,30.1,0.025,54.0,314.0,1.002,3.84,1.55,14.3,white,8
7.7,1.54,0.43,11.0,0.264,154.0,215.0,1.0348,3.59,1.64,13.3,white,4
5.6,0.19,0.24,44.4,0.144,201.0,134.0,1.0342,2.75,1.37,10.7,white,8
15.3,0.39,1.5,43.0,0.228,219.0,265.0,0.9909,3.95,0.56,14.8,white,6
13.6,0.79,0.38,3.7,0.46,15.0,55.0,1.0347,2.81,1.6,9.3,white,3
6.7,0.14,0.32,59.2,0.228,218.0,265.0,0.9965,2.91,0.42,14.9,white,3
14.2,0.22,0.91,22.5,0.454,33.0,51.0,1.0225,3.53,1.81,9.6,white,3
6.9,1.43,0.77,28.6,0.594,152.0,397.0,1.0298,3.32,0.9,9.2,red,5
13.8,0.15,0.64,34.1,0.565,161.0,329.0,0.9996,3.69,1.51,13.9,white,5
11.4,0.45,0.96,60.1,0.507,38.0,85.0,0.9929,3.54,0.52,11.2,red,3
9.6,0.72,0.95,11.7,0.523,279.0,347.0,1.0263,2.73,0.78,14.2,white,7
15.0,0.11,0.11,24.6,0.246,185.0,321.0,1.0101,3.55,1.1,13.2,white,8
13.6,1.3,0.69,33.3,0.449,65.0,322.0,1.0124,3.83,1.1,9.1,white,8
5.4,1.33,1.2,65.3,0.411,16.0,152.0,1.0266,3.82,0.39,8.8,white,4
12.3,0.67,0.63,29.3,0.601,224.0,233.0,1.0003,2.92,1.2,11.1,white,9
13.4,0.38,1.66,26.6,0.355,243.0,260.0,0.9921,3.17,0.35,11.9,white,5
10.3,1.42,0.39,61.6,0.268,27.0,170.0,1.0368,2.87,1.86,10.9,red,4
7.1,1.1,0.82,43.7,0.513,75.0,249.0,1.0234,3.69,0.97,9.5,white,3
6.6,0.87,1.12,11.3,0.46,186.0,112.0,1.0209,3.53,1.0,9.5,white,8
15.6,0.67,0.91,12.1,0.084,122.0,386.0,1.0044,3.34,1.25,11.5,white,4
9.1,0.89,0.06,42.6,0.368,100.0,423.0,1.0388,3.11,1.61,8.1,red,7
10.1,0.45,0.85,31.1,0.366,123.0,148.0,0.9987,3.74,0.34,11.0,white,6
11.0,0.75,1.6,1.2,0.389,147.0,155.0,0.9963,3.74,1.47,8.2,white,9
5.0,1.11,0.68,29.8,0.576,54.0,100.0,1.0036,3.35,1.84,14.0,white,8
4.8,0.7,0.19,61.9,0.371,113.0,381.0,1.0255,2.88,1.0,12.3,white,8
6.2,1.11,0.04,49.3,0.533,21.0,77.0,0.9994,3.32,0.24,9.1,white,6
4.6,1.19,0.68,37.0,0.225,3.0,353.0,1.0033,3.88,0.66,13.3,white,6
14.7,1.21,0.31,13.3,0.044,282.0,367.0,1.0146,3.47,1.9,11.4,red,4
5.6,0.93,1.39,22.5,0.235,17.0,143.0,1.0208,3.69,0.43,11.5,white,8
6.5,0.36,1.58,65.6,0.33,14.0,343.0,0.9948,3.1,0.24,9.8,white,8
10.3,1.13,1.56,43.6,0.511,257.0,203.0,1.0211,3.16,1.89,10.7,white,5
14.6,1.31,0.62,18.6,0.389,282.0,157.0,1.0069,2.87,1.76,14.1,white,3
4.4,0.22,0.75,48.7,0.275,244.0,394.0,1.0051,3.16,1.04,9.0,red,8
6.4,1.42,0.52,6.6,0.287,41.0,203.0,0.9912,2.94,0.23,12.3,white,8
12.5,1.49,0.21,24.8,0.609,185.0,30.0,1.0376,3.42,1.26,9.5,white,8
10.1,1.08,0.93,15.5,0.094,202.0,281.0,1.0231,3.23,1.67,11.1,red,3
11.0,0.25,0.31,59.0,0.133,223.0,292.0,0.9923,3.8,0.73,11.7,white,8
4.0,1.06,0.1,48.5,0.385,34.0,281.0,1.0061,3.21,0.53,8.8,white,5
14.3,0.61,1.41,33.0,0.431,114.0,162.0,0.9913,2.99,1.83,8.5,red,4
10.8,0.54,1.33,27.2,0.247,81.0,301.0,1.0152,2.83,1.59,11.3,white,6
13.9,0.14,1.54,56.6,0.028,190.0,132.0,1.0234,3.05,1.02,10.8,white,8
15.5,1.17,0.54,13.3,0.323,100.0,208.0,0.99,3.62,1.83,14.4,white,8
12.7,0.93,1.45,5.5,0.096,148.0,100.0,1.035,3.53,1.3,12.8,white,4
4.2,0.76,0.66,56.1,0.043,181.0,272.0,1.0065,3.52,1.9,14.2,white,9
12.4,0.66,0.12,56.4,0.217,250.0,358.0,0.9993,3.83,0.4,14.4,red,8
10.6,0.7,0.76,16.4,0.091,266.0,48.0,0.9938,3.05,1.0,8.1,white,9
5.1,0.76,0.92,13.3,0.273,201.0,18.0,0.9947,3.33,1.43,14.1,white,9
7.1,0.8,0.72,47.6,0.468,46.0,336.0,1.0312,2.94,0.95,14.6,white,6
5.8,0.23,1.3,9.9,0.037,257.0,146.0,1.012,3.0,0.84,11.1,white,3
15.0,0.65,0.58,41.2,0.31,60.0,147.0,1.0285,3.2,1.46,12.4,white,3
13.4,0.18,1.53,46.3,0.308,16.0,251.0,0.9989,3.63,1.3,10.4,red,7
12.3,1.24,0.12,41.2,0.01,127.0,217.0,1.0036,3.8,0.72,8.7,red,3
13.0,0.86,1.2,28.4,0.453,198.0,59.0,1.0085,3.12,1.01,9.8,white,7
11.1,1.28,1.54,53.8,0.063,44.0,336.0,1.0107,3.23,1.48,8.6,white,3
14.1,0.72,0.92,61.2,0.57,87.0,83.0,0.9922,3.87,1.34,11.4,white,8
6.6,0.31,1.46,46.6,0.394,24.0,364.0,0.9894,3.73,1.03,12.5,white,4
6.8,0.53,1.15,27.9,0.182,179.0,338.0,1.0388,3.61,0.68,8.0,red,3
11.0,0.43,0.02,65.5,0.566,205.0,79.0,1.0217,3.25,0.42,9.6,white,5
13.6,0.74,1.11,29.9,0.25,151.0,335.0,0.9899,3.16,1.72,8.5,white,9
13.9,1.26,1.09,8.2,0.166,129.0,293.0,1.0272,3.65,1.68,14.7,white,6
15.6,0.25,0.0,12.5,0.24,245.0,432.0,1.0058,2.84,1.31,13.5,red,9
13.0,0.68,0.68,23.3,0.377,122.0,315.0,1.0284,3.42,1.24,8.2,white,4
6.6,0.22,0.06,11.8,0.445,128.0,175.0,1.0364,2.8,0.46,13.6,white,7
6.6,0.67,0.49,51.3,0.407,167.0,275.0,0.9885,3.52,1.02,13.7,white,4
9.2,0.95,1.64,1.5,0.564,204.0,293.0,1.0371,3.45,1.08,13.6,white,6
11.7,0.18,1.56,27.1,0.585,225.0,330.0,0.9957,2.8,1.04,14.1,white,5
10.0,0.18,1.14,57.9,0.128,13.0,209.0,1.0025,3.26,0.65,11.2,white,7
4.6,1.18,0.61,8.3,0.558,246.0,365.0,1.0196,2.97,0.44,9.7,white,7
