PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Cabin,Ticket
51,1,2,male,13.127205644123801,2,0,44.25,S,,PC 20024
52,0,3,female,47.59870335108423,2,3,40.31,Q,,PC 32381
53,0,2,male,19.809194504537864,2,0,8.53,S,,PC 95401
54,0,3,female,,3,3,6.23,S,,PC 76854
55,0,3,female,37.27849020393478,4,1,34.78,C,,PC 20096
56,0,3,male,14.775768588284892,1,0,17.63,S,,PC 22967
57,1,3,male,21.688661286404905,4,2,18.07,C,,PC 33136
58,0,3,female,,0,1,17.54,S,,PC 16350
59,1,3,male,43.73702184661786,1,3,38.95,C,,PC 26436
60,1,3,male,28.009981715857524,1,2,110.98,S,E128,PC 61457
61,1,2,female,,4,3,24.1,S,,PC 10671
62,1,3,male,39.61694245701692,0,1,112.23,C,,PC 35869
63,0,3,male,30.84517797815148,1,0,6.31,S,,PC 38271
64,1,1,male,10.890931969262738,2,0,29.95,S,,PC 97377
65,0,1,male,17.61836365503747,4,1,2.83,C,,PC 97675
66,0,3,female,32.29167920412331,2,1,29.11,S,,PC 86091
67,1,1,male,46.016753830967716,4,3,45.49,C,A34,PC 40770
68,0,2,male,,3,1,6.78,S,,PC 57457
69,0,2,male,39.913411890800305,3,3,9.47,S,,PC 55386
70,0,1,female,,3,0,41.0,S,,PC 87414
71,1,2,male,,0,1,11.88,S,,PC 77133
72,0,3,female,19.66548809710402,2,3,0.72,Q,,PC 91590
73,0,1,female,26.854766556385,2,0,40.7,S,,PC 59596
74,0,3,female,17.46216990124733,1,1,38.79,S,,PC 92726
75,1,3,female,11.51760345009204,0,3,9.24,S,F6,PC 76922
76,0,2,female,33.66968616290687,0,2,88.04,S,B109,PC 76493
77,0,1,female,31.59718629218641,3,3,10.56,S,,PC 69546
78,0,3,male,38.62713478312618,3,2,4.01,C,D105,PC 40209
79,1,1,female,36.64556563249426,1,3,16.43,C,,PC 64770
80,1,2,male,32.39701979853407,3,3,1.22,C,F4,PC 42092
81,1,3,male,36.79263331948576,3,3,19.5,S,,PC 68467
82,0,3,female,28.40243665281533,4,0,31.2,S,,PC 32930
83,0,3,female,34.780479533113606,4,2,105.73,S,,PC 81923
84,1,2,female,,4,0,83.17,C,,PC 61422
85,1,3,male,34.175882958947824,0,0,27.79,S,,PC 73916
86,1,3,male,,3,1,1.92,S,,PC 29960
87,0,2,male,19.624460006989157,1,2,24.96,S,,PC 81258
88,0,3,male,29.725649385899853,2,1,38.93,C,,PC 82233
89,1,1,male,,3,3,61.66,C,,PC 23103
90,1,1,male,21.628906248774392,3,1,80.9,C,E45,PC 41501
91,0,3,male,13.250989028569835,2,2,17.67,S,,PC 70989
92,1,1,female,46.72084895233178,4,3,2.52,Q,F39,PC 88618
93,1,1,male,,0,3,59.42,S,,PC 76331
94,0,3,female,,0,0,6.05,S,,PC 52452
95,1,3,male,56.6107433272134,0,2,34.29,S,,PC 36996
96,0,3,male,,4,0,9.45,S,,PC 91896
97,0,3,male,71.44467381154888,2,2,8.82,S,,PC 88711
98,1,3,male,25.814588184914914,2,1,79.15,S,E19,PC 90713
99,1,1,female,32.57270692458423,3,3,27.23,S,,PC 37423
100,0,2,male,,2,3,61.04,S,,PC 49277
101,1,2,male,34.21255784084427,2,3,13.87,C,,PC 31944
102,0,1,female,40.69860899040742,0,3,21.56,S,,PC 95907
103,1,3,female,27.405170497256826,0,1,25.74,S,,PC 88037
104,0,2,male,53.87407785964669,4,2,58.22,S,F50,PC 25593
105,1,3,male,32.34808998486845,2,0,20.18,C,,PC 32231
106,1,1,male,,0,2,25.99,S,,PC 59683
107,1,1,male,16.274032276807954,1,0,25.16,S,,PC 47394
108,1,3,male,34.85898704370538,1,2,29.65,S,,PC 51390
109,0,1,male,27.12361890866888,1,3,3.45,S,D56,PC 43112
110,1,1,female,20.484643789277982,1,2,14.1,S,A57,PC 70653
111,0,2,male,18.129358285922905,3,3,1.37,S,,PC 90824
112,1,3,male,,0,0,1.12,S,B87,PC 92549
113,1,3,male,,1,3,107.51,S,,PC 50970
114,0,3,female,,2,2,2.8,S,,PC 84509
115,1,1,male,19.224899563743982,2,2,33.52,S,,PC 72487
116,1,2,female,28.27805024733301,4,3,14.19,S,,PC 27721
117,0,3,female,36.65333845663079,4,2,7.9,S,,PC 81462
118,0,3,male,,1,1,49.75,S,,PC 41537
119,0,3,male,38.472603724871355,2,2,5.89,S,,PC 66510
120,0,3,male,19.971955707077385,0,2,62.55,S,C54,PC 74856
121,0,3,male,,3,3,14.38,S,G62,PC 94931
122,1,1,female,,0,1,1.86,S,,PC 95347
123,1,2,male,,0,2,11.91,S,,PC 82224
124,0,3,female,16.152074356996366,3,2,32.12,S,,PC 55538
125,1,2,male,12.362556035624227,0,0,13.32,S,,PC 46018
126,1,3,male,43.89893284401212,2,0,5.94,S,,PC 49710
127,0,3,male,38.64056381370443,0,0,12.52,S,,PC 95572
128,1,3,female,42.673315179693816,3,2,5.49,C,,PC 28452
129,1,3,female,29.55038292434015,3,1,62.6,S,,PC 57211
130,1,3,male,39.87530778411205,2,3,21.92,S,,PC 71159
131,1,3,male,4.341948335004371,4,2,27.13,C,,PC 12031
132,1,3,female,,2,0,93.16,S,F135,PC 67139
133,0,3,male,31.479677620070422,0,0,7.68,S,,PC 33400
134,1,2,female,,0,1,5.73,S,,PC 35257
135,1,3,male,34.32032618668058,1,3,7.73,Q,,PC 65955
136,0,3,male,15.181227836483586,1,0,84.19,Q,,PC 10800
137,1,1,male,8.027443144525346,1,0,49.56,S,,PC 24113
138,0,2,male,19.031241673438515,1,0,105.86,C,,PC 50946
139,0,3,male,36.90884193782077,2,1,3.44,S,,PC 62565
140,0,3,male,38.66127981245553,0,3,9.16,S,,PC 19820
141,1,1,female,9.84880811665392,3,2,5.68,S,,PC 42543
142,0,2,male,15.264608855444996,1,1,40.71,S,,PC 37678
143,0,1,male,18.87470039682825,3,0,7.18,S,,PC 58094
144,0,1,male,23.99772915626458,2,1,76.24,C,,PC 37053
145,1,3,male,9.93128836806287,4,2,13.16,S,,PC 10168
146,1,2,male,9.091275274038143,2,1,66.98,S,,PC 57706
147,0,2,male,17.494305850294246,1,2,13.35,S,,PC 86357
148,0,3,male,,2,3,3.79,S,,PC 62626
149,1,1,male,12.471679243451131,3,0,36.64,S,,PC 42572
150,0,2,female,27.378750860395275,2,1,12.05,Q,,PC 53413
151,1,3,male,,2,0,4.22,S,,PC 22614
152,0,3,female,10.775083676210858,2,2,10.95,S,,PC 31296
153,1,3,male,26.10975938225245,1,1,13.34,S,,PC 49411
154,0,3,male,43.34659427251081,1,1,172.91,Q,E43,PC 63309
155,0,3,female,,4,0,32.79,C,F102,PC 53755
156,1,3,male,,3,0,4.69,S,B51,PC 96658
157,0,3,female,,0,1,10.6,S,,PC 67365
158,1,3,male,24.71317089439833,4,2,23.5,S,,PC 12069
159,1,3,male,44.46293035287795,3,0,9.26,C,,PC 57210
160,1,3,female,,0,0,12.76,C,,PC 62451
161,1,3,male,24.200174859262287,3,1,6.28,C,,PC 13917
162,1,1,male,,2,2,2.86,S,,PC 44651
163,0,3,female,33.48629319384453,4,1,68.44,S,,PC 88435
164,0,2,female,43.292359494034635,2,1,11.94,S,,PC 42120
165,0,3,female,21.32316246988974,2,0,24.57,S,,PC 51085
166,1,3,male,,1,2,9.76,S,,PC 29904
167,0,3,male,28.138780485535076,1,3,79.33,S,E134,PC 16928
168,0,3,female,38.85807398295699,3,3,21.15,S,,PC 38637
169,0,2,male,14.64749127778154,4,2,3.45,C,,PC 79553
170,0,3,female,,4,2,22.72,C,F77,PC 98483
171,0,3,male,,3,1,28.2,C,,PC 69413
172,0,2,male,10.563048969138752,3,0,2.81,C,,PC 84779
173,1,1,female,45.91567955672701,2,1,51.32,S,,PC 68448
174,1,1,male,60.27730313116824,1,2,21.53,S,,PC 69284
175,1,3,male,43.025675573691714,3,2,5.19,S,,PC 48421
176,0,3,male,48.97778674117057,1,3,83.06,S,E132,PC 15508
177,1,3,female,30.195199342436233,1,3,43.19,S,,PC 46944
178,0,3,female,5.7389311236608584,4,0,30.47,S,C93,PC 87837
179,1,3,male,3.1823136836546517,2,0,1.32,C,E48,PC 58269
180,1,2,male,32.57114861414862,1,1,100.14,C,,PC 78576
181,1,3,female,20.71229669178028,4,3,15.89,Q,,PC 14553
182,0,1,male,16.195932103417082,4,3,13.33,Q,,PC 28112
183,0,3,male,28.121546424438545,1,0,1.76,C,,PC 36905
184,1,3,male,37.618194030058035,2,0,10.15,S,,PC 42340
185,0,3,male,8.661394345329938,2,2,60.06,C,,PC 98909
186,0,3,female,22.715713316074613,3,2,59.17,C,B36,PC 51572
187,0,1,female,50.13818956368441,4,3,2.96,C,,PC 69596
188,0,2,female,,2,3,16.36,S,,PC 68000
189,0,1,male,41.17665662030939,3,0,40.29,S,,PC 47703
190,0,1,male,22.213769338314087,2,0,21.6,Q,,PC 96968
191,1,3,male,,4,2,8.25,S,,PC 30012
192,1,3,male,44.36258510084014,2,2,31.33,S,A83,PC 13107
193,1,3,male,,1,3,21.4,S,,PC 77068
194,0,3,male,,2,2,23.22,S,,PC 68841
195,1,3,male,12.877690532288614,4,2,5.67,S,,PC 33425
196,0,3,male,,3,1,16.94,Q,,PC 88115
197,0,1,female,17.062296395112522,0,0,45.01,C,,PC 24613
198,0,1,male,32.633584718001536,0,3,21.54,Q,D57,PC 32586
199,0,3,male,,2,3,30.52,S,,PC 23906
200,1,3,female,35.79171582417413,4,0,14.42,S,C101,PC 26761
201,0,1,female,33.717393464842665,2,2,51.49,S,,PC 75632
202,1,3,female,17.186660300653877,2,1,3.77,S,,PC 73312
203,0,3,male,10.101856227859972,3,1,38.69,S,,PC 67852
204,1,1,female,41.21288151946476,2,3,6.32,C,,PC 87467
205,0,2,male,31.601684085264818,4,3,9.31,Q,,PC 16282
206,0,3,male,45.09127577340945,3,0,71.11,S,,PC 65837
207,1,3,male,28.37373892136985,3,1,16.89,S,C24,PC 20353
208,1,1,male,9.327698950522553,3,3,18.82,S,,PC 96008
209,0,3,male,42.525815534057486,3,3,33.64,S,,PC 67045
210,1,2,male,23.8148114647445,0,0,38.32,S,,PC 78392
211,0,3,female,33.788048403894294,2,3,32.98,S,,PC 61399
212,1,2,male,19.935568001286732,0,1,26.14,S,,PC 44529
213,1,3,male,52.02022394327167,2,2,0.25,S,,PC 71739
214,0,2,male,,0,0,5.45,C,,PC 85216
215,1,2,male,24.275983442513557,2,2,10.39,S,,PC 26023
216,0,3,male,30.50428183776243,1,2,59.6,S,G81,PC 88465
217,0,1,male,13.709447420782585,0,2,83.76,S,,PC 75392
218,0,1,male,33.62727340022633,0,3,21.43,S,,PC 17725
219,0,2,female,,2,3,15.18,S,,PC 94247
220,1,3,female,22.133529750288055,0,3,106.01,C,F134,PC 26220
221,0,3,male,34.531999466444155,4,2,23.25,C,,PC 64093
222,0,3,male,1.0,3,3,40.7,S,F94,PC 21663
223,1,2,female,28.45499119321223,3,2,27.14,S,,PC 27651
224,0,2,female,24.617407997033126,0,2,14.98,S,,PC 67868
225,1,1,male,17.54103356625461,3,2,18.61,S,,PC 71158
226,0,3,female,44.14030657479945,3,3,34.11,S,,PC 71826
227,1,3,female,24.432588457266405,1,0,77.54,C,,PC 40877
228,1,3,female,26.515315180689775,0,2,18.81,S,,PC 83818
229,1,3,male,23.719299752953006,2,1,17.2,S,,PC 14435
230,0,2,male,,3,3,1.82,S,D38,PC 86885
231,0,3,male,13.152189838922546,0,0,4.25,S,,PC 37210
232,1,3,male,42.45530880568303,0,2,0.3,Q,,PC 65857
233,0,1,male,1.0,1,0,4.45,S,,PC 91501
234,1,2,male,18.271585105380122,2,3,49.13,S,,PC 32993
235,0,1,male,,2,3,43.14,S,,PC 47002
236,1,1,male,53.410706142081914,2,0,49.18,C,,PC 84548
237,1,1,female,39.76045271694917,1,3,0.97,S,,PC 87819
238,0,3,male,21.199612621256605,0,1,35.97,S,,PC 31169
239,0,3,male,47.26319175961771,0,3,10.35,S,,PC 55778
240,1,2,female,18.632778512984324,0,2,20.92,S,,PC 39999
241,0,2,female,43.127397252276076,3,0,71.12,C,D145,PC 56527
242,1,3,female,9.97571855707778,3,0,26.82,S,,PC 44123
243,0,3,female,44.0256096450482,2,1,4.11,S,,PC 10469
244,1,3,female,23.3141289634062,0,0,16.18,S,E62,PC 93206
245,1,2,male,14.600940626822224,2,0,102.48,S,,PC 67338
246,0,3,male,25.959989416931602,4,3,75.35,S,,PC 51549
247,1,1,male,32.882818516083006,1,3,51.18,C,G63,PC 19703
248,0,2,male,,2,1,4.44,S,,PC 16414
249,1,3,female,,2,0,5.47,S,F29,PC 53086
250,0,3,male,,1,0,3.33,S,,PC 68417
251,0,3,male,37.68521351503901,2,3,4.65,C,E147,PC 33428
252,0,3,male,35.191108868512394,2,1,0.4,S,A127,PC 76994
253,0,3,male,28.14707723408891,2,0,60.72,S,,PC 45314
254,0,2,male,22.820647626876703,3,1,39.33,S,,PC 10996
255,1,2,male,,2,1,51.21,S,,PC 58336
256,0,2,female,36.703552402471786,0,2,22.02,Q,,PC 26296
257,1,1,male,57.865188138242516,0,1,0.11,S,,PC 11301
258,0,3,female,42.15188590517454,2,3,20.41,S,,PC 21710
259,0,2,female,42.66385929742178,4,2,2.11,S,,PC 35612
260,1,3,male,72.23917072804397,0,3,63.54,S,,PC 56336
261,1,3,male,,0,1,1.04,S,,PC 99064
262,0,3,female,35.785009158363835,3,2,12.44,S,,PC 29646
263,0,2,male,38.856211040503155,2,1,59.7,S,B116,PC 15165
264,1,3,female,14.874476313764456,1,2,50.4,C,,PC 27213
265,1,3,male,,1,2,56.69,C,G69,PC 38745
266,1,3,female,21.913630266307322,3,1,32.97,S,E67,PC 28472
267,0,3,female,38.06659568107386,2,3,7.27,Q,,PC 38927
268,0,3,male,26.56155612890322,3,3,50.24,Q,,PC 97214
269,1,3,male,30.93512795664024,1,3,65.05,S,C49,PC 44144
270,1,1,female,44.2243646820785,2,0,65.94,S,,PC 67123
271,0,3,male,41.084110341857944,4,2,53.35,S,,PC 71629
272,0,1,male,26.735905957422542,1,0,35.32,S,E147,PC 21712
273,0,3,male,,1,0,75.17,S,,PC 32296
274,1,3,male,44.89384624314464,0,3,52.32,S,,PC 47414
275,0,3,female,39.83447653273812,3,0,2.31,Q,A105,PC 51423
276,0,2,female,6.512404543864648,0,3,11.49,S,,PC 11186
277,0,1,male,24.615844855284067,1,1,13.97,C,C136,PC 68037
278,1,3,female,,3,1,65.68,S,,PC 37062
279,0,1,male,39.90361603969444,0,0,27.13,S,,PC 39008
280,0,1,male,41.741420929156796,4,2,1.78,C,,PC 64269
281,0,2,male,32.97468401645663,2,2,3.66,S,,PC 95388
282,0,1,female,37.19346543902398,1,1,12.31,S,F60,PC 87845
283,1,3,male,29.89791523329415,2,3,8.15,S,,PC 98169
284,0,3,male,19.56607636547215,3,1,5.83,S,,PC 47214
285,0,2,male,,2,2,10.41,S,,PC 20770
286,1,1,female,,4,1,35.63,S,E95,PC 29437
287,0,1,male,28.514490499739743,4,2,40.46,S,,PC 40943
288,1,2,male,2.6019793377914127,1,0,85.6,S,,PC 37021
289,1,1,female,,3,1,26.42,S,,PC 28717
290,0,3,male,29.786879143248125,1,2,13.11,S,,PC 23578
291,1,1,male,25.060820113320187,4,2,17.57,S,A21,PC 26810
292,0,2,male,25.5444668628378,1,1,1.43,S,F146,PC 69244
293,1,2,male,,1,2,12.84,S,,PC 54187
294,0,2,male,13.894599381319125,3,2,7.18,C,,PC 13380
295,1,1,female,6.2074090046830435,3,1,4.3,S,,PC 60743
296,1,1,male,24.125622928286553,0,0,15.59,S,,PC 85810
297,1,3,female,39.697601677025055,2,2,4.63,S,,PC 48308
298,0,1,female,,1,3,2.3,Q,,PC 38673
299,0,3,male,39.94979534732636,3,3,31.14,S,,PC 34529
300,0,3,male,8.444307361836138,2,2,47.51,S,D10,PC 44147
301,0,2,female,25.746858648725205,4,3,19.09,S,,PC 35075
302,1,2,male,32.59288133514141,4,3,0.15,S,,PC 93178
303,0,3,female,31.48627563693029,3,2,15.02,S,,PC 99290
304,1,3,female,36.55026374120024,3,0,1.66,S,,PC 40895
305,1,2,male,16.161314749549348,4,2,35.69,S,,PC 93130
306,0,2,male,,0,2,65.21,S,,PC 86822
307,0,2,male,34.8845196168658,3,1,27.48,S,,PC 16830
308,1,3,male,40.559393346251234,3,3,8.43,C,,PC 54174
309,0,3,male,17.71994566742091,0,3,84.84,S,E142,PC 69088
310,0,1,male,24.167803858599427,4,1,35.08,Q,G47,PC 47991
311,1,2,female,,3,1,2.52,C,,PC 51118
312,1,3,female,20.299532453911162,1,0,6.98,C,,PC 54474
313,0,1,female,21.658191498405397,2,0,41.82,C,,PC 71992
314,0,3,male,14.725816885655798,2,1,7.21,S,,PC 36438
315,0,3,male,31.318570103257123,4,1,22.61,S,G17,PC 63725
316,1,1,male,28.216763951366246,4,1,15.21,S,E138,PC 31913
317,1,1,male,1.0,4,0,11.1,S,,PC 90031
318,1,1,female,32.01711157022459,3,1,4.05,S,,PC 17620
319,1,3,male,16.003462168953618,0,2,38.4,S,,PC 16028
320,1,1,male,,4,1,31.34,S,,PC 13395
321,0,1,female,11.054082531798684,0,2,66.81,Q,F121,PC 41463
322,0,1,male,29.420091539433162,0,1,8.91,S,,PC 64561
323,1,1,male,25.035713395588918,0,2,1.51,S,,PC 98693
324,1,3,male,33.243426389304624,4,2,75.33,S,,PC 50917
325,1,2,male,30.745761887118856,2,3,30.17,S,,PC 26405
326,0,3,female,25.427701549699638,1,0,0.13,C,,PC 43141
327,0,3,male,7.492187603380575,0,3,145.48,S,B65,PC 21459
328,0,3,female,8.319088511545559,2,1,68.9,S,,PC 52478
329,0,1,female,,3,0,13.97,S,,PC 75606
330,1,3,female,28.884081624985782,4,2,29.82,S,,PC 13197
331,1,3,male,20.48452873921236,2,0,10.38,S,,PC 79968
332,0,1,male,,3,0,8.88,Q,,PC 30570
333,0,3,female,25.090907131036428,4,3,17.64,S,,PC 70503
334,1,3,male,15.489821853086855,4,0,11.21,S,,PC 83393
335,0,2,male,25.106651898169268,1,2,12.4,S,,PC 79856
336,1,3,female,32.16203770843173,4,0,2.47,S,E91,PC 70288
337,1,3,male,33.548386063544186,2,0,160.25,Q,,PC 72434
338,0,3,female,55.29730784790381,4,0,32.44,S,G134,PC 26885
339,0,3,female,,0,0,3.73,S,,PC 22219
340,1,2,female,,0,1,4.65,S,,PC 44312
341,1,3,male,34.96573525547197,4,1,43.42,S,,PC 64739
342,0,2,female,28.672078571188585,3,0,276.25,S,,PC 65634
343,1,3,male,,0,1,22.07,S,,PC 79918
344,1,3,female,7.31039953118059,4,1,7.33,C,,PC 37764
345,1,1,female,21.848316173257782,0,2,149.31,S,B86,PC 87895
346,0,2,female,13.968166221950787,3,3,33.34,S,,PC 50422
347,1,2,male,4.827506464267103,1,2,9.66,C,,PC 32160
348,1,1,male,17.86049621661179,0,3,25.05,S,G56,PC 76186
349,0,1,male,14.340715909269637,4,0,23.42,S,,PC 21468
350,0,2,male,37.17301163410127,4,0,40.87,S,B9,PC 46477
351,1,1,male,,0,3,31.23,S,F5,PC 80297
352,0,1,male,16.345689945867754,0,1,90.14,C,A143,PC 79398
353,0,3,male,,3,3,53.98,S,B27,PC 33089
354,0,3,female,2.9846027304245055,0,1,14.64,S,,PC 24989
355,1,3,female,,3,0,84.12,S,,PC 12873
356,1,2,male,,4,3,10.65,S,,PC 18043
357,0,3,female,,3,2,17.17,S,,PC 84268
358,1,3,female,19.017340856321606,1,3,1.64,C,,PC 80523
359,0,1,male,43.72596804738528,0,1,43.92,S,,PC 55538
360,1,1,male,,3,0,28.78,S,,PC 61309
361,1,3,female,11.533210811986905,0,2,44.65,Q,,PC 39396
362,1,1,female,38.935266118930265,2,0,110.09,S,,PC 27284
363,0,3,female,52.39569719988546,2,2,16.45,S,F118,PC 11028
364,1,3,female,35.90804783457173,3,1,46.81,S,,PC 70468
365,0,1,female,28.435206588523826,1,3,35.63,S,,PC 13179
366,1,1,male,,3,3,73.91,S,,PC 19452
367,0,3,male,1.0,3,1,96.25,S,,PC 81335
368,0,3,male,30.811733516542166,1,3,71.08,S,,PC 62454
369,0,1,female,,1,0,21.77,S,,PC 54073
370,1,3,male,13.518307449870349,0,0,7.29,S,,PC 29655
371,0,3,male,29.91745613162071,2,3,3.89,C,,PC 23474
372,1,3,female,30.611839145109336,1,2,10.66,S,,PC 51984
373,0,3,male,42.221822159563814,0,1,17.05,C,,PC 42265
374,0,2,female,30.912431962177813,2,0,90.54,S,,PC 58069
375,1,1,male,46.19752115668138,2,1,15.08,S,,PC 24877
376,0,3,female,29.11191641368339,0,2,0.87,S,,PC 30829
377,1,2,female,,0,3,14.12,S,,PC 20159
378,1,3,male,,0,3,15.69,S,,PC 48202
379,0,3,female,15.301827679419917,3,1,9.33,S,,PC 34867
380,0,1,male,68.40226434572625,1,1,26.2,S,,PC 30111
381,0,3,male,34.2536046943343,0,0,17.49,S,A80,PC 59455
382,1,1,female,34.331609539727424,0,0,2.44,S,,PC 54766
383,1,3,female,36.35134363561637,4,1,21.58,S,,PC 28900
384,0,2,male,55.27991065464299,1,2,48.59,S,,PC 72912
385,0,3,male,40.09510376341649,3,0,35.72,S,E100,PC 40930
386,0,3,female,6.529216293945069,2,1,2.5,S,E114,PC 40722
387,0,2,male,48.64858538674506,0,2,84.83,S,,PC 53013
388,1,3,male,24.227447887769756,1,3,27.14,S,,PC 22514
389,1,3,male,,0,3,21.89,S,,PC 47802
390,0,3,male,11.09044438954627,3,1,8.48,S,,PC 62415
391,1,3,female,36.36682825373454,1,1,59.1,S,,PC 21576
392,0,3,male,19.88075993905427,2,3,40.46,C,,PC 60840
393,0,2,male,30.402374931908632,0,2,1.13,S,D112,PC 13497
394,1,3,female,25.022613924949038,4,1,3.51,C,C124,PC 64313
395,1,1,male,55.95017922430193,1,2,1.72,S,,PC 13191
396,1,3,female,56.75164420203825,2,0,25.97,S,C141,PC 25757
397,0,3,male,29.65118438300638,4,1,196.95,S,,PC 41515
398,0,2,female,29.895687959163965,3,1,84.98,S,,PC 65315
399,0,1,female,23.771798471106788,3,3,29.1,S,D87,PC 74691
400,0,3,female,44.484088081039005,4,0,124.82,C,,PC 52203
401,1,2,male,24.395121815332722,0,3,19.04,S,,PC 21812
402,1,3,male,23.10127815496021,4,1,11.1,S,,PC 44873
403,0,1,female,,2,0,22.65,S,,PC 80827
404,1,3,male,21.46381266556691,2,2,9.18,S,,PC 18128
405,0,1,male,28.471429517720573,1,2,11.69,C,,PC 74409
406,1,1,male,6.861649058846101,3,0,24.73,S,,PC 44719
407,0,3,female,38.85866483172434,4,0,32.97,S,,PC 10354
408,0,3,female,56.17213714854616,3,0,58.65,Q,,PC 72512
409,1,1,male,39.09715521919709,0,1,18.76,Q,,PC 12407
410,0,3,female,49.46518834566227,2,0,43.42,S,,PC 43268
411,0,3,male,17.154570093517368,3,2,1.25,S,,PC 27552
412,0,3,male,,1,0,8.33,C,,PC 62558
413,0,2,male,15.795761058828546,3,3,6.24,S,,PC 15050
414,0,3,male,25.8112823618612,3,3,30.29,S,,PC 18194
415,0,3,male,39.81096068293507,0,2,4.37,S,B107,PC 57820
416,1,3,female,30.42548858344618,2,3,146.68,Q,,PC 99453
417,1,3,female,9.223025683582897,0,3,26.64,Q,,PC 13566
418,0,3,male,10.589592522471452,2,0,63.66,S,,PC 51466
419,0,1,male,9.663704959129166,1,1,2.7,S,,PC 82237
420,1,3,male,35.88033625915426,4,3,32.17,S,,PC 36167
421,1,3,female,57.894523499193355,4,1,48.8,S,,PC 54366
422,1,3,female,48.07441541600298,2,2,29.82,C,,PC 85480
423,1,1,female,2.4562072119550997,2,3,25.01,S,E128,PC 75515
424,1,1,male,48.89506313297697,3,3,42.7,S,,PC 36388
425,0,3,male,42.109605838205056,3,1,101.68,S,A116,PC 77562
426,0,1,male,7.365800762597392,3,1,30.9,S,,PC 70818
427,1,3,male,24.755177366053033,3,0,62.7,C,E118,PC 55608
428,1,2,male,44.337313760941335,4,1,14.76,S,C48,PC 49701
429,0,3,male,36.70606915308699,4,1,18.6,C,,PC 93281
430,1,3,female,10.6726692665682,0,1,31.18,S,,PC 88684
431,0,2,male,,2,1,5.97,S,,PC 99120
432,1,2,male,1.0,2,3,5.87,S,,PC 70783
433,1,3,female,25.88048953939904,2,3,228.65,S,,PC 42328
